Bill-of-Lading Key,Bill-of-Lading Number,Issued Date,Consignor Key,Consignee Key,Foreign Transporter Key,Foreign Consolidator Key,Courier Key,Domestic Transporter Key,Domestic Consolidator Key,Ship Mode,Place of Receipt Key,Place of Delivery Key,Port of Loading Key,Port of Discharge Key,Commodity Key,Container Key,Incoterm,Expected Tariffs,Actual Tariffs
,,,1752,2438,3990,3599,4965,4962,3742,,1752,2438,2814,3826,,,,,
,,,4143,2218,3434,3696,3657,3677,3886,,8413,2218,1413,233,,,,,
,,,1072,1170,3666,3760,3297,4308,4424,,1072,1170,3200,3828,,,,,
,,,2363,3210,3519,4436,4865,4216,3017,,2363,7480,2907,1481,,,,,
,,,3769,2476,3481,3556,3481,4308,3418,,8039,2476,1027,3823,,,,,
,,,2640,4524,3284,3226,4086,4385,4311,,2640,8794,2948,233,,,,,
,,,3742,2448,4360,3955,4780,4832,3297,,8012,2448,3155,3829,,,,,
,,,2489,2494,4216,3865,4116,4222,3124,,2489,2494,2678,672,,,,,
,,,2434,3104,3586,4183,3963,3566,3578,,2434,7374,4250,671,,,,,
,,,2786,1408,4170,3157,4424,3437,4455,,2786,1408,3354,3827,,,,,
,,,4424,626,4645,4376,3573,3001,3828,,8694,626,2494,3828,,,,,
,,,2363,2995,3621,3271,3948,3683,3064,,2363,2995,3086,1481,,,,,
,,,2852,2770,4038,4576,4426,4832,4455,,2852,2770,2599,3831,,,,,
,,,2852,2448,4703,3955,3520,4308,4424,,2852,2448,3155,3826,,,,,
,,,4536,4798,3136,4472,4776,4832,3054,,8806,9068,4267,3828,,,,,
,,,2299,2448,4611,3955,3821,4500,3920,,2299,2448,3155,672,,,,,
,,,2363,2359,4246,4121,3347,4030,4257,,2363,2359,1685,1481,,,,,
,,,1871,4280,3796,3313,4758,3428,3856,,1871,8550,2054,3829,,,,,
,,,3825,320,3165,4216,3082,3825,4981,,8095,320,2859,2199,,,,,
,,,4632,2448,4599,3955,4695,3847,4311,,8902,2448,3155,233,,,,,
,,,4193,979,4915,4113,3165,4717,3437,,8463,979,2858,3833,,,,,
,,,4622,2915,3729,4986,3772,3091,3101,,8892,2915,1015,672,,,,,
,,,4611,1055,4268,4306,3343,3580,3611,,8881,1055,1297,672,,,,,
,,,2442,451,3047,3756,3110,4483,4321,,2442,451,2804,668,,,,,
,,,4229,1932,3471,3100,3262,4388,4535,,8499,1932,2744,1952,,,,,
,,,4796,2186,3635,3305,4084,4715,4658,,9066,2186,1600,670,,,,,
,,,4097,4907,4840,4907,4907,4717,4287,,8367,9177,891,3828,,,,,
,,,3957,4757,4214,3391,4214,4441,4224,,8227,9027,524,671,,,,,
,,,1484,2373,4913,3815,4913,3780,3922,,1484,2373,2235,669,,,,,
,,,2363,265,4353,4741,4269,4832,3436,,2363,265,2073,1481,,,,,
,,,3234,451,3185,3936,3635,4311,3994,,7504,451,2805,233,,,,,
,,,3543,2448,4778,3955,4282,4294,3472,,7813,2448,3155,670,,,,,
,,,3861,2476,3481,3556,3481,4323,4593,,8131,2476,1027,673,,,,,
,,,2436,945,3165,4113,4536,3437,4455,,2436,945,2858,3828,,,,,
,,,1812,174,4664,3088,4314,4919,3408,,1812,174,1164,2199,,,,,
,,,1308,193,3641,3513,3169,3677,3677,,1308,193,2142,233,,,,,
,,,4536,2584,3189,3427,4832,4159,3856,,8806,2584,1600,3826,,,,,
,,,2363,657,4360,4142,4366,4304,3126,,2363,657,183,1482,,,,,
,,,2491,4290,3587,3917,3201,3825,3408,,2491,8560,391,2200,,,,,
,,,2363,548,4337,4380,3849,4181,4721,,2363,548,1601,1481,,,,,
,,,3507,415,4343,3550,4343,3517,3846,,7777,415,883,670,,,,,
,,,4118,1401,3839,3839,4135,4684,4735,,8388,1401,2487,671,,,,,
,,,3771,1652,4067,3386,4660,4002,4220,,8041,1652,2494,672,,,,,
,,,941,948,4438,4856,4234,3784,4368,,941,948,1692,672,,,,,
,,,3856,2448,3259,3955,3295,4832,3297,,8126,2448,3155,3823,,,,,
,,,613,287,4168,4908,3136,3411,3421,,613,287,4266,671,,,,,
,,,3336,2844,4863,3326,3112,3188,3823,,7606,2844,2552,672,,,,,
,,,2363,1657,4001,4607,4001,3620,3166,,2363,1657,2257,1480,,,,,
,,,1042,4789,4675,4789,3443,3133,4921,,1042,9059,4216,1952,,,,,
,,,2380,1290,3214,4728,3349,4962,3054,,2380,1290,2598,3830,,,,,
,,,965,1338,3451,3802,3330,4799,4222,,965,1338,63,668,,,,,
,,,942,626,3694,4645,4097,4580,3295,,942,626,2494,3824,,,,,
,,,2500,986,4611,3932,4055,4962,4962,,2500,986,1390,3825,,,,,
,,,799,3276,4615,3402,4132,4528,4340,,799,7546,1599,233,,,,,
,,,1400,736,3075,3075,4388,4702,4829,,1400,736,2796,1952,,,,,
,,,2363,238,3126,3740,3035,3559,3097,,2363,238,3058,1482,,,,,
,,,3327,2160,4958,4482,3272,4999,4265,,7597,2160,2369,671,,,,,
,,,2363,2448,4635,3955,4124,3610,4191,,2363,2448,3155,1481,,,,,
,,,2077,2265,4129,4619,3989,3575,4364,,2077,2265,127,233,,,,,
,,,45,3519,4436,4436,3667,3111,4535,,45,7789,2907,1953,,,,,
,,,2363,1363,4214,3391,4214,3857,3905,,2363,1363,524,1481,,,,,
,,,774,993,4216,4216,4832,3418,3297,,774,993,2858,3831,,,,,
,,,2363,4618,3018,4618,4027,4049,3805,,2363,8888,1386,1482,,,,,
,,,2365,3740,4055,3648,3163,4537,4813,,2365,8010,2654,673,,,,,
,,,3225,4399,3745,4318,4879,4348,3967,,7495,8669,1261,233,,,,,
,,,2363,104,4399,4318,3809,4229,4239,,2363,104,1261,1481,,,,,
,,,18,1351,4617,3366,3185,4401,4125,,18,1351,2536,670,,,,,
,,,2870,431,4655,4158,3956,4018,3404,,2870,431,2683,670,,,,,
,,,1817,172,3272,3759,3895,4314,4155,,1817,172,2368,2199,,,,,
,,,1291,348,4031,3103,3103,3742,4580,,1291,348,2552,3832,,,,,
,,,2147,75,3503,4583,3667,4890,4316,,2147,75,1014,1951,,,,,
,,,976,3450,4246,4750,4780,4717,3418,,976,7720,1685,3829,,,,,
,,,2363,1760,3586,3104,4288,4175,3731,,2363,1760,4250,1482,,,,,
,,,820,1083,3927,3183,4724,4684,4120,,820,1083,393,670,,,,,
,,,4536,1348,3345,3157,4957,3742,3418,,8806,1348,3357,3823,,,,,
,,,2500,2494,4192,3751,4780,4962,3295,,2500,2494,2678,3827,,,,,
,,,784,2911,3995,4476,3425,4215,3958,,784,2911,2385,671,,,,,
,,,1812,2694,4399,4318,4131,4919,3631,,1812,2694,1261,2200,,,,,
,,,2363,4789,4370,4789,3443,4511,3101,,2363,9059,4216,1482,,,,,
,,,1147,49,4675,4789,3443,3331,3580,,1147,49,4215,671,,,,,
,,,3710,310,3745,4318,3940,4075,4462,,7980,310,1260,672,,,,,
,,,3644,4854,3435,3980,3587,3644,3054,,7914,9124,391,3829,,,,,
,,,4431,3463,3514,3346,3588,4931,3017,,8701,7733,999,670,,,,,
,,,4159,4412,4283,4508,4776,4308,3297,,8429,8682,1599,3826,,,,,
,,,2457,3154,3293,3114,4004,4425,4795,,2457,7424,3067,671,,,,,
,,,4981,4532,3936,4451,3579,3408,3419,,9251,8802,63,2200,,,,,
,,,4676,317,4295,4729,3933,4803,4207,,8946,317,3001,670,,,,,
,,,2363,1071,3004,3397,3853,3473,3568,,2363,1071,1794,1482,,,,,
,,,2363,2448,3580,3955,3806,3294,4760,,2363,2448,3155,1482,,,,,
,,,2363,904,4196,3608,3342,3839,3087,,2363,904,2744,1481,,,,,
,,,3437,460,4793,4820,4733,3437,4821,,7707,460,4250,3829,,,,,
,,,2363,2885,4360,3253,3258,4125,3943,,2363,2885,183,1482,,,,,
,,,3644,2955,3921,3692,3450,4536,4966,,7914,2955,1685,3833,,,,,
,,,3262,2448,3993,3955,4072,4666,3667,,7532,2448,3155,1952,,,,,
,,,1298,959,3122,4056,3153,4536,4536,,1298,959,63,3832,,,,,
,,,4853,1889,3866,3048,3686,4483,4648,,9123,1889,2235,669,,,,,
,,,2363,2630,4343,3550,3069,4879,4153,,2363,2630,883,1481,,,,,
,,,2360,872,3318,3318,4046,4702,3111,,2360,872,4270,1952,,,,,
,,,148,626,4645,4067,3479,4349,3924,,148,626,2494,672,,,,,
,,,2270,904,4200,3615,4669,3424,4602,,2270,904,2744,671,,,,,
,,,3262,769,3831,3368,3667,4538,4702,,7532,769,2599,1952,,,,,
,,,3644,1866,3542,4683,3334,4888,3297,,7914,1866,2599,3831,,,,,
,,,1219,1109,4940,3104,3317,4635,3418,,1219,1109,199,3833,,,,,
,,,4388,104,3745,4318,4046,4835,3773,,8658,104,1261,1952,,,,,
,,,64,4710,4669,3787,3080,4530,4555,,64,8980,2744,671,,,,,
,,,3162,162,4370,4789,4122,4040,4323,,7432,162,4215,671,,,,,
,,,2500,1612,3976,3465,4780,4580,3297,,2500,1612,2436,3834,,,,,
,,,466,3493,3874,4196,3848,3404,4918,,466,7763,2744,671,,,,,
,,,3225,3113,3113,5000,4933,4797,3501,,7495,7383,1415,233,,,,,
,,,4153,748,4341,4200,3063,3987,3211,,8423,748,2744,233,,,,,
,,,2363,2991,3711,3183,3445,4987,4062,,2363,2991,391,1482,,,,,
,,,430,1080,3506,3313,4572,3645,3725,,430,1080,1164,671,,,,,
,,,3020,2452,3165,4216,3563,3993,3060,,7290,2452,2858,233,,,,,
,,,2363,193,3260,3712,3641,3570,4909,,2363,193,2142,1482,,,,,
,,,3588,2542,4399,4318,4711,3472,4963,,7858,2542,1261,671,,,,,
,,,1313,2710,3002,3002,4072,4229,3414,,1313,2710,3051,1952,,,,,
,,,3742,1497,3729,4583,3729,4962,4966,,8012,1497,1015,3832,,,,,
,,,4224,162,4675,3443,4656,4901,3401,,8494,162,4215,670,,,,,
,,,1209,202,4812,4543,3054,3418,4287,,1209,202,3002,3826,,,,,
,,,2651,1098,4913,3393,3017,4425,4301,,2651,1098,2235,671,,,,,
,,,1597,839,3984,4618,4272,3987,3967,,1597,839,1386,233,,,,,
,,,3828,2040,3444,3261,4206,3418,4536,,8098,2040,859,3834,,,,,
,,,681,2053,3897,4351,3203,4842,3045,,681,2053,1164,671,,,,,
,,,4061,1199,3342,4067,4310,3211,4090,,8331,1199,2494,233,,,,,
,,,85,582,3179,3179,3670,3823,3589,,85,582,3085,670,,,,,
,,,419,1527,4675,4789,3101,4597,3781,,419,1527,4216,671,,,,,
,,,1042,1698,3536,4502,3667,4538,4921,,1042,1698,1600,1952,,,,,
,,,386,1925,4246,3983,3428,3428,3349,,386,1925,1685,3831,,,,,
,,,3645,2882,4671,4342,4996,4932,3578,,7915,2882,1600,672,,,,,
,,,852,2266,4324,4673,4978,4353,3681,,852,2266,2744,671,,,,,
,,,1371,2452,4113,4216,4113,4536,4455,,1371,2452,2859,3830,,,,,
,,,4796,1927,3513,3712,3260,4180,4458,,9066,1927,2142,672,,,,,
,,,1209,3592,3435,3927,3711,3644,4580,,1209,7862,392,3829,,,,,
,,,4340,2025,3004,3004,4712,4086,4231,,8610,2025,1795,233,,,,,
,,,4097,1542,3530,3139,3139,4635,3437,,8367,1542,2945,3828,,,,,
,,,3856,54,3276,4906,3837,4832,3054,,8126,54,1598,3828,,,,,
,,,2363,2448,3478,3955,3939,4978,4382,,2363,2448,3155,1481,,,,,
,,,4193,1642,3623,3506,3349,3418,3437,,8463,1642,1164,3834,,,,,
,,,942,1692,3513,3260,3573,4536,3742,,942,1692,2142,3830,,,,,
,,,2116,3113,3113,3113,4933,3050,4321,,2116,7383,1415,670,,,,,
,,,1400,1873,3100,3100,3788,3133,3111,,1400,1873,2744,1952,,,,,
,,,976,953,3798,3170,3798,3644,3751,,976,953,2744,3827,,,,,
,,,4653,2728,4048,3272,3895,4332,3886,,8923,2728,2368,233,,,,,
,,,2483,2899,3272,3272,3563,3130,4902,,2483,2899,2369,233,,,,,
,,,2648,1303,3104,4054,4831,4536,3437,,2648,1303,4250,3830,,,,,
,,,1957,301,3491,3491,3558,4500,3475,,1957,301,2166,672,,,,,
,,,2363,2876,3694,4767,4252,4710,4974,,2363,2876,2494,1481,,,,,
,,,666,1805,4141,4469,4546,3644,3418,,666,1805,2552,3827,,,,,
,,,3295,964,4639,3699,3634,4536,3856,,7565,964,2552,3825,,,,,
,,,1144,1433,4840,3647,4840,4388,3128,,1144,1433,892,1952,,,,,
,,,1453,2914,4228,3679,3679,3675,4157,,1453,2914,4250,672,,,,,
,,,1307,1080,3366,3977,4351,3640,3378,,1307,1080,1164,670,,,,,
,,,3861,1361,3126,3397,3397,4190,3396,,8131,1361,1795,671,,,,,
,,,3169,2669,4529,3715,3060,3575,4311,,7439,2669,819,233,,,,,
,,,1871,1428,3428,3315,4437,4455,3418,,1871,1428,2092,3823,,,,,
,,,2205,238,4250,3505,3035,3137,3591,,2205,238,3057,671,,,,,
,,,3742,582,3621,3790,3295,3428,4287,,8012,582,3086,3829,,,,,
,,,1709,3732,4299,4709,4832,3446,3418,,1709,8002,2112,3835,,,,,
,,,1053,1950,3513,3712,4836,3780,4368,,1053,1950,2142,671,,,,,
,,,4340,3734,4452,3824,4272,4192,4086,,8610,8004,285,233,,,,,
,,,1371,948,3036,3721,4282,4426,3856,,1371,948,1693,3825,,,,,
,,,1709,1762,4383,3204,3428,3446,4821,,1709,1762,803,3830,,,,,
,,,1725,441,4548,4633,4437,4125,3520,,1725,441,2092,673,,,,,
,,,3295,720,4141,3455,3258,3437,3054,,7565,720,2552,3829,,,,,
,,,45,1481,4170,3157,4957,4890,4316,,45,1481,3354,1952,,,,,
,,,1957,1497,3503,4583,3503,3052,4847,,1957,1497,1014,670,,,,,
,,,76,355,3075,3075,3075,4962,4821,,76,355,2796,3829,,,,,
,,,1555,506,3471,3107,3578,4036,3298,,1555,506,2744,673,,,,,
,,,2786,3671,3193,3236,4536,3742,3349,,2786,7941,3086,3825,,,,,
,,,2363,3226,4524,3284,4524,3690,3992,,2363,7496,2948,1481,,,,,
,,,3644,4885,3011,3582,3763,4832,4424,,7914,9155,186,3826,,,,,
,,,2363,3179,3179,3790,3837,4141,4101,,2363,7449,3086,1482,,,,,
,,,1189,2408,3921,4750,4426,3446,3054,,1189,2408,1685,3832,,,,,
,,,3709,1927,3260,3513,4836,3396,4157,,7979,1927,2142,671,,,,,
,,,2433,4378,4378,4378,4597,3186,4847,,2433,8648,2507,674,,,,,
,,,2291,3314,3274,3274,3461,3188,3725,,2291,7584,2368,671,,,,,
,,,2363,2244,3386,4633,3921,3218,4709,,2363,2244,2494,1481,,,,,
,,,3394,1430,4246,3347,3921,4360,4142,,7664,1430,1685,183,,,,,
,,,365,2448,3050,3955,4303,4360,4357,,365,2448,3155,183,,,,,
,,,976,4226,3538,4106,4424,4635,3446,,976,8496,2637,3822,,,,,
,,,1620,2972,3309,3805,3479,3862,4697,,1620,2972,1410,672,,,,,
,,,1298,2673,3185,4476,3167,4635,4966,,1298,2673,2637,3829,,,,,
,,,2500,1286,4724,3890,4780,3437,4962,,2500,1286,393,3834,,,,,
,,,1291,3182,4748,3182,3392,3742,3742,,1291,7452,2044,3833,,,,,
,,,749,4023,3471,4701,4742,4704,4656,,749,8293,2745,671,,,,,
,,,666,1300,4913,3393,4913,4424,3437,,666,1300,2235,3829,,,,,
,,,365,3263,3263,3263,4366,4357,4142,,365,7533,2816,183,,,,,
,,,1516,2153,3444,4627,3045,4255,4144,,1516,2153,859,671,,,,,
,,,4193,1497,3577,4986,3317,4287,3742,,8463,1497,1015,3832,,,,,
,,,3769,1731,4793,3643,4717,4424,4966,,8039,1731,4250,3832,,,,,
,,,1283,2528,4214,4757,4214,4962,4455,,1283,2528,524,3829,,,,,
,,,1189,389,4623,3787,3317,3428,3437,,1189,389,2744,3826,,,,,
,,,3752,65,3407,4028,3449,4969,3636,,8022,65,3051,232,,,,,
,,,2363,1361,3004,3004,3397,4311,3118,,2363,1361,1795,1482,,,,,
,,,2324,2435,3649,4664,4774,4008,4704,,2324,2435,1163,670,,,,,
,,,1832,2446,4034,3647,4840,4658,3595,,1832,2446,892,670,,,,,
,,,2149,238,4536,3325,3573,3428,4776,,2149,238,3057,3830,,,,,
,,,2363,3277,3874,4023,4329,3471,4456,,2363,7547,2744,1482,,,,,
,,,2918,570,3694,4376,3169,4281,4010,,2918,570,2494,233,,,,,
,,,4285,1244,4585,3087,4981,4919,3419,,8555,1244,988,2200,,,,,
,,,2277,3912,3570,4960,4717,4159,3437,,2277,8182,36,3833,,,,,
,,,1189,1363,4757,4757,4424,4832,3054,,1189,1363,524,3829,,,,,
,,,1994,1615,3089,4583,3503,3682,3792,,1994,1615,1014,670,,,,,
,,,2363,840,4806,3813,4474,3279,3136,,2363,840,2654,1481,,,,,
,,,64,745,3272,3274,3461,3252,3321,,64,745,2368,668,,,,,
,,,3454,2412,3430,3468,3987,3993,4586,,7724,2412,390,233,,,,,
,,,2402,2221,4645,3359,3359,4314,4155,,2402,2221,2494,2199,,,,,
,,,2363,1731,4228,4820,3971,4071,3886,,2363,1731,4250,1481,,,,,
,,,2363,3035,3976,4457,3125,3155,3895,,2363,7305,3057,1482,,,,,
,,,76,1132,4221,3085,4780,4832,3054,,76,1132,16,3831,,,,,
,,,2363,1883,4399,4318,4975,4414,3830,,2363,1883,1261,1481,,,,,
,,,2363,1228,3113,5000,3730,4560,4281,,2363,1228,1415,1482,,,,,
,,,2363,362,3108,4029,3952,4203,4493,,2363,362,1326,1482,,,,,
,,,4310,1208,4694,3366,3561,3998,4010,,8580,1208,1164,233,,,,,
,,,2219,686,4681,3760,3883,4385,3886,,2219,686,3200,233,,,,,
,,,1706,1926,3634,3197,3103,4497,4620,,1706,1926,2552,671,,,,,
,,,4431,3345,3526,3524,4118,4180,3588,,8701,7615,3356,673,,,,,
,,,2363,3126,3004,3126,4337,4180,3606,,2363,7396,1795,1481,,,,,
,,,456,3145,4218,4908,4160,3742,3437,,456,7415,2257,3827,,,,,
,,,3767,1132,3052,4217,4835,4702,4232,,8037,1132,16,1953,,,,,
,,,3856,1121,3116,4693,3428,3418,3418,,8126,1121,1599,3832,,,,,
,,,3767,4986,3577,4986,4835,3723,3111,,8037,9256,1015,1953,,,,,
,,,386,2828,4429,4691,4100,3644,3742,,386,2828,203,3832,,,,,
,,,1709,1738,3935,3917,3435,3742,3751,,1709,1738,392,3826,,,,,
,,,2402,1109,4159,4425,3227,4314,4708,,2402,1109,199,2200,,,,,
,,,3742,539,3995,4418,3995,3644,4962,,8012,539,2385,3825,,,,,
,,,2648,676,3357,4599,4742,3742,4287,,2648,676,2744,3823,,,,,
,,,2491,2555,4639,4772,4293,4480,3227,,2491,2555,2552,2199,,,,,
,,,4159,788,3347,3692,4287,4424,3856,,8429,788,1685,3826,,,,,
,,,4365,2812,4517,4436,4941,4587,3761,,8635,2812,2907,233,,,,,
,,,2363,259,4681,4336,3783,3606,3740,,2363,259,3200,1482,,,,,
,,,2363,2012,3407,4208,3043,4432,3576,,2363,2012,3051,1481,,,,,
,,,2363,1429,3155,4657,3139,3572,4026,,2363,1429,192,1481,,,,,
,,,896,372,3858,3663,4292,3579,4708,,896,372,803,2199,,,,,
,,,450,2449,4885,4174,3763,3618,4708,,450,2449,186,2200,,,,,
,,,4902,1200,4915,4113,3165,4797,3449,,9172,1200,2858,234,,,,,
,,,3856,2523,3831,3627,4717,4832,4962,,8126,2523,36,3828,,,,,
,,,2149,626,4767,3359,3342,3001,3828,,2149,626,2494,3831,,,,,
,,,2277,4282,4944,4849,4267,4717,3828,,2277,8552,274,3830,,,,,
,,,3769,68,4944,4849,4776,4426,3751,,8039,68,274,3829,,,,,
,,,1813,1652,3694,4067,3559,3472,3924,,1813,1652,2494,673,,,,,
,,,2277,2054,3075,3075,3573,4159,4424,,2277,2054,2796,3823,,,,,
,,,4480,4121,3347,4121,3082,4480,4708,,8750,8391,1685,2199,,,,,
,,,2156,1645,4241,3895,3573,4888,3349,,2156,1645,2368,3825,,,,,
,,,2716,895,3990,4128,3906,4006,3645,,2716,895,1741,674,,,,,
,,,3217,2512,4760,4536,4830,4018,4741,,7487,2512,1296,670,,,,,
,,,3040,2675,3858,3797,3477,3878,4842,,7310,2675,803,672,,,,,
,,,2363,1342,3665,3136,3252,4447,4751,,2363,1342,4266,1481,,,,,
,,,2363,1683,4056,3802,4063,4489,3846,,2363,1683,63,1482,,,,,
,,,4229,2784,3314,3895,3895,4702,4921,,8499,2784,2369,1952,,,,,
,,,1449,637,3526,4170,4957,3682,3686,,1449,637,3357,673,,,,,
,,,2852,1799,3391,3391,3295,3446,3295,,2852,1799,524,3830,,,,,
,,,4666,2265,3858,4646,3781,4666,4232,,8936,2265,126,1953,,,,,
,,,965,1503,3430,3442,4854,4458,4569,,965,1503,391,673,,,,,
,,,666,1692,3641,3655,3428,3446,4536,,666,1692,2142,3829,,,,,
,,,2363,2584,4283,3358,3021,4740,3789,,2363,2584,1600,1482,,,,,
,,,1597,2815,4944,4282,4310,3636,4364,,1597,2815,274,233,,,,,
,,,2363,1692,3260,3513,3845,4781,4743,,2363,1692,2142,1481,,,,,
,,,2607,3503,4233,4583,4740,4323,4224,,2607,7773,1014,672,,,,,
,,,2500,1972,3329,4789,3317,3001,3446,,2500,1972,4215,3829,,,,,
,,,3780,2448,3611,3955,3145,3421,4622,,8050,2448,3155,670,,,,,
,,,859,2265,3209,3229,3252,3418,3856,,859,2265,127,3826,,,,,
,,,2559,1883,3745,4318,3963,3377,4321,,2559,1883,1261,669,,,,,
,,,1189,1575,4344,4851,4553,3644,3856,,1189,1575,2841,3829,,,,,
,,,4580,570,4767,4645,4635,4426,3742,,8850,570,2494,3822,,,,,
,,,2855,2828,4429,4443,3781,3742,3828,,2855,2828,203,3830,,,,,
,,,884,4518,4790,3453,3847,4586,3014,,884,8788,1714,233,,,,,
,,,4385,2617,4958,3759,3272,4969,4231,,8655,2617,2369,233,,,,,
,,,4706,3345,3526,3242,4957,4969,3561,,8976,7615,3357,233,,,,,
,,,1723,342,4551,4016,4562,3566,3913,,1723,342,2744,670,,,,,
,,,2093,2079,3858,4442,3518,3343,3703,,2093,2079,802,671,,,,,
,,,1752,2476,3481,3556,3317,4536,4966,,1752,2476,1028,3834,,,,,
,,,3828,104,4399,4318,3054,3742,4821,,8098,104,1261,3832,,,,,
