Shipment Key,Voyage Schedule Key,Vehicle Key,Bill-of-Lading Key
215,114,,7114
216,115,,8483
217,115,,1698
218,115,,3201
219,116,,6459
220,116,,3259
221,117,,1875
222,117,,4068
223,117,,1775
224,118,,3479
225,119,,5561
226,120,,7128
227,120,,6538
228,121,,3498
229,121,,345
230,121,,2193
231,122,,152
232,123,,5051
233,123,,8102
234,124,,2192
235,124,,3824
236,125,,3474
237,125,,5852
238,126,,3673
239,126,,7926
240,127,,1326
241,127,,8777
242,127,,6180
243,128,,9391
244,129,,6238
245,129,,9041
246,130,,5874
247,131,,4468
248,132,,3443
249,133,,7539
250,133,,9102
251,134,,9116
252,134,,6472
253,135,,3878
254,135,,551
255,136,,7036
256,137,,7810
257,137,,9328
258,138,,5825
259,138,,6032
260,139,,9855
261,139,,6983
262,140,,7805
263,140,,5716
264,141,,4806
265,141,,921
266,141,,7678
267,142,,9939
268,143,,6518
269,143,,9773
270,144,,1249
271,144,,5792
272,145,,7819
273,145,,5959
274,145,,1912
275,146,,9298
276,146,,1819
277,147,,8493
278,147,,3752
279,147,,926
280,148,,7175
281,148,,5296
282,149,,148
283,149,,2622
284,149,,6138
285,150,,2450
286,151,,6840
287,152,,5379
288,153,,2206
289,153,,8932
290,154,,7081
291,155,,1042
292,156,,2840
293,157,,4595
294,157,,1443
295,158,,3585
296,158,,7090
297,159,,6067
298,159,,1073
299,159,,6928
300,160,,9062
301,161,,1905
302,161,,1697
303,162,,6613
304,163,,1561
305,163,,196
306,164,,9125
307,164,,7818
308,165,,9554
309,165,,9285
310,166,,3208
311,166,,8678
312,167,,1658
313,167,,8064
314,167,,3626
315,168,,328
316,168,,7496
317,168,,6525
318,169,,5758
319,169,,2678
320,169,,9464
321,170,,1780
322,170,,5603
323,171,,5436
324,171,,3624
325,172,,9964
326,173,,9206
327,174,,9161
328,174,,5302
329,174,,6057
330,175,,3211
331,175,,9031
332,175,,8153
333,176,,7591
334,177,,3117
335,178,,8935
336,178,,1799
337,179,,1563
338,179,,5503
339,180,,6418
340,180,,7849
341,181,,8970
342,181,,8346
343,182,,8926
344,183,,8547
345,184,,9312
346,184,,3318
347,185,,7981
348,185,,1454
349,186,,3821
350,187,,4237
351,187,,6455
352,188,,914
353,188,,4502
354,189,,6942
355,189,,6451
356,190,,3153
357,190,,8739
358,191,,9353
359,191,,535
360,191,,274
361,192,,9613
362,192,,6513
363,193,,7576
364,193,,2975
365,194,,4730
366,194,,7847
367,195,,875
368,195,,549
369,195,,3787
370,196,,9850
371,197,,6710
372,197,,9894
373,198,,8122
374,199,,2023
375,199,,6844
376,200,,1500
377,200,,7817
378,201,,8531
379,201,,8509
380,201,,265
381,202,,2273
382,202,,3278
383,203,,6604
384,203,,7655
385,203,,9550
386,204,,1515
387,205,,1421
388,205,,8588
389,206,,5044
390,206,,137
391,206,,4510
392,207,,7830
393,207,,1036
394,207,,9234
395,208,,9246
396,209,,9938
397,210,,2030
398,210,,1359
399,211,,139
400,211,,4818
401,212,,5757
402,213,,4073
