Port Key,Address Key,Port Name,Port Type,Port Size,Phone,Fax,800 Number,UN/LOCODE,Email,Website
57,3058,"""Mar del Plata""","""Harbor""","""Small""","""0223 4893099""",,,"""ARMDQ""","""consorcioportuariomdp@speedy.com.ar""","""www.consejoportuario.com.ar"""
58,3059,"""Puerto Deseado""",,,,,,"""ARPUD""",,
59,3060,"""Puerto Madryn""",,,,,,"""ARPMY""",,
60,3061,"""Puerto Martins""",,,,,,,,
61,3062,"""Puerto Parana""",,,,,,,,
62,3063,"""Punta Colorada""",,,,,,,,
63,3064,"""Punta Loyola""",,,,,,,,
64,3065,"""Quequen""",,,,,,,,
65,3066,"""Ramallo""","""River Port""","""Small""",,,,,,
66,3067,"""Rio Cullen Marine Terminal""",,,,,,,,
67,3068,"""Rio Gallegos""","""Pier, Jetty or Wharf""","""Very Small""","""02966 422352""","""02966 429013""",,"""ARRGL""","""uneposc@ar.inter.net""","""www.scruz.gov.ar/puertos"""
68,3069,"""Rio Grande""","""Harbor""","""Medium""",,,,"""BRRIG""",,
69,3070,"""Rosario""","""River Port""","""Small""","""(0341) 4487105""","""(0341) 4485010""",,"""ARROS""",,
70,3071,"""San Antonio Este""",,,,,,"""ARSAE""",,
71,3072,"""San Julian""","""Pier, Jetty or Wharf""","""Very Small""","""02962 452612""","""02962 452069""",,,"""puertopsj@videodata.com.ar""","""www.scruz.gov.ar/puertos"""
72,3073,"""San Lorenzo""","""River Port""","""Small""",,,,"""HNSLO""",,
73,3074,"""San Nicolas""",,,,,,"""PESNX""",,
74,3075,"""San Sebastian Bay""",,,,,,,,
75,3076,"""Santa Cruz""",,,,,,"""BOSRZ""",,
76,3077,"""Santa Fe""",,,,,,"""ARSFN""",,
77,3078,"""Ushuaia""","""Harbor""","""Small""","""54 2901 435200""",,,"""ARUSH""","""info@puertoushuaia.gov.ar""","""www.puertoushuaia.gov.ar"""
78,3079,"""Villa Constitucvilla""",,,,,,,,
79,3080,"""Zarate""","""River Port""","""Small""","""03487 429000""",,,"""ARZAE""",,"""www.consejoportuario.com.ar"""
80,3081,"""Barcadera""",,,,,,,,
81,3082,"""Oranjestad""","""Deepwater Seaport""","""Medium""","""(297) 582-6633""","""(297) 583-2896""",,"""AWORJ""",,"""www.arubaports.com"""
82,3083,"""San Nicolas""","""Harbor""","""Medium""","""+297 589 4500""","""+297 589 8000""",,"""PESNX""",,"""www.rocargo.com/SanNicolas.html"""
83,3084,"""Abbot Point""","""Pier, Jetty or Wharf""","""Very Small""",,,,"""AUABP""","""info@pcq.com.au""","""www.pcq.com.au"""
84,3085,"""Adelaide""","""Seaport""","""Medium""","""61 8 8447 0611""","""61 8 8447 0606""","""800 060 450""","""AUADL""","""flindersports@flindersports.com.au""","""www.flindersports.com.au"""
85,3086,"""Airlie Island""",,,,,,,,
86,3087,"""Albany""","""Deepwater Seaport""","""Small""","""61 8 9892 9000""","""61 8 9841 7566""",,,"""apa@albanyport.com.au""","""www.albanyport.com.au"""
87,3088,"""Ardrossan""","""Pier, Jetty or Wharf""","""Very Small""","""08 8837 3306""","""08 8837 3639""",,"""AUARD""",,"""abb.com.au"""
88,3089,"""Ballast Head""","""Pier, Jetty or Wharf""","""Very Small""","""61 8 8348 1400""","""61 8 8348 1423""",,,,
89,3090,"""Barrow Island""",,,,,,,,
90,3091,"""Bell Bay""","""Seaport""","""Small""","""61 3 6382 0111""","""61 3 6382 1695""",,"""AUBEL""","""bellbay@tasports.com.au""","""www.tasports.com.au"""
91,3092,"""Bing Bong""",,,,,,,,
92,3093,"""Botany Bay""","""Seaport""","""Medium""","""61 2 9296 4999""","""61 2 9296 4742""",,,,"""www.sydneyports.com.au"""
93,3094,"""Brisbane""",,,,,,"""AUBNE""",,
94,3095,"""Broome""","""Pier, Jetty or Wharf""","""Very Small""","""61 8 9192 1304""","""61 8 9192 1778""",,,"""info@broomeport.com""","""www.broomeport.com"""
95,3096,"""Bunbury""","""Seaport""","""Small""","""+618 (08) 9721 2800""","""+618 (08) 9721 8253""",,,"""byport@byport.com.au""","""www.byport.com.au"""
96,3097,"""Bundaberg""","""Seaport""","""Small""","""61 7 4159 4233""","""61 7 4159 4655""",,,"""info@bpa.net.au""",
97,3098,"""Burnie""","""Seaport""","""Large""","""61 7 3258 4888""","""61 7 3258 4703""",,"""AUBWT""","""info@portbris.com.au""","""www.portbris.com.au"""
98,3099,"""Cairns""","""Seaport""","""Small""","""+61 7 40523888""","""+61 7 40521493""",,"""AUCNS""","""marketing@cairnsport.com.au""","""www.cairnsport.com.au"""
99,3100,"""Cape Cuvier""",,,,,,,,
100,3101,"""Cape Flattery""","""Pier, Jetty or Wharf""","""Very Small""",,,,,"""info@pcq.com.au""","""www.pcq.com.au"""
101,3102,"""Cape Jervis""",,,,,,,,
102,3103,"""Carnarvon""",,,,,,,,
103,3104,"""Challis Venture Terminal""",,,,,,,,
104,3105,"""Cossack Pioneer Terminal""",,,,,,,,
105,3106,"""Dampier""","""Pier, Jetty or Wharf""","""Very Small""","""8 9159 6555""","""8 9159 6557""",,,"""info@dpa.wa.gov.au""","""www.dpa.wa.gov.au"""
106,3107,"""Darwin""",,,,,,"""AUDRW""",,
107,3108,"""Darwin (Nt)""",,,,,,,,
108,3109,"""Devonport""","""Harbor""","""Small""","""61 3 6421 4911""","""61 3 6421 4988""",,"""AUDPO""","""secretary@tasports.com.au""","""www.tasports.com.au"""
109,3110,"""Eden""","""Off-Shore Terminal""","""Small""","""61 2 6496 1719""","""61 2 6496 3024""",,,"""edenpilot@maritime.nsw.gov.au""","""www.eden.nsw.gov.au"""
110,3111,"""Esperance""","""Seaport""","""Small""","""(08) 9071 2111""","""(08) 9071 1312""",,,"""esppa@esperanceport.com.au""","""www.esperanceport.com.au"""
111,3112,"""Exmouth""",,,,,,,,
112,3113,"""Fremantle""","""Seaport""","""Medium""","""61 (08) 9430 3555""","""61 (08) 9336 1391""",,"""AUFRE""","""mail@fremantleports.com.au""","""www.fremantleports.com.au"""
113,3114,"""Geelong""","""Seaport""","""Medium""","""03 52470206""","""03 52470203""",,,"""l.ward@patrick.com.au""","""www.geelongport.com.au"""
114,3115,"""Gladstone""","""Seaport""","""Medium""","""+61 7 4976 1333""","""+61 7 4972 3045""",,"""AUGLT""","""info@gpa.org.au""","""www.cqpa.com.au"""
115,3116,"""Gove""",,,,,,"""AUGOV""",,
116,3117,"""Griffin Venture Terminal""",,,,,,,,
117,3118,"""Groote Eylandt""","""Seaport""","""Small""","""61 8 99 640 520""","""61 8 99 640 555""",,,"""mail@gpa.wa.gov.au""","""www.gpa.wa.gov.au"""
118,3119,"""Hastings""",,,,,,,,
119,3120,"""Hay Point""",,,,,,"""AUHPT""",,
120,3121,"""Hobart""","""Harbor""","""Small""","""+61 3 6235 1000""","""+61 3 6231 0693""",,"""AUHBA""","""hobart@tasports.com.au""","""www.tasports.com.au"""
121,3122,"""Jabiru Marine Terminal""",,,,,,,,
122,3123,"""Karumba""","""River Port""","""Small""","""+ 61 7 3224 7088""","""+ 61 7 3224 7234""",,,"""info@pcq.com.au""","""www.pcq.com.au"""
123,3124,"""Kingscote""",,,,,,,,
124,3125,"""Kingston""",,,,,,"""JMKIN""",,
125,3126,"""Klein Point""","""Pier, Jetty or Wharf""","""Very Small""","""+61 8 8447 0611""","""+61 8 8447 0606""",,,"""flindersports@flindersports.com.au""","""www.flindersports.com.au"""
126,3127,"""Kwinana""",,,,,,,,
127,3128,"""Launceston""",,,,,,"""AULST""",,
128,3129,"""Longreach Tasmanian""",,,,,,,,
129,3130,"""Lucinda""","""Pier, Jetty or Wharf""","""Very Small""",,,,,"""info@pcq.com.au""","""www.pcq.com.au"""
130,3131,"""Mackay""","""Harbor""","""Small""","""61 7 4955 8155""","""61 7 4955 2868""",,,"""mpa@mackayports.com""","""www.mackayports.com"""
131,3132,"""Maryborough""",,,,,,,,
132,3133,"""Melbourne""","""Deepwater Seaport""","""Very Large""","""+61 3 9628 7555""","""+61 3 9628 7550""",,"""AUMEL""","""information@portofmelbourne.com""","""www.portofmelbourne.com"""
133,3134,"""Milner Bay""","""Pier, Jetty or Wharf""","""Small""","""61 08 8987 4444""","""61 08 8987 4499""",,,"""info@gemco.com.au""","""www.gemco.com.au"""
134,3135,"""Mourilyan""","""Harbor""","""Very Small""",,,,,"""info@pcq.com.au""","""www.pcq.com.au"""
135,3136,"""Newcastle""","""Seaport""","""Medium""","""02 - 4985 8222""",,"""1800 048 205""","""AUNTL""","""mail@newportcorp.com""","""www.newportcorp.com.au"""
136,3137,"""Penneshaw""",,,,,,,,
137,3138,"""Perth""",,,,,,,,
138,3139,"""Port Alma""","""Pier, Jetty or Wharf""","""Very Small""","""61 7 4934 6931""","""61 7 4934 6928""",,,,"""www.cqpa.com.au"""
139,3140,"""Port Bonython""","""Pier, Jetty or Wharf""","""Small""","""61 8 8116 5000""","""61 8 8116 5050""",,,,"""www.santos.com"""
140,3141,"""Port Giles""","""Pier, Jetty or Wharf""","""Very Small""","""+61 8 8447 0611""","""+61 8 8447 0606""",,,"""flindersports@flindersports.com.au""","""www.flindersports.com.au"""
141,3142,"""Port Hedland""","""Seaport""","""Small""","""61 8 9173 0000""","""61 8 9173 0060""",,"""AUPHE""","""phpa@phpa.com.au""","""www.phpa.com.au"""
142,3143,"""Port Huon""",,,,,,,,
143,3144,"""Port Kembla""","""Seaport""","""Medium""","""61 2 4275 0100""","""61 2 4274 0643""",,"""AUPKL""","""enquiries@kemblaport.com.au""","""www.kemblaport.com.au"""
144,3145,"""Portland""","""Harbor""","""Small""","""61 3 5525 0900""","""61 3 5521 7488""",,"""USPWM""","""info@portofportland.com.au""","""www.portofportland.com.au"""
145,3146,"""Port Latta""",,,,,,,,
146,3147,"""Port Lincoln""","""Pier, Jetty or Wharf""","""Very Small""","""+61 8 8447 0611""","""+61 8 8447 0606""",,,"""flindersports@flindersports.com.au""","""www.flindersports.com.au"""
147,3148,"""Port Phillip Bay""",,,,,,,,
148,3149,"""Port Pirie""","""Seaport""","""Small""","""+61 8 8447 0611""","""+61 8 8447 0606""",,,"""flindersports@flindersports.com.au""","""www.flindersports.com.au"""
149,3150,"""Port Stanvac""",,,,,,,,
150,3151,"""Port Walcott""","""Pier, Jetty or Wharf""","""Small""","""61 8 9187 1329""","""61 8 9187 1601""",,,"""pilots@kisser.net.au""",
151,3152,"""Saladin Marine Terminal""",,,,,,,,
152,3153,"""Spring Bay""",,,,,,,,
153,3154,"""Stag Marine Terminal""",,,,,,,,
154,3155,"""Stanley""","""Pier, Jetty or Wharf""","""Very Small""","""1 300 366 742""","""03 6421 4988""",,,"""secretary@tasports.com.au""","""www.tasports.com.au"""
155,3156,"""Strahan""","""Harbor""","""Small""","""61 3 6421 4911""","""61 3 6421 4988""",,,"""secretary@tasports.com.au""","""www.tasports.com.au"""
156,3157,"""Sydney""","""Deepwater Seaport""","""Large""","""61 2 9296 4999""","""61 2 9296 4742""",,"""AUSYD""",,"""www.sydneyports.com.au"""
157,3158,"""Thevenard""","""Pier, Jetty or Wharf""","""Very Small""","""+61 8 8447 0611""","""+61 8 8447 0606""",,,"""flindersports@flindersports.com.au""","""www.flindersports.com.au"""
158,3159,"""Thursday Island""","""Pier, Jetty or Wharf""","""Small""",,,,,"""info@pcq.com.au""","""www.pcq.com.au"""
159,3160,"""Torres Strait""",,,,,,,,
160,3161,"""Townsville""","""Harbor""","""Small""","""61 7 4781 1500""","""617 4781 1525""",,"""AUTSV""","""info@townsville-port.com.au""","""www.townsville-port.com.au"""
161,3162,"""Useless Loop""",,,,,,,,
162,3163,"""Varanus Island Terminal""",,,,,,,,
163,3164,"""Wallaroo""","""Pier, Jetty or Wharf""","""Small""","""+61 8 8447 0611""","""+61 8 8447 0606""",,,"""flindersports@flindersports.com.au""","""www.flindersports.com.au"""
164,3165,"""Wandoo Marine Terminal""",,,,,,,,
165,3166,"""Weipa""","""Pier, Jetty or Wharf""","""Small""",,,,"""AUWEI""","""info@pcq.com.au""","""www.pcq.com.au"""
166,3167,"""Whyalla""",,,,,,,,
167,3168,"""Wyndham""",,,,,,,,
168,3169,"""Yamba""","""Harbor""","""Small""","""61 2 6646 2002""","""61 2 6646 1596""",,,"""pilot@yamba.nsw.gov.au""","""www.yamba.nsw.gov.au"""
169,3170,"""Vienna""",,,,,,,,
170,3171,"""Wels""",,,,,,,,
171,3172,"""Baku""","""Seaport""","""Large""","""994 12 930268""","""994 12 933672""",,"""AZBAK""","""office@bakuseaport.net""","""bakuseaport.az"""
172,3173,"""Freeport""","""Seaport""","""Medium""","""242 350-8000""","""242 351-8044""",,"""USFPO""",,"""www.freeportcontainerport.com"""
173,3174,"""Inagua Islands""","""Pier, Jetty or Wharf""","""Very Small""","""242 322 8832""","""242 322 5545""",,,"""portaja@batelnet.bs""",
174,3175,"""Nassau""","""Seaport""","""Small""","""242-322-8832""","""242-322-5545""",,"""BSNAS""","""portaja@batelnet.bs""",
175,3176,"""Ocean Cay""","""Pier, Jetty or Wharf""","""Very Small""",,,,,,
176,3177,"""South Riding Point""","""Pier, Jetty or Wharf""","""Very Small""","""242 353 4471""","""242 353 4573""",,,"""srphl@netscape.net""",
177,3178,"""Bahrain""",,,,,,"""BHBAH""",,
178,3179,"""Mina Sulman""",,,,,,,,
179,3180,"""Sitra""","""Pier, Jetty or Wharf""","""Small""","""973 1775 7744""","""973 1775 7747""",,,,"""www.bahrainports.gov.bh"""
180,3181,"""Chalna""",,,,,,"""BDCHL""",,
181,3182,"""Chittagong""","""Seaport""","""Medium""","""880-31- 2522200""","""880-31- 2510889""",,"""BDCGP""","""secretary@cpa.gov.bd""","""www.cpa.gov.bd"""
182,3183,"""Dhaka""",,,,,,"""BDDAC""",,
183,3184,"""Mongla""","""River Port""","""Small""","""04662-75200""","""04662-75224""",,"""BDMGL""","""mpa@bttb.net.bd""","""www.monglaport.com.bd"""
184,3185,"""Bridgetown""","""Harbor""","""Small""","""(246) 430-4700""","""(246) 429-5348""",,"""BBBGI""","""administrator@barbadosport.com""","""www.barbadosport.com"""
185,3186,"""Brest""",,,,,,"""FRBES""",,
186,3187,"""Antwerpen""","""Seaport""","""Very Large""","""+32-3-205 20 11""","""+32-3-205 20 28""",,"""BEANR""","""info@haven.antwerpen.be""","""www.portofantwerp.be"""
187,3188,"""Brussels""","""River Port""","""Large""","""32 2 420.67.00""","""32 2 420.69.74""",,,"""ortdebruxelles@port.irisnet.be""","""www.portdebruxelles.irisnet.be"""
188,3189,"""Ghent""","""River Port""","""Large""","""+32/9 251 05 50""","""+32/9 251 54 06""",,,"""info@havengent.be""","""www.havengent.be"""
189,3190,"""Hemiksem""",,,,,,,,
190,3191,"""Liege""","""River Port""","""Medium""","""04/232.97.97""","""04/223.11.09""",,,"""portdeliege@skynet.be""","""www.liege.port-autonome.be"""
191,3192,"""Londerzeel""",,,,,,,,
192,3193,"""Nieuwpoort""","""Seaport""","""Medium""","""32 58 233 000""","""32 58 231 575""",,,,"""wwwe.loodswezen.nl"""
193,3194,"""Ostend""","""Seaport""","""Medium""","""+32 (0)59 34.07.11""","""+32 (0)59 34.07.10""",,,"""info@portofoostende.be""","""www.portofoostende.be"""
194,3195,"""Zeebgrugge""","""Seaport""","""Medium""","""32 50 54 32 11""","""32 50 54 32 24""",,,"""mbz@zeebruggeport.be""","""www.zeebruggeport.be"""
195,3196,"""Belize""",,,,,,,,
196,3197,"""Belize City""","""Harbor""","""Small""","""501 227 2480""","""501 227 2500""",,"""BZBZE""","""portbz@btl.net""",
197,3198,"""Cotonou""","""Seaport""","""Medium""","""229 315280""","""229 312891""",,"""BJCOO""","""pac@leland.bj""","""www.otal.com/benin"""
198,3199,"""Seme Terminal""",,,,,,,,
199,3200,"""Freeport""","""Harbor""","""Small""","""441 295 6575""","""441 295 5523""",,"""USFPO""",,
200,3201,"""Hamilton""","""Seaport""","""Medium""","""441 295 6575""","""441 295 3718""",,"""NZHLZ""",,
201,3202,"""St George's""","""Harbor""","""Small""","""441 295 6575""","""441 295 3718""",,,,
202,3203,"""San Pedro""",,,,,,"""ARSPD""",,
203,3204,"""Alumar""","""Pier, Jetty or Wharf""","""Small""","""55 98 218 1392""","""55 98 218 1461""",,,,
204,3205,"""Angra dos Reis""","""Harbor""","""Small""","""55 24 2365 0273""","""55 24 2365 0273""",,,,"""www.portosrio.gov.br"""
205,3206,"""Aracaju""","""Pier, Jetty or Wharf""","""Small""","""55 79 224 6148""","""55 79 224 7591""",,,,"""www.ibritto.com.br"""
206,3207,"""Aracati""",,,,,,,,
207,3208,"""Aratu""","""Seaport""","""Medium""","""71 602-5711""","""71 602-5705""",,"""BRARB""","""portoaratu@codeba.com.br""","""www.codeba.com.br"""
208,3209,"""Areia Branca""",,,,,,"""BRARE""",,
209,3210,"""Barao De Teffe""",,,,,,,,
210,3211,"""Belem""","""Pier, Jetty or Wharf""","""Medium""","""91 3216-2129""","""91 3216-2130""",,"""BRBEL""","""evandro@cdp.com.br""","""www.cdp.com.br"""
211,3212,"""Cabedello""",,,,,,,,
212,3213,"""Carmopolis""",,,,,,,,
213,3214,"""Corumba""","""River Port""","""Small""","""55 67 2312913""","""55 67 231 2661""",,,,"""www.ahipar.gov.br"""
214,3215,"""Dow Quimica Terminal""",,,,,,,,
215,3216,"""Forno""","""Pier, Jetty or Wharf""","""Small""","""24 622-1185""","""24 622-1185""",,"""BRFNO""","""portodoforno@mar.com.br""",
216,3217,"""Fortaleza""",,,,,,"""BRFOR""",,
217,3218,"""Gebig""","""Pier, Jetty or Wharf""","""Small""","""55 24 2361 2255""","""55 24 2361 2255""",,,,
218,3219,"""Guamare Oil Terminal""",,,,,,,,
219,3220,"""Ilheus""","""Harbor""","""Small""","""73 231-1200""","""73 231-3318""",,"""BRIOS""","""portoilheus@codeba.com.br""","""www.codeba.com.br"""
220,3221,"""Imbituba""","""Harbor""","""Small""","""48 3255-0080""","""48 255 0701""",,"""BRIBB""",,"""www.cdiport.com.br"""
221,3222,"""Itajai""","""Seaport""","""Medium""","""55 47 341 8000""","""55 47 341 8075""",,"""BRITJ""","""atendimento@portoitajai.com.br""","""www.portoitajai.com.br"""
222,3223,"""Itaqui""","""Seaport""","""Medium""","""98 3216-6000""","""98 3216-6060""",,"""BRITQ""",,
223,3224,"""Joao Pessoa""",,,,,,,,
224,3225,"""Laguna""",,,,,,,,
225,3226,"""Macapa""",,,,,,,,
226,3227,"""Maceio""","""Seaport""","""Small""","""55 82 231 1999""","""55 82 231 2975""",,"""BRMCZ""","""domiciojose@portodemaceio.com.br""","""www.portodemaceio.com.br"""
227,3228,"""Manaus""","""River Port""","""Medium""","""55 92 2123 4350""","""55 92 2123 4360""",,"""BRMAO""","""alecom@portodemanaus.com.br""","""www.portodemanaus.com.br"""
228,3229,"""Munguba""","""River Port""","""Small""","""55 91 736 6132""","""55 91 736 1140""",,,,
229,3230,"""Natal""","""Harbor""","""Small""","""84 4005 5311""",,,"""BRNAT""","""administrativo@codern.com.br""","""www.codern.com.br"""
230,3231,"""Navegantes""",,,,,,"""BRNVT""",,
231,3232,"""Niteroi""","""Seaport""","""Large""","""55 21 2718 3182""","""55 21 2620 7563""",,,,"""www.portosrio.gov.br"""
232,3233,"""Obidos""","""River Port""","""Small""","""91 547-1253""",,,,,"""www.cdp.com.br"""
233,3234,"""Paranagua""","""Seaport""","""Medium""","""55 14 1420 1100""","""55 14 1422 5324""",,"""BRPNG""","""portos@pr.gov.br""","""www.portosdoparana.pr.gov.br"""
234,3235,"""Pecem""","""Pier, Jetty or Wharf""","""Small""","""85 3315-1977""","""85 3315-1974""",,"""BRPEC""","""cearaportos@cearaportos.ce.gov.br""","""www.cearaportos.ce.gov.br"""
235,3236,"""Pelotas""","""Ferry""","""Small""","""55 53 3222 1125""","""55 53 3222 1815""",,,,
236,3237,"""Ponta Ubu""","""Pier, Jetty or Wharf""","""Small""","""55 27 3361 9000""","""55 27 3361 9474""",,,"""portodeubu@samarco.com.br""","""www.portodeubu.com.br"""
237,3238,"""Porto Abc Norte""",,,,,,,,
238,3239,"""Porto Alegre""","""Seaport""","""Medium""","""55 51 3211 5022""","""55 51 3211 5033""",,"""BRPOA""",,
239,3240,"""Portocel""","""Seaport""","""Small""","""55 27 3270 4432""","""55 27 3270 4433""",,"""BRPCL""","""mlm@aracruz.com.br""",
240,3241,"""Porto-Ilha""",,,,,,,,
241,3242,"""Praia Mole""","""Seaport""","""Medium""","""55 27 3328 0055""","""55 27 3228 2330""",,,,
242,3243,"""Recife""",,,,,,"""BRREC""",,
243,3244,"""Regencia""",,,,,,,,
244,3245,"""Rio De Jan Eiro""","""Seaport""","""Medium""","""2219-9542""",,,,"""suprio@portosrio.gov.br""","""www.portosrio.gov.br"""
245,3246,"""Rio Grande""","""Seaport""","""Medium""","""53 3231-1366""","""53 3231-1857""",,"""BRRIG""",,"""www.portoriogrande.com.br"""
246,3247,"""Salvador""","""Harbor""","""Medium""","""71 320-1299""","""71 320-1268""",,"""BRSSA""","""portosalvador@codeba.com.br""","""www.codeba.com.br"""
247,3248,"""Santa Clara""",,,,,,,,
248,3249,"""Santana""","""Pier, Jetty or Wharf""","""Small""","""55 96 281 1092""",,,,,
249,3250,"""Santarem""","""Pier, Jetty or Wharf""","""Very Small""","""91 523-3693""","""91 523-4693""",,"""BRSTM""","""aposan@cdp.com.br""","""www.cdp.com.br"""
250,3251,"""Santos""","""Seaport""","""Medium""","""(13) 3233-6565""","""(13) 3233-3080""",,"""BRSSZ""",,"""www.portodesantos.com"""
251,3252,"""Sao Francisco""","""Seaport""","""Small""","""55 47 471 1200""","""55 47 471 1211""",,,"""licitacao@apsfs.sc.gov.br""","""www.apsfs.sc.gov.br"""
252,3253,"""Sao Sebastiao""","""Pier, Jetty or Wharf""","""Small""","""12 3892-1899""","""12 3892-1899""",,"""BRSSO""",,"""www.dersa.sp.gov.br"""
253,3254,"""Sepetiba""","""Seaport""","""Very Small""","""55 21 2688 1424""","""55 21 2688 1287""",,,,"""www.portosrio.gov.br"""
254,3255,"""Suape""",,,,,,"""BRSUA""",,
255,3256,"""Tramandai""","""Off-Shore Terminal""","""Very Small""","""55 51 3684 9530""","""55 51 3684 9528""",,,"""jrfilho@petrobras.com.br""",
256,3257,"""Trombetas""","""River Port""","""Small""","""55 93 549 7029""","""55 93 549 1482""",,,,
