index,IMO number,Vessel Name,Ship type,Flag,Gross Tonnage,Summer Deadweight (t),Length Overall (m),Beam (m),Draught (m),Year of Built,TEU,Crude,Grain,Bale,AIS Type,Destination,ETA,IMO / MMSI,Callsign,Length / Beam,Current draught,Course / Speed,Coordinates,MMSI,Course,Speed,latitude,longitude,Length,Beam,Link,Max Speed (knots),Average Speed (knots),Average Speed (km/h),Builder
12,9776420,CMA CGM JEAN MERMOZ,Container Ship,Malta,219277,202684,400,59,None,2018,None,,,,Cargo ship (HAZ-A),YANGSHAN,"May 2, 11:00",9776420 / 248758000,9HA4798,399 / 58 m,14.6 m,155.0Â° / 0.1 kn,30.6332 N/122.04568 E,248758000,155.0Â°,0.1 kn,30.6332,122.04568,399,58 m,https://www.vesselfinder.com/vessels/CMA-CGM-JEAN-MERMOZ-IMO-9776420-MMSI-248758000,19.1,17.4,32.2248,Feadship
13,9786827,EVER GIFTED,Container Ship,Singapore,217762,199700,400,59,None,2018,None,,,,Cargo ship,COLOMBO,"May 6, 23:00",9786827 / 563068900,9V5825,399 / 59 m,15.3 m,151.5Â° / 20.5 kn,19.96469 N/39.00741 E,563068900,151.5Â°,20.5 kn,19.96469,39.00741,399,59 m,https://www.vesselfinder.com/vessels/EVER-GIFTED-IMO-9786827-MMSI-563068900,20.6,19.7,36.4844,Meyer Werft
14,9776418,CMA CGM ANTOINE DE SAINT EXUPERY,Container Ship,France,217673,202684,400,59,None,2018,None,,,,Cargo ship (HAZ-A),DUQM,"Apr 3, 14:00",9776418 / 228098700,FJZP,399 / 58 m,10.5 m,96.0Â° / 11.8 kn,19.70388 N/57.89827 E,228098700,96.0Â°,11.8 kn,19.70388,57.89827,399,58 m,https://www.vesselfinder.com/vessels/CMA-CGM-ST-EXUPERY-IMO-9776418-MMSI-228098700,13.2,12.2,22.5944,Zidell Marine
15,9776432,CMA CGM LOUIS BLERIOT,Container Ship,Malta,217673,202684,399,59,None,2018,None,,,,Cargo ship (HAZ-A),GBSOU,"May 3, 02:45",9776432 / 248794000,9HA4811,399 / 58 m,14.0 m,63.0Â° / 18.5 kn,48.99122 N/5.12598 W,248794000,63.0Â°,18.5 kn,48.99122,-5.12598,399,58 m,https://www.vesselfinder.com/vessels/CMACGM-LOUIS-BLERIOT-IMO-9776432-MMSI-248794000,20,19.1,35.3732,"Samsung Heavy Industries Co., Ltd."
16,9811012,EVER GOLDEN,Container Ship,Panama,217612,199692,400,59,None,2018,None,,,,Cargo ship (HAZ-A),EGSUZ,"May 4, 20:00",9811012 / 354654000,H9TK,400 / 59 m,14.7 m,107.0Â° / 17.1 kn,35.62658 N/16.86091 E,354654000,107.0Â°,17.1 kn,35.62658,16.86091,400,59 m,https://www.vesselfinder.com/vessels/EVER-GOLDEN-IMO-9811012-MMSI-354654000,18.2,17.4,32.2248,Ulstein Group
17,9811000,EVER GIVEN,Container Ship,Panama,217612,199700,400,59,None,2018,None,,,,Cargo ship,ZHOUSHAN,"Apr 12, 04:40",9811000 / 353136000,H3RC,400 / 59 m,6.7 m,211.0Â° / 0.0 kn,29.79434 N/122.1237 E,353136000,211.0Â°,0.0 kn,29.79434,122.1237,400,59 m,https://www.vesselfinder.com/vessels/EVER-GIVEN-IMO-9811000-MMSI-353136000,6.7,5.6,10.3712,Lawrence & Foulks
18,9810991,EVER GOODS,Container Ship,Panama,217612,199692,400,59,None,2018,None,,,,Cargo ship (HAZ-A),COLOMBO,"Apr 29, 22:30",9810991 / 371308000,3FRV5,400 / 59 m,15.7 m,86.0Â° / 18.7 kn,6.19325 N/92.49884 E,371308000,86.0Â°,18.7 kn,6.19325,92.49884,400,59 m,https://www.vesselfinder.com/vessels/EVER-GOODS-IMO-9810991-MMSI-371308000,21,20.2,37.4104,"Hyundai Samho Heavy Industries Co., Ltd."
19,9820855,EVER GRADE,Container Ship,Panama,217612,199700,400,59,None,2018,,,,,Cargo ship,YANGSHAN,"May 2, 23:00",9820855 / 357463000,3FZS6,399 / 59 m,13.4 m,140.1Â° / 12.9 kn,35.30312 N/121.25542 E,357463000,140.1Â°,12.9 kn,35.30312,121.25542,399,59 m,https://www.vesselfinder.com/vessels/EVER-GRADE-IMO-9820855-MMSI-357463000,10.9,7.4,13.7048,Modest Infrastructure Ltd
20,9786841,EVER GLOBE,Container Ship,Panama,217600,199700,400,59,,2019,,,,,Cargo ship,COLOMBO,"May 1, 22:30",9786841 / 354977000,3FWU2,399 / 58 m,15.7 m,109.7Â° / 19.3 kn,34.85206 S/19.01253 E,354977000,109.7Â°,19.3 kn,-34.85206,19.01253,399,58 m,https://www.vesselfinder.com/vessels/EVER-GLOBE-IMO-9786841-MMSI-354977000,18.3,17.3,32.0396,Vosper & Company
21,9820922,EVER GENTLE,Container Ship,Liberia,217600,199489,400,59,None,2019,,,,,Cargo ship,CNYTN-MYPTP,"Apr 30, 06:00",9820922 / 636019174,D5TG9,400 / 59 m,15.8 m,270.0Â° / 19.6 kn,6.00124 N/95.26453 E,636019174,270.0Â°,19.6 kn,6.00124,95.26453,400,59 m,https://www.vesselfinder.com/vessels/EVER-GENTLE-IMO-9820922-MMSI-636019174,11.9,9.2,17.0384,Azimut
22,9832729,EVER GREET,Container Ship,Panama,217600,199700,400,59,,2019,,,,,Cargo ship,ROTTERDAM,"May 5, 19:00",9832729 / 371829000,3FLF4,399 / 59 m,16.1 m,264.4Â° / 19.7 kn,36.11214 N/3.98495 W,371829000,264.4Â°,19.7 kn,36.11214,-3.98495,399,59 m,https://www.vesselfinder.com/vessels/EVER-GREET-IMO-9832729-MMSI-371829000,20,19.1,35.3732,John Roach & Sons
23,9786815,EVER GENIUS,Container Ship,Panama,217600,199700,400,59,None,2018,None,,,,Cargo ship,MYPTP=>EGSUZ,"May 4, 20:00",9786815 / 370121000,3FJU4,400 / 59 m,16.1 m,330.0Â° / 19.0 kn,16.02371 N/41.38277 E,370121000,330.0Â°,19.0 kn,16.02371,41.38277,400,59 m,https://www.vesselfinder.com/vessels/EVER-GENIUS-IMO-9786815-MMSI-370121000,21.6,19.9,36.8548,Chantiers et Ateliers Augustin Normand
24,9786839,EVER GLORY,Container Ship,Liberia,217600,199700,400,59,None,2019,,,,,Cargo ship,FELIXSTOWE,"May 2, 01:30",9786839 / 636019234,D5TO4,400 / 59 m,10.9 m,205.2Â° / 0.0 kn,51.94404 N/1.31557 E,636019234,205.2Â°,0.0 kn,51.94404,1.31557,400,59 m,https://www.vesselfinder.com/vessels/EVER-GLORY-IMO-9786839-MMSI-636019234,6.8,5.9,10.9268,Mangalia shipyard
25,9832717,EVER GOVERN,Container Ship,Panama,217600,199700,400,59,None,2019,,,,,Cargo ship,NLRDM,"May 1, 17:00",9832717 / 356582000,HPUI,400 / 59 m,11.9 m,158.2Â° / 0.0 kn,51.94691 N/4.04478 E,356582000,158.2Â°,0.0 kn,51.94691,4.04478,400,59 m,https://www.vesselfinder.com/vessels/EVER-GOVERN-IMO-9832717-MMSI-356582000,13,10.5,19.446,SEMAR (Veracruz Federal Shipbuilding)
26,9795658,COSCO SHIPPING STAR,Container Ship,Hong Kong,216124,199000,400,59,None,2018,,,,,Cargo ship (HAZ-A),GR PIR,"May 1, 21:00",9795658 / 477318200,VRSQ4,400 / 59 m,14.5 m,252.8Â° / 0.0 kn,37.95618 N/23.58574 E,477318200,252.8Â°,0.0 kn,37.95618,23.58574,400,59 m,https://www.vesselfinder.com/vessels/COSCO-SHIPPING-STAR-IMO-9795658-MMSI-477318200,13.4,11.9,22.0388,Barkmeijer Shipyards
27,9795660,COSCO SHIPPING PLANET,Container Ship,Hong Kong,216124,199000,400,59,,2019,,,,,Cargo ship (HAZ-A),MY PKG,"May 3, 10:00",9795660 / 477345900,VRSU6,400 / 59 m,13.0 m,129.0Â° / 13.7 kn,5.31994 N/97.9096 E,477345900,129.0Â°,13.7 kn,5.31994,97.9096,400,59 m,https://www.vesselfinder.com/vessels/COSCO-PLANET-IMO-9795660-MMSI-477345900,17.2,13.9,25.7428,Seaspan Marine Corporation
28,9795634,COSCO SHIPPING GALAXY,Container Ship,Hong Kong,215553,198070,400,59,None,2019,,,,,Cargo ship (HAZ-A),DEWVN,"May 4, 07:00",9795634 / 477269300,VRSJ9,400 / 59 m,12.9 m,7.4Â° / 15.0 kn,55.14382 N/10.99059 E,477269300,7.4Â°,15.0 kn,55.14382,10.99059,400,59 m,https://www.vesselfinder.com/vessels/COSCO-GALAXY-IMO-9795634-MMSI-477269300,16.6,10.7,19.8164,Stabilimento Tecnico Triestino
29,9795646,COSCO SHIPPING SOLAR,Container Ship,Hong Kong,215553,196000,400,59,None,2019,,,,,Cargo ship (HAZ-A),SINGAPORE PEBGA,"May 3, 07:00",9795646 / 477302900,VRSO4,400 / 59 m,14.6 m,212.0Â° / 18.5 kn,4.63252 N/106.3503 E,477302900,212.0Â°,18.5 kn,4.63252,106.3503,400,59 m,https://www.vesselfinder.com/vessels/COSCO-SHIPPING-SOLAR-IMO-9795646-MMSI-477302900,18.9,18.8,34.8176,Kaiser Shipyards
30,9795610,COSCO SHIPPING UNIVERSE,Container Ship,Hong Kong,215553,198485,400,59,None,2018,None,,,,Cargo ship (HAZ-A),CN TSN,"May 1, 09:00",9795610 / 477157400,VRRP4,400 / 58 m,13.5 m,135.5Â° / 0.0 kn,39.00122 N/117.78672 E,477157400,135.5Â°,0.0 kn,39.00122,117.78672,400,58 m,https://www.vesselfinder.com/vessels/COSCO-UNIVERSE-IMO-9795610-MMSI-477157400,20.5,17.5,32.41,Harland and Wolff
31,9795622,COSCO SHIPPING NEBULA,Container Ship,Hong Kong,215553,197902,400,59,None,2018,None,,,,Cargo ship (HAZ-A),EGSZC,"May 8, 20:00",9795622 / 477194400,VRRW8,400 / 58 m,15.9 m,287.0Â° / 16.7 kn,7.65649 N/74.07914 E,477194400,287.0Â°,16.7 kn,7.65649,74.07914,400,58 m,https://www.vesselfinder.com/vessels/COSCO-NEBULA-IMO-9795622-MMSI-477194400,17.9,17,31.484,Kaiserliche Werft Danzig
32,9780483,MAASTRICHT MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2019,None,,,,Cargo ship,ESALG-DEBRV,"May 4, 02:00",9780483 / 219045000,OWSE2,399 / 58 m,14.3 m,57.0Â° / 18.2 kn,49.67945 N/3.16122 W,219045000,57.0Â°,18.2 kn,49.67945,-3.16122,399,58 m,https://www.vesselfinder.com/vessels/MAASTRICHT-MAERSK-IMO-9780483-MMSI-219045000,18.7,17.5,32.41,Cantiere navale di Palermo
33,9780445,MANCHESTER MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2018,None,,,,Cargo ship (HAZ-A),CN ZOS,"May 1, 01:50",9780445 / 219034000,OWAV2,399 / 58 m,10.5 m,326.0Â° / 0.0 kn,29.8225 N/122.11652 E,219034000,326.0Â°,0.0 kn,29.8225,122.11652,399,58 m,https://www.vesselfinder.com/vessels/MANCHESTER-MAERSK-IMO-9780445-MMSI-219034000,12.8,9.6,17.7792,Marystown Shipyard
34,9778806,MUNICH MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2017,None,,,,Cargo ship (HAZ-A),YANTIAN,"May 3, 22:00",9778806 / 219835000,OWCH2,399 / 58 m,15.0 m,215.0Â° / 19.9 kn,27.40515 N/121.92013 E,219835000,215.0Â°,19.9 kn,27.40515,121.92013,399,58 m,https://www.vesselfinder.com/vessels/MUNICH-MAERSK-IMO-9778806-MMSI-219835000,10.3,9,16.668,Mazagon Dock Limited
35,9778820,MILAN MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2017,None,,,,Cargo ship (HAZ-A),CN SHE - CN DAI,"May 14, 10:00",9778820 / 219861000,OWGK2,399 / 58 m,10.5 m,26.5Â° / 12.5 kn,29.17027 N/122.89948 E,219861000,26.5Â°,12.5 kn,29.17027,122.89948,399,58 m,https://www.vesselfinder.com/vessels/MILAN-MAERSK-IMO-9778820-MMSI-219861000,13.4,12.1,22.4092,Okean Shipyard
36,9778791,MADRID MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2017,None,,,,Cargo ship,CNSGH>>CNDAI,"May 2, 22:00",9778791 / 219836000,OWMD2,399 / 58 m,11.4 m,357.4Â° / 15.2 kn,37.61503 N/123.26383 E,219836000,357.4Â°,15.2 kn,37.61503,123.26383,399,58 m,https://www.vesselfinder.com/vessels/MADRID-MAERSK-IMO-9778791-MMSI-219836000,15.4,13.6,25.1872,Cantiere navale di Palermo
37,9780471,MUMBAI MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2018,None,,,,Cargo ship (HAZ-A),SUEZ CANAL,"May 6, 21:00",9780471 / 219039000,OWNQ2,399 / 58 m,18.7 m,286.0Â° / 18.4 kn,12.862 N/55.93515 E,219039000,286.0Â°,18.4 kn,12.862,55.93515,399,58 m,https://www.vesselfinder.com/vessels/MUMBAI-MAERSK-IMO-9780471-MMSI-219039000,19,18.5,34.262,Western India Shipyard Limited
38,9778818,MOSCOW MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2017,None,,,,Cargo ship,MYTPP>EGSUC,"May 13, 21:00",9778818 / 219864000,OWCM2,399 / 58 m,16.5 m,297.0Â° / 18.5 kn,4.51025 N/99.13465 E,219864000,297.0Â°,18.5 kn,4.51025,99.13465,399,58 m,https://www.vesselfinder.com/vessels/MOSCOW-MAERSK-IMO-9778818-MMSI-219864000,19.8,18.6,34.4472,Vosper Thornycroft
39,9778832,MONACO MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2017,None,,,,Cargo ship (HAZ-A),SGSIN > CNSGH,"May 6, 01:00",9778832 / 219863000,OWNL2,399 / 58 m,13.8 m,27.0Â° / 19.9 kn,7.58968 N/109.41483 E,219863000,27.0Â°,19.9 kn,7.58968,109.41483,399,58 m,https://www.vesselfinder.com/vessels/MONACO-MAERSK-IMO-9778832-MMSI-219863000,20,17.5,32.41,Marystown Shipyard
40,9780457,MURCIA MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2018,None,,,,Cargo ship (HAZ-A),ZHOUSHAN XINYA,"Apr 26, 05:00",9780457 / 219036000,OWTB2,399 / 58 m,8.0 m,220.0Â° / 0.0 kn,29.79377 N/122.12388 E,219036000,220.0Â°,0.0 kn,29.79377,122.12388,399,58 m,https://www.vesselfinder.com/vessels/MURCIA-MAERSK-IMO-9780457-MMSI-219036000,14.6,10.5,19.446,Shalimar Works (1980) Ltd
41,9778844,MARSEILLE MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2018,None,,,,Cargo ship (HAZ-D),MYTPP - EGSUC,"May 8, 21:00",9778844 / 219854000,OWPU2,399 / 58 m,16.6 m,287.0Â° / 18.3 kn,8.6842 N/69.88818 E,219854000,287.0Â°,18.3 kn,8.6842,69.88818,399,58 m,https://www.vesselfinder.com/vessels/MARSEILLE-MAERSK-IMO-9778844-MMSI-219854000,20.3,17.9,33.1508,"Reaney, Son & Archbold"
42,9780469,MANILA MAERSK,Container Ship,Denmark,214286,190326,399,59,None,2018,None,,,,Cargo ship (HAZ-A),NLROT >> DEBRV,"May 4, 15:30",9780469 / 219038000,OWPP2,399 / 58 m,13.7 m,30.5Â° / 0.1 kn,51.95553 N/4.00355 E,219038000,30.5Â°,0.1 kn,51.95553,4.00355,399,58 m,https://www.vesselfinder.com/vessels/MANILA-MAERSK-IMO-9780469-MMSI-219038000,5.3,5.2,9.6304,Avondale Shipyard
43,9776224,OOCL INDONESIA,Container Ship,Hong Kong,210890,191374,400,59,None,2018,None,,,,Cargo ship,SGSIN>EGSUZ,"May 4, 20:00",9776224 / 477147600,VRRH6,400 / 59 m,14.4 m,335.8Â° / 18.0 kn,16.78826 N/40.86946 E,477147600,335.8Â°,18.0 kn,16.78826,40.86946,400,59 m,https://www.vesselfinder.com/vessels/OOCL-INDONESIA-IMO-9776224-MMSI-477147600,19.4,18.7,34.6324,Naval Group
44,9776183,OOCL GERMANY,Container Ship,Hong Kong,210890,191688,400,59,None,2017,None,,,,Cargo ship,NLRTM>>GRPIR,"May 7, 10:00",9776183 / 477035800,VRQS3,400 / 59 m,14.0 m,178.4Â° / 19.8 kn,38.75915 N/10.10707 W,477035800,178.4Â°,19.8 kn,38.75915,-10.10707,400,59 m,https://www.vesselfinder.com/vessels/OOCL-GERMANY-IMO-9776183-MMSI-477035800,19.7,18.3,33.8916,General Engineering & Dry Dock Company
45,9776200,OOCL UNITED KINGDOM,Container Ship,Hong Kong,210890,191570,400,59,None,2017,None,,,,Cargo ship (HAZ-A),GB FXT=>BE ZEE,"May 1, 22:30",9776200 / 477103800,VRQZ8,400 / 59 m,12.4 m,343.9Â° / 0.1 kn,51.34789 N/3.18781 E,477103800,343.9Â°,0.1 kn,51.34789,3.18781,400,59 m,https://www.vesselfinder.com/vessels/OOCL-UNITED-KINGDOM-IMO-9776200-MMSI-477103800,14.1,12.5,23.15,Andrée & Rosenqvist
46,9776212,OOCL SCANDINAVIA,Container Ship,Hong Kong,210890,191343,400,59,None,2017,None,,,,Cargo ship,EG CUR=>SHF TW,"May 4, 13:00",9776212 / 477121200,VRRB8,398 / 60 m,16.3 m,89.0Â° / 15.6 kn,5.97651 N/94.09219 E,477121200,89.0Â°,15.6 kn,5.97651,94.09219,398,60 m,https://www.vesselfinder.com/vessels/OOCL-SCAVDINTPI---IMO-9776212-MMSI-477121200,14.4,14.1,26.1132,Meyer Werft
47,9776195,OOCL JAPAN,Container Ship,Hong Kong,210890,191640,400,59,None,2017,None,,,,Cargo ship,ARM GUARD ONBOARD,"May 12, 03:30",9776195 / 477100400,VRQX5,400 / 59 m,15.8 m,72.0Â° / 17.3 kn,13.30394 N/49.53178 E,477100400,72.0Â°,17.3 kn,13.30394,49.53178,400,59 m,https://www.vesselfinder.com/vessels/OOCL-JAPAN-IMO-9776195-MMSI-477100400,18.2,17,31.484,Los Angeles Shipbuilding and Drydock
48,9776171,OOCL HONG KONG,Container Ship,Hong Kong,210890,191422,400,59,None,2017,None,,,,Cargo ship,EGSUZ>GBFXT,"May 6, 07:30",9776171 / 477333500,VRQL9,400 / 59 m,15.2 m,260.6Â° / 19.0 kn,36.33437 N/2.97255 W,477333500,260.6Â°,19.0 kn,36.33437,-2.97255,400,59 m,https://www.vesselfinder.com/vessels/OOCL-HONG-KONG-IMO-9776171-MMSI-477333500,19.7,18.7,34.6324,Persian Gulf Shipbuilding
49,9773210,MOL TRUTH,Container Ship,Panama,210691,189766,400,59,None,2017,None,,,,Cargo ship (HAZ-B),BUSAN NEW PORT KRPUS,"May 1, 00:01",9773210 / 356984000,3FBJ9,399 / 58 m,11.5 m,334.0Â° / 0.0 kn,34.24173 N/128.25069 E,356984000,334.0Â°,0.0 kn,34.24173,128.25069,399,58 m,https://www.vesselfinder.com/vessels/MOL-TRUTH-IMO-9773210-MMSI-356984000,13.1,11.4,21.1128,"Hall, Russell & Company"
50,9773222,MOL TREASURE,Container Ship,Panama,210691,189766,400,59,None,2018,None,,,,Cargo ship (HAZ-A),CNYSA,"May 5, 14:00",9773222 / 357210000,3EUO7,400 / 58 m,14.0 m,30.0Â° / 12.1 kn,19.24436 N/115.54021 E,357210000,30.0Â°,12.1 kn,19.24436,115.54021,400,58 m,https://www.vesselfinder.com/vessels/MOL-TREASURE-IMO-9773222-MMSI-357210000,15.7,14.8,27.4096,Richmond Shipyards
51,9769295,MOL TRIBUTE,Container Ship,Marshall Islands,210678,197106,400,59,None,2017,None,,,,Cargo ship (HAZ-A),CNYSA,"May 2, 08:45",9769295 / 538007476,V7PO8,400 / 59 m,11.2 m,103.3Â° / 0.0 kn,30.65266 N/122.02184 E,538007476,103.3Â°,0.0 kn,30.65266,122.02184,400,59 m,https://www.vesselfinder.com/vessels/MOL-TRIBUTE-IMO-9769295-MMSI-538007476,15,14.1,26.1132,Seaspan Marine Corporation
52,9769283,MOL TRUST,Container Ship,Marshall Islands,210678,197059,400,59,None,2017,None,,,,Cargo ship (HAZ-A),AE JEA,"May 9, 01:00",9769283 / 538007378,V7LF7,400 / 59 m,15.1 m,149.9Â° / 14.5 kn,19.56864 N/39.30321 E,538007378,149.9Â°,14.5 kn,19.56864,39.30321,400,59 m,https://www.vesselfinder.com/vessels/MOL-TRUST-IMO-9769283-MMSI-538007378,14.8,14.2,26.2984,Alexander Stephens and Sons
53,9769271,MOL TRIUMPH,Container Ship,Marshall Islands,210678,196878,400,59,None,2017,None,,,,Cargo ship (HAZ-A),CN TAO > KR PUS,"Apr 16, 16:00",9769271 / 538007360,V7FQ8,400 / 59 m,11.4 m,168.0Â° / 0.0 kn,34.87177 N/128.80345 E,538007360,168.0Â°,0.0 kn,34.87177,128.80345,400,59 m,https://www.vesselfinder.com/vessels/MOL-TRIUMPH-IMO-9769271-MMSI-538007360,10.8,7.5,13.89,Marinship – Bechtel Shipyards
54,9769300,MOL TRADITION,Container Ship,Marshall Islands,210678,197046,400,59,None,2017,None,,,,Cargo ship (HAZ-A),AWAITING ORDERS,"Jun 21, 00:01",9769300 / 538007606,V7WF4,400 / 59 m,10.2 m,250.0Â° / 0.0 kn,35.71687 N/121.08004 E,538007606,250.0Â°,0.0 kn,35.71687,121.08004,400,59 m,https://www.vesselfinder.com/vessels/MOL-TRADITION-IMO-9769300-MMSI-538007606,15,14,25.928,Seattle-Tacoma Shipbuilding
55,9839301,MSC SIXIN,Container Ship,Panama,210000,197500,400,61,,2019,,,,,Cargo ship,CNXMN,"May 2, 11:30",9839301 / 370711000,HP2652,399 / 61 m,13.9 m,314.3Â° / 0.0 kn,24.44133 N/118.03311 E,370711000,314.3Â°,0.0 kn,24.44133,118.03311,399,61 m,https://www.vesselfinder.com/vessels/MSC-SIXIN-IMO-9839301-MMSI-370711000,16.8,16.1,29.8172,Ailsa Shipbuilding Company
56,9839466,MSC MIA,Container Ship,Panama,210000,197500,400,62,,2019,,,,,Cargo ship,CNNGB,"Apr 30, 07:10",9839466 / 355798000,HP6643,400 / 62 m,11.7 m,160.0Â° / 0.0 kn,29.89173 N/122.04008 E,355798000,160.0Â°,0.0 kn,29.89173,122.04008,400,62 m,https://www.vesselfinder.com/vessels/MSC-MIA-IMO-9839466-MMSI-355798000,11,8.4,15.5568,Kaiser Shipyards
