Container Key,Owner Code,Serial Number,Check Digit,ISO Size Code,ISO Type Code
205,HLBU,133173,3,45,G0
206,HLBU,133178,0,45,G0
207,HLBU,133198,6,45,G0
208,HLXU,362596,6,22,U1
209,HLXU,362647,4,22,U1
210,HLXU,362660,1,22,U1
211,HLBU,133291,4,45,G0
212,HLBU,133308,4,45,G0
213,HLXU,362696,2,22,U1
214,HLBU,133320,6,45,G0
215,HLXU,362731,5,22,U1
216,HLBU,133377,8,45,G0
217,HLBU,133379,9,45,G0
218,HLBU,133397,3,45,G0
219,HLBU,133401,2,45,G0
220,HLXU,362796,9,22,U1
221,HLBU,133438,9,45,G0
222,HLXU,362819,10,22,U1
223,HLXU,362833,2,22,U1
224,HLXU,362839,5,22,U1
225,HLXU,362863,0,22,U1
226,HLBU,133490,1,45,G0
227,HLXU,362868,8,22,U1
228,HLXU,362924,1,22,U1
229,HLXU,362975,0,22,U1
230,HLXU,461713,7,42,U1
231,HLXU,461718,4,42,U1
232,HLXU,461720,3,42,U1
233,HLXU,461731,1,42,U1
234,HLXU,461759,0,42,U1
235,HLXU,461770,7,42,U1
236,HLXU,461799,1,42,U1
237,HLXU,560343,6,42,U1
238,HLXU,560363,1,42,U1
239,HLXU,560384,2,42,U1
240,HLXU,560412,9,42,U1
241,HLXU,560430,3,42,U1
242,HLXU,560445,3,42,U1
243,HLXU,560488,0,42,U1
244,HLXU,560526,10,42,U1
245,HLXU,560550,5,42,U1
246,HLXU,560555,2,42,U1
247,HLXU,560565,5,42,U1
248,HLXU,560579,10,42,U1
249,HLXU,560585,0,42,U1
250,HLXU,560632,7,42,U1
251,HLXU,560644,0,42,U1
252,HLXU,560659,0,42,U1
253,HLXU,560672,8,42,U1
254,HLXU,560782,7,42,U1
255,HLXU,560800,0,42,U1
256,HLXU,560813,10,42,U1
257,HLXU,560819,2,42,U1
258,HLXU,560847,10,42,U1
259,HLXU,560859,3,42,U1
260,HLXU,560866,10,42,U1
261,HLXU,560896,8,42,U1
262,HLXU,560901,2,42,U1
263,HLXU,560927,0,42,U1
264,HLXU,560961,9,42,U1
265,HLXU,560986,1,42,U1
266,HLXU,561016,3,42,U1
267,HLXU,561018,4,42,U1
268,HLXU,561027,1,42,U1
269,HLXU,561038,10,42,U1
270,HLXU,561051,7,42,U1
271,HLXU,561064,6,42,U1
272,HLXU,561069,3,42,U1
273,HLXU,561077,5,42,U1
274,HLXU,561102,5,42,U1
275,HLXU,561150,8,42,U1
276,HLXU,561158,1,42,U1
277,HLXU,561166,3,42,U1
278,HLXU,561184,8,42,U1
279,HLXU,561201,6,42,U1
280,HLXU,561203,7,42,U1
281,HLXU,561213,10,42,U1
282,HLXU,561217,1,42,U1
283,HLXU,561224,8,42,U1
284,HLXU,561270,10,42,U1
285,HLXU,561291,0,42,U1
286,HLXU,561305,4,42,U1
287,HLXU,561332,6,42,U1
288,HLXU,561340,8,42,U1
289,HLXU,561348,1,42,U1
290,HLXU,561362,4,42,U1
291,HLXU,561367,1,42,U1
292,HLXU,561394,3,42,U1
293,HLXU,561406,6,42,U1
294,HLXU,561424,0,42,U1
295,HLXU,561472,3,42,U1
296,HLXU,561557,1,42,U1
297,HLXU,561563,2,42,U1
298,HLXU,561601,1,42,U1
299,HLXU,561605,3,42,U1
300,HLXU,365000,1,22,U6
301,HLXU,561609,5,42,U1
302,HLXU,561610,9,42,U1
303,HLXU,365004,3,22,U6
304,HLXU,561625,9,42,U1
305,HLXU,561633,0,42,U1
306,HLXU,561635,1,42,U1
307,HLXU,561684,10,42,U1
308,HLXU,365099,5,22,U6
309,HLXU,365107,6,22,U6
310,HLXU,561727,6,42,U1
311,HLXU,823871,7,45,G0
312,HLXU,365122,4,22,U6
313,HLXU,561733,7,42,U1
314,HLXU,561738,4,42,U1
315,HLXU,561740,3,42,U1
316,HLXU,365142,10,22,U6
317,HLXU,823896,10,45,G0
318,HLXU,561759,5,42,U1
319,HLXU,365153,8,22,U6
320,HLXU,823919,0,45,G0
321,HLXU,823930,7,45,G0
322,HLXU,561789,3,42,U1
323,HLXU,365181,5,22,U6
324,HLXU,561797,5,42,U1
325,HLXU,823945,7,45,G0
326,HLXU,561818,5,42,U1
327,HLXU,823971,3,45,G0
328,HLXU,561853,9,42,U1
329,HLXU,365248,9,22,U6
330,HLXU,365261,6,22,U6
331,HLXU,561872,9,42,U1
332,HLXU,365272,4,22,U6
333,HLXU,365275,0,22,U6
334,HLXU,561900,5,42,U1
335,HLXU,365296,1,22,U6
336,HLXU,824048,4,45,G0
337,HLXU,824050,3,45,G0
338,HLXU,561906,8,42,U1
339,HLXU,561919,7,42,U1
340,HLXU,365322,7,22,U6
341,HLXU,824076,1,45,G0
342,HLXU,561936,6,42,U1
343,HLXU,561945,3,42,U1
344,HLXU,824102,7,45,G0
345,HLXU,824110,9,45,G0
346,HLXU,365361,2,22,U6
347,HLXU,824118,2,45,G0
348,HLXU,561984,9,42,U1
349,HLXU,561985,4,42,U1
350,HLXU,365388,6,22,U6
351,HLXU,824144,9,45,G0
352,HLXU,824149,6,45,G0
353,HLXU,365400,7,22,U6
354,HLXU,562021,7,42,U1
355,HLXU,562023,8,42,U1
356,HLXU,562024,3,42,U1
357,HLXU,365428,6,22,U6
358,HLXU,365438,9,22,U6
359,HLXU,824195,8,45,G0
360,HLXU,824201,8,45,G0
361,HLXU,824207,0,45,G0
362,HLXU,562069,1,42,U1
363,HLXU,562103,9,42,U1
364,HLXU,824249,2,45,G0
365,HLXU,824250,6,45,G0
366,HLXU,365500,3,22,U6
367,HLXU,824267,7,45,G0
368,HLXU,562133,7,42,U1
369,HLXU,824278,5,45,G0
370,HLXU,562141,9,42,U1
371,HLXU,365542,5,22,U6
372,HLXU,824303,5,45,G0
373,HLXU,824309,8,45,G0
374,HLXU,365563,6,22,U6
375,HLXU,365570,2,22,U6
376,HLXU,365571,8,22,U6
377,HLXU,562179,0,42,U1
378,HLXU,365573,9,22,U6
379,HLXU,365589,4,22,U6
380,HLXU,562200,9,42,U1
381,HLXU,365599,7,22,U6
382,HLXU,824355,10,45,G0
383,HLXU,365609,9,22,U6
384,HLXU,824372,9,45,G0
385,HLXU,562240,10,42,U1
386,HLXU,365638,1,22,U6
387,HLXU,824408,9,45,G0
388,HLXU,365661,1,22,U6
389,HLXU,562275,5,42,U1
390,HLXU,365681,7,22,U6
391,HLXU,562296,6,42,U1
392,HLXU,365693,0,22,U6
393,HLXU,365706,9,22,U6
394,HLXU,365716,1,22,U6
395,HLXU,824468,5,45,G0
396,HLXU,365725,9,22,U6
397,HLXU,824480,7,45,G0
398,HLXU,562342,7,42,U1
399,HLXU,365734,6,22,U6
400,HLXU,365737,2,22,U6
401,HLXU,562350,9,42,U1
402,HLXU,365774,7,22,U6
403,HLXU,562400,1,42,U1
404,HLXU,365796,3,22,U6
405,HLXU,365804,4,22,U6
406,HLXU,824563,4,45,G0
407,HLXU,824582,4,45,G0
408,HLXU,562447,0,42,U1
409,HLXU,824595,3,45,G0
410,HLXU,824624,5,45,G0
411,HLXU,562490,6,42,U1
412,HLXU,562491,1,42,U1
413,HLXU,562498,10,42,U1
414,HLXU,824653,8,45,G0
415,HLXU,824656,4,45,G0
416,HLXU,365915,9,22,U6
417,HLXU,365916,4,22,U6
418,HLXU,562536,9,42,U1
419,HLXU,365929,3,22,U6
420,HLXU,824691,8,45,G0
421,HLXU,824700,4,45,G0
422,HLXU,562562,5,42,U1
423,HLXU,562575,4,42,U1
424,HLXU,824730,2,45,G0
425,HLXU,824737,0,45,G0
426,HLXU,562609,3,42,U1
427,HLXU,562610,7,42,U1
428,HLXU,562621,5,42,U1
429,HLXU,562635,10,42,U1
430,HLXU,562661,6,42,U1
431,HLXU,562691,4,42,U1
432,HLXU,562699,8,42,U1
433,HLXU,562719,2,42,U1
434,HLXU,562739,8,42,U1
435,HLBU,136802,8,22,G0
436,HLBU,136809,6,22,G0
437,HLXU,562818,3,42,U1
438,HLBU,136847,6,22,G1
439,HLBU,136854,2,22,G0
440,HLBU,136862,4,22,G1
441,HLBU,136863,10,22,G1
442,HLXU,562848,1,42,U1
443,HLXU,562859,10,42,U1
444,HLBU,136885,6,22,G0
445,HLXU,562877,4,42,U1
446,HLBU,136906,6,22,G1
447,HLBU,136918,10,22,G0
448,HLXU,562910,6,42,U1
449,HLXU,562944,6,42,U1
450,HLXU,562958,0,42,U1
451,HLBU,136987,3,22,G0
452,HLBU,136992,9,22,G0
453,HLXU,562976,5,42,U1
454,HLBU,137006,7,22,G1
455,HLXU,563000,4,42,U1
456,HLBU,137019,6,22,G1
457,HLXU,563010,7,42,U1
458,HLXU,563012,8,42,U1
459,HLBU,137029,9,22,G0
460,HLXU,563014,9,42,U1
461,HLBU,137049,4,22,G1
462,HLXU,563041,0,42,U1
463,HLBU,137065,8,22,G1
464,HLXU,563074,5,42,U1
465,HLXU,563094,0,42,U1
466,HLBU,137112,4,22,G1
467,HLXU,563100,0,42,U1
468,HLBU,137147,10,22,G1
469,HLBU,137158,8,22,G0
470,HLXU,563145,9,42,U1
471,HLBU,137169,6,22,G0
472,HLXU,563155,1,42,U1
473,HLXU,563166,10,42,U1
474,HLBU,137209,6,22,G0
475,CPSU,170002,2,22,G1
476,HLBU,137240,8,22,G1
477,CPSU,170008,5,22,G0
478,HLBU,137257,9,22,G0
479,HLBU,137265,0,22,G0
480,HLXU,563269,2,42,U1
481,HLXU,563270,6,42,U1
482,HLXU,465002,7,42,U6
483,HLXU,563315,3,42,U1
484,CPSU,170111,6,22,G1
485,HLXU,563332,2,42,U1
486,HLXU,465031,10,42,U6
487,HLBU,137360,10,22,G1
488,HLXU,563349,3,42,U1
489,HLXU,465054,1,42,U6
490,HLXU,563361,5,42,U1
491,HLXU,563366,2,42,U1
492,HLXU,465063,9,42,U6
493,HLBU,137396,0,22,G0
494,CPSU,170166,7,22,G0
495,CPSU,170168,8,22,G0
496,CPSU,170170,7,22,G0
497,HLXU,563391,3,42,U1
498,CPSU,170176,10,22,G0
499,HLBU,137412,3,22,G1
500,HLBU,137414,4,22,G0
501,HLXU,563400,10,42,U1
502,HLXU,465103,9,42,U6
503,HLXU,465104,4,42,U6
504,HLBU,137429,4,22,G1
505,HLXU,465123,4,42,U6
506,CPSU,170213,3,22,G1
507,HLXU,465140,3,42,U6
508,HLBU,137462,7,22,G1
509,HLXU,563447,9,42,U1
510,CPSU,170242,6,22,G0
511,CPSU,170244,7,22,G0
512,HLXU,465165,6,42,U6
513,CPSU,170254,10,22,G0
514,HLXU,563473,5,42,U1
515,HLXU,465169,8,42,U6
516,HLXU,563488,5,42,U1
517,CPSU,170277,1,22,G0
518,HLXU,563494,6,42,U1
519,CPSU,170284,8,22,G0
520,CPSU,170285,3,22,G1
521,CPSU,170287,4,22,G1
522,HLBU,137520,1,22,G1
523,HLBU,137522,2,22,G0
524,HLXU,465203,5,42,U6
525,HLBU,137533,0,22,G1
526,HLXU,563524,3,42,U1
527,HLXU,465221,10,42,U6
528,CPSU,170310,3,22,G0
529,HLXU,465223,0,42,U6
530,HLXU,465231,2,42,U6
531,HLBU,137552,0,22,G0
532,HLXU,465232,8,42,U6
533,HLXU,563539,3,42,U1
534,CPSU,170324,8,22,G1
535,HLBU,137555,7,22,G0
536,HLXU,465239,6,42,U6
537,HLXU,563546,10,42,U1
538,HLXU,563554,1,42,U1
539,HLBU,137577,3,22,G1
540,HLXU,563573,1,42,U1
541,HLXU,268663,2,22,P3
542,HLBU,137594,2,22,G1
543,HLXU,268668,10,22,P3
544,HLBU,137596,3,22,G0
545,HLXU,563594,2,42,U1
546,HLXU,268685,9,22,P3
547,CPSU,170383,9,22,G0
548,HLBU,137620,8,22,G1
549,CPSU,170389,1,22,G0
550,HLXU,268704,8,22,P3
551,HLXU,268709,5,22,P3
552,HLXU,268713,5,22,P3
553,HLXU,563625,5,42,U1
554,HLXU,465321,6,42,U6
555,CPSU,170412,0,22,G1
556,HLXU,268722,2,22,P3
557,HLXU,563636,3,42,U1
558,HLXU,268743,3,22,P3
559,HLXU,563658,10,42,U1
560,HLBU,137675,9,22,G0
561,HLXU,465356,1,42,U6
562,HLXU,465360,1,42,U6
563,HLXU,465372,5,42,U6
564,HLXU,465377,2,42,U6
565,HLXU,268772,6,22,P3
566,HLXU,563687,2,42,U1
567,CPSU,170476,9,22,G1
568,HLXU,465388,0,42,U6
569,HLXU,268787,6,22,P3
570,HLXU,563699,6,42,U1
571,HLXU,268792,1,22,P3
572,HLBU,137723,0,22,G0
573,HLXU,563709,8,42,U1
574,HLXU,268799,10,22,P3
575,HLXU,268809,1,22,P3
576,HLXU,563721,10,42,U1
577,HLXU,465421,2,42,U6
578,CPSU,170510,6,22,G1
579,HLBU,137752,3,22,G0
580,CPSU,170523,5,22,G1
581,HLXU,268829,7,22,P3
582,HLXU,268840,3,22,P3
583,HLXU,268845,0,22,P3
584,HLXU,465462,9,42,U6
585,CPSU,170558,0,22,G0
586,HLXU,465487,1,42,U6
587,CPSU,170576,5,22,G0
588,CPSU,170578,6,22,G0
589,HLXU,465490,6,42,U6
590,HLXU,268882,5,22,P3
591,CPSU,170586,8,22,G1
592,HLXU,465518,4,42,U6
593,HLBU,137841,1,22,G0
594,HLXU,465531,1,42,U6
595,HLBU,137857,7,22,G0
596,HLXU,268931,2,22,P3
597,CPSU,170631,3,22,G0
598,HLXU,563850,9,42,U1
599,HLXU,268939,6,22,P3
600,HLXU,465552,2,42,U6
601,CPSU,170646,3,22,G1
602,HLXU,563866,4,42,U1
603,HLXU,268975,5,22,P3
604,HLXU,465585,7,42,U6
605,CPSU,170674,0,22,G0
606,HLXU,563902,2,42,U1
607,HLXU,268991,9,22,P3
608,HLBU,137923,3,22,G0
609,CPSU,170691,10,22,G0
610,CPSU,170693,0,22,G1
611,HLBU,137933,6,22,G1
612,HLXU,563918,8,42,U1
613,HLBU,137943,9,22,G1
614,HLXU,563931,5,42,U1
615,HLXU,563932,0,42,U1
616,HLXU,465629,9,42,U6
617,HLXU,269022,6,22,P3
618,HLBU,137954,7,22,G1
619,HLXU,563947,0,42,U1
620,CPSU,170732,5,22,G1
621,HLXU,465645,2,42,U6
622,HLXU,269038,1,22,P3
623,HLBU,137975,8,22,G0
624,HLXU,563963,4,42,U1
625,HLBU,137986,6,22,G1
626,CPSU,170756,2,22,G1
627,HLBU,137989,2,22,G1
628,HLXU,563980,3,42,U1
629,HLBU,138002,3,22,G0
630,HLXU,269083,8,22,P3
631,HLXU,269103,2,22,P3
632,HLBU,138033,7,22,G1
633,CPSU,170807,0,22,G0
634,CPSU,170825,5,22,G1
635,HLBU,138058,10,22,G1
636,CPSU,170826,0,22,G1
637,HLXU,269132,5,22,P3
638,HLXU,564043,10,42,U1
639,HLXU,269134,6,22,P3
640,HLXU,269140,7,22,P3
641,HLXU,564053,2,42,U1
642,CPSU,170843,10,22,G1
643,CPSU,170848,7,22,G0
644,HLBU,138088,8,22,G1
645,HLXU,269163,9,22,P3
646,CPSU,170863,5,22,G1
647,HLXU,564088,8,42,U1
648,HLBU,138110,1,22,G1
649,HLXU,269194,2,22,P3
650,HLBU,138136,10,22,G0
651,HLBU,138145,7,22,G0
652,HLBU,138152,3,22,G1
653,HLBU,138159,1,22,G1
654,HLBU,138160,5,22,G0
655,HLBU,138169,4,22,G0
656,CPSU,170952,3,22,G0
657,HLBU,138193,10,22,G0
658,HLBU,138194,5,22,G0
659,HLXU,564182,1,42,U1
660,HLBU,138213,4,22,G1
661,HLXU,564199,2,42,U1
662,CPSU,170984,2,22,G1
663,HLXU,564202,6,42,U1
664,CPSU,170986,3,22,G1
665,HLBU,138236,6,22,G1
666,HLXU,564222,1,42,U1
667,HLBU,138248,10,22,G1
668,HLBU,138265,9,22,G0
669,CPSU,171039,7,22,G1
670,CPSU,171055,0,22,G0
671,CPSU,171056,6,22,G0
672,HLXU,564276,7,42,U1
673,CPSU,171061,1,22,G1
674,HLXU,564281,2,42,U1
675,CPSU,171070,9,22,G0
676,CPSU,171072,10,22,G0
677,CPSU,171077,7,22,G0
678,HLXU,564298,3,42,U1
679,HLBU,138326,10,22,G1
680,HLXU,564321,2,42,U1
681,CPSU,171119,8,22,G1
682,CPSU,171128,5,22,G0
683,HLXU,564344,4,42,U1
684,CPSU,171130,4,22,G1
685,CPSU,171136,7,22,G1
686,HLXU,171151,4,22,R9
687,HLBU,138397,4,22,G0
688,HLBU,138402,9,22,G1
689,CPSU,171180,8,22,G0
690,HLBU,138420,3,22,G0
691,HLXU,171190,10,22,R1
692,HLXU,171194,1,22,R9
693,HLXU,171210,4,22,R1
694,HLXU,564430,6,42,U1
695,HLXU,171216,7,22,R9
696,HLXU,564434,8,42,U1
697,HLBU,138457,10,22,G0
698,CPSU,171230,0,22,G0
699,HLXU,564449,8,42,U1
700,HLBU,138469,3,22,G1
701,HLBU,138474,9,22,G1
702,HLBU,138478,0,22,G0
703,HLBU,138481,5,22,G1
704,HLBU,138489,9,22,G1
705,CPSU,171259,5,22,G1
706,HLBU,138492,3,22,G0
707,CPSU,171272,2,22,G1
708,HLXU,171279,10,22,R9
709,HLXU,564500,4,42,U1
710,HLXU,564515,4,42,U1
711,CPSU,171308,2,22,G1
712,HLXU,564542,6,42,U1
713,HLXU,564546,8,42,U1
714,HLXU,564555,5,42,U1
715,CPSU,171342,0,22,G1
716,CPSU,171365,2,22,G0
717,HLBU,138598,2,22,G0
718,HLXU,564593,5,42,U1
719,HLXU,171389,9,22,R9
720,HLBU,138628,10,22,G1
721,HLXU,368017,7,22,P3
722,HLBU,138664,9,22,G1
723,HLXU,171433,9,22,R9
724,HLXU,368043,3,22,P3
725,CPSU,171438,7,22,G0
726,HLBU,138674,1,22,G1
727,HLXU,368055,7,22,P3
728,HLXU,564664,9,42,U1
729,HLXU,564671,5,42,U1
730,HLXU,564682,3,42,U1
731,HLBU,138700,7,22,G0
732,HLBU,138701,2,22,G0
733,CPSU,171474,6,22,G0
734,HLBU,138707,5,22,G1
735,HLXU,171476,6,22,R9
736,HLBU,138715,7,22,G1
737,HLXU,368092,1,22,P3
738,HLXU,368094,2,22,P3
739,HLXU,564702,8,42,U1
740,HLXU,564716,2,42,U1
741,HLXU,171511,9,22,R9
742,HLBU,138751,6,22,G0
743,HLXU,368131,6,22,P3
744,CPSU,171532,0,22,G0
745,HLXU,171535,6,22,R1
746,HLBU,138771,1,22,G0
747,HLXU,171541,7,22,R9
748,HLXU,368160,9,22,P3
749,HLXU,368176,4,22,P3
750,HLXU,171575,7,22,R9
751,HLXU,171576,2,22,R9
752,HLXU,368194,9,22,P3
753,CPSU,171589,2,22,G1
754,HLXU,171593,1,22,R9
755,HLXU,171603,3,22,R9
756,HLXU,564820,9,42,U1
757,CPSU,171611,6,22,G1
758,CPSU,171618,4,22,G0
759,HLBU,138850,7,22,G1
760,HLXU,171621,8,22,R1
761,HLXU,171638,9,22,R1
762,HLXU,564865,7,42,U1
763,HLXU,368259,1,22,P3
764,HLXU,368271,3,22,P3
765,HLXU,368274,10,22,P3
766,CPSU,171677,5,22,G1
767,HLXU,564893,4,42,U1
768,HLBU,138909,9,22,G0
769,HLXU,368292,4,22,P3
770,HLXU,564901,5,42,U1
771,HLXU,564905,7,42,U1
772,HLXU,564909,9,42,U1
773,HLXU,368310,8,22,P3
774,HLXU,564924,7,42,U1
775,CPSU,171716,10,22,G0
776,HLBU,138955,0,22,G0
777,HLXU,368333,10,22,P3
778,CPSU,171740,5,22,G1
779,HLXU,368349,5,22,P3
780,HLXU,368352,10,22,P3
781,HLXU,564965,3,42,U1
782,CPSU,171750,8,22,G1
783,HLXU,368357,7,22,P3
784,HLBU,138987,10,22,G1
785,CPSU,171761,6,22,G1
786,HLXU,368376,7,22,P3
787,CPSU,171768,4,22,G0
788,CPSU,171769,10,22,G1
789,HLXU,564988,5,42,U1
790,HLXU,565005,8,42,U1
791,CPSU,171792,10,22,G1
792,CPSU,171814,5,22,G0
793,HLXU,565032,10,42,U1
794,HLBU,139049,0,22,G1
795,HLXU,368425,4,22,P3
796,HLXU,565034,0,42,U1
797,CPSU,171828,10,22,G1
798,HLBU,139065,4,22,G0
799,HLBU,139066,10,22,G1
800,CPSU,171837,7,22,G0
801,HLXU,565055,1,42,U1
802,HLBU,106312,1,45,G0
803,HLBU,139083,9,22,G1
804,HLBU,106319,10,45,G0
805,CPSU,171856,7,22,G1
806,HLBU,139089,1,22,G0
807,CPSU,171860,7,22,G1
808,HLXU,565078,3,42,U1
809,HLXU,368471,6,22,P3
810,HLBU,139100,7,22,G1
811,HLXU,565097,3,42,U1
812,HLBU,139114,1,22,G0
813,CPSU,171883,9,22,G0
814,HLXU,565100,7,42,U1
815,CPSU,171892,6,22,G1
816,HLXU,368500,8,22,P3
817,HLBU,106362,5,45,G0
818,HLXU,565117,8,42,U1
