Bill-of-Lading Key,Bill-of-Lading Number,Issued Date,Consignor Key,Consignee Key,Foreign Transporter Key,Foreign Consolidator Key,Courier Key,Domestic Transporter Key,Domestic Consolidator Key,Ship Mode,Place of Receipt Key,Place of Delivery Key,Port of Loading Key,Port of Discharge Key,Commodity Key,Container Key,Incoterm,Expected Tariffs,Actual Tariffs,distance between ports
20,04445622386586212,,965,2408,3692,4750,3396,4889,4125,sea,965,2408,1686,585,,,,,,
21,04918184357797320,,3742,3069,3005,4642,3054,4832,4287,sea,8012,7339,2572,3678,,,,,,
22,04315371988218464,,385,1995,3971,4451,3464,4528,4902,sea,385,1995,57,232,,,,,,
23,04939449384534199,,2149,2412,4350,3980,3297,4580,3437,sea,2149,2412,302,3745,,,,,,
24,04242518773113763,,3332,2448,3839,3955,3634,3137,3152,sea,7602,2448,3152,726,,,,,,
25,04164195563813855,,2363,2330,4644,4644,3529,4349,3211,sea,2363,2330,3185,1498,,,,,,
26,04679879119269767,,64,2226,3621,4465,3008,3484,3588,sea,64,2226,3090,580,,,,,,
27,04656533577227378,,1219,1408,3345,4062,4780,4455,3828,sea,1219,1408,3380,3605,,,,,,
28,04278334614694261,,3295,2542,3745,4318,3297,4159,3751,sea,7565,2542,1234,3659,,,,,,
29,04875283742172165,,859,1604,3586,4375,3679,4424,3437,sea,859,1604,4256,3780,,,,,,
30,04817773972582484,,3020,730,3444,3261,3261,3967,4153,sea,7290,730,864,209,,,,,,
31,04159732777977713,,1796,2265,4117,4648,3169,4086,4586,sea,1796,2265,127,218,,,,,,
32,04287944564724628,,2064,2448,4449,3955,4574,3517,3218,sea,2064,2448,3127,555,,,,,,
33,04977512394454181,,1209,4399,4399,4318,3295,4424,3437,sea,1209,8669,1272,3938,,,,,,
34,04722485385585527,,3477,161,4216,4216,3748,3741,3589,sea,7747,161,2870,767,,,,,,
35,04242726559849441,,2363,3342,3694,4645,3731,4130,3522,sea,2363,7612,2494,1459,,,,,,
36,04586577263453612,,3828,3519,3519,4436,4865,4287,4287,sea,8098,7789,2892,3801,,,,,,
37,04986948262122476,,2786,534,4233,4986,4635,3001,4424,sea,2786,534,1020,3508,,,,,,
38,04945579885835684,,2436,4246,3347,3983,4822,4424,3418,sea,2436,8516,1685,3729,,,,,,
39,04916281432132761,,2855,2265,3492,3338,3428,4635,3742,sea,2855,2265,147,3893,,,,,,
40,04443173432242795,,4676,1071,3004,3126,3397,4497,3164,sea,8946,1071,1754,560,,,,,,
41,04777423542642157,,774,2448,4888,3955,4888,4536,3742,sea,774,2448,3142,3669,,,,,,
42,04681417869949949,,4309,2009,4200,4200,3100,3847,3886,sea,8579,2009,2746,260,,,,,,
43,04421111526836367,,2363,1950,3513,3513,4079,3878,3453,sea,2363,1950,2156,1467,,,,,,
44,04744789469989143,,2363,4025,4025,3617,4025,3284,3152,sea,2363,8295,278,1470,,,,,,
45,04115972294114147,,4050,4854,3927,3980,4323,4129,3101,sea,8320,9124,372,595,,,,,,
46,04231222144144433,,4159,1003,4057,3949,3371,4455,3828,sea,8429,1003,172,4166,,,,,,
47,04142573138968533,,2277,1408,3526,3157,4536,3742,4455,sea,2277,1408,3279,3816,,,,,,
48,04861914131191982,,2363,3207,4443,3992,4851,3185,4208,sea,2363,7477,2838,1495,,,,,,
49,04449227968668391,,1146,1361,3126,3397,3397,4426,3418,sea,1146,1361,1774,3592,,,,,,
50,04489658328368879,,3040,1511,4738,3759,3272,4894,3642,sea,7310,1511,2358,786,,,,,,
51,04949268486346441,,2363,3210,4436,4436,4879,3649,3922,sea,2363,7480,2881,1445,,,,,,
52,04987346246196618,,3372,1972,4370,4789,3275,4500,4965,sea,7642,1972,4216,615,,,,,,
53,04387774993363957,,4293,1023,4915,4113,3165,3618,3375,sea,8563,1023,2846,2213,,,,,,
54,04277173365475221,,2772,1882,3608,3776,3954,3067,4569,sea,2772,1882,2762,711,,,,,,
55,04568856954994165,,2363,1497,3729,4583,3503,3610,4111,sea,2363,1497,1023,1514,,,,,,
56,04754591348948816,,546,2218,3230,4960,3579,4581,3631,sea,546,2218,1413,2199,,,,,,
57,04584161169599813,,533,4762,3502,4762,4762,4832,4580,sea,533,9032,3221,3595,,,,,,
58,04226276967247121,,2363,3463,3514,3463,3514,4841,4652,sea,2363,7733,998,1506,,,,,,
59,04397447367287735,,2363,717,4510,4992,3483,3175,4788,sea,2363,717,2836,1447,,,,,,
60,04935978327357242,,2013,2359,3921,4750,4279,4611,3841,sea,2013,2359,1683,737,,,,,,
61,04117151138828558,,3266,4328,4168,4908,3136,3377,3836,sea,7536,8598,4264,677,,,,,,
62,04319245613533351,,1562,2946,3976,4947,3425,3044,4157,sea,1562,2946,2416,645,,,,,,
63,04283686499529223,,225,1674,4553,4443,4851,4969,3994,sea,225,1674,2840,248,,,,,,
64,04772559645685823,,3262,1451,3145,4451,3777,4835,4634,sea,7532,1451,2255,1929,,,,,,
65,04211342542532338,,666,1685,4233,4583,4287,4536,3751,sea,666,1685,1016,4055,,,,,,
66,04262549626756985,,2956,2122,4399,4318,3667,3970,4535,sea,2956,2122,1237,1937,,,,,,
67,04453356786446942,,3767,3729,3577,4583,4072,3133,3667,sea,8037,7999,1010,2021,,,,,,
68,04265371845235722,,151,3834,4043,4831,4265,3548,4726,sea,151,8104,4254,792,,,,,,
69,04742126689429868,,3082,4839,3053,3195,3356,3618,4981,sea,7352,9109,1085,2220,,,,,,
70,04944486132612510,,4653,2448,4458,3955,4364,4587,4311,sea,8923,2448,3169,206,,,,,,
71,04543653259839433,,610,1543,4064,3715,3715,4040,4011,sea,610,1543,2839,609,,,,,,
72,04813674481371115,,3644,1542,3530,3139,4635,4580,4455,sea,7914,1542,2943,3974,,,,,,
73,04337617817177628,,2363,547,4064,4616,4346,4812,3288,sea,2363,547,2837,1488,,,,,,
74,04874491192182738,,4453,869,3144,3685,3267,3601,3381,sea,8723,869,3098,553,,,,,,
75,04948713216286487,,2027,1071,3004,3004,4712,4890,4634,sea,2027,1071,1759,1997,,,,,,
76,04537571771961991,,1706,1497,3577,4986,3729,4349,3490,sea,1706,1497,1024,779,,,,,,
77,04853243672242398,,1752,653,3347,4121,3295,3428,4966,sea,1752,653,1689,3786,,,,,,
78,04924591463893197,,4243,2621,4233,4583,4072,4388,3667,sea,8513,2621,1016,1880,,,,,,
79,04195541633213726,,1555,3104,4228,3104,4831,4842,3507,sea,1555,7374,4240,571,,,,,,
80,04954944995565413,,2156,2303,3391,3391,4214,4455,4962,sea,2156,2303,542,4111,,,,,,
81,04394447842412235,,2363,3826,3459,3896,3981,3372,4340,sea,2363,8096,2763,1482,,,,,,
82,04576182249249153,,942,280,4399,4318,3857,4426,3418,sea,942,280,1244,3551,,,,,,
83,04316236438648217,,3769,2265,4886,3886,4415,4888,4966,sea,8039,2265,140,4136,,,,,,
84,04277431721881728,,3828,4557,3027,4381,3295,4308,4966,sea,8098,8827,804,3585,,,,,,
85,04133427441691454,,2298,2345,4047,3735,4976,4332,4153,sea,2298,2345,2352,217,,,,,,
86,04549326635495632,,3644,1654,3329,4789,3443,4536,3437,sea,7914,1654,4215,3836,,,,,,
87,04224225184714499,,3644,2621,3089,4583,3743,3644,3054,sea,7914,2621,1022,3655,,,,,,
88,04187897535265341,,3194,2476,3481,3556,3878,3093,4704,sea,7464,2476,1028,640,,,,,,
89,04334921818988125,,666,468,4766,3075,4401,4424,4776,sea,666,468,929,3686,,,,,,
90,04811579457577480,,2786,1361,3126,3397,3397,3001,3856,sea,2786,1361,1802,3893,,,,,,
91,04656767398578795,,2363,2899,4643,3274,3759,4406,3196,sea,2363,2899,2372,1468,,,,,,
92,04971351113293726,,456,259,4681,3760,4776,4536,4536,sea,456,259,3192,3963,,,,,,
93,04742373262192538,,2156,280,4399,4318,4424,4635,3856,sea,2156,280,1243,3535,,,,,,
94,04556178919329115,,2380,2712,3897,4351,4249,3446,3295,sea,2380,2712,1193,3490,,,,,,
95,04972679348438545,,2149,1696,3491,3491,3558,3437,4776,sea,2149,1696,2166,3646,,,,,,
96,04793236862142379,,4503,1679,4317,3003,4975,3993,4304,sea,8773,1679,1127,245,,,,,,
97,04779952149519411,,2281,4917,4509,4917,4917,4180,4425,sea,2281,9187,2042,642,,,,,,
98,04678913242972680,,2363,948,4638,3669,4306,3680,4846,sea,2363,948,1691,1470,,,,,,
99,04584532398198564,,4281,26,4744,4665,3688,4309,3501,sea,8551,26,2609,231,,,,,,
100,04971899427917988,,1291,1055,4235,4322,4536,4426,3295,sea,1291,1055,1294,4106,,,,,,
101,04661759391781540,,218,4121,3921,3983,3906,3926,3957,sea,218,8391,1690,736,,,,,,
102,04742184964114724,,2363,1685,3503,4986,4525,3525,3129,sea,2363,1685,1013,1485,,,,,,
103,04971581762852382,,147,1320,4351,4325,4988,3092,4281,sea,147,1320,1151,238,,,,,,
104,04913421787227542,,386,1527,4370,4789,3443,4962,4287,sea,386,1527,4216,4064,,,,,,
105,04935777411941653,,2500,49,4675,3443,3428,4832,4962,sea,2500,49,4199,4167,,,,,,
106,04865286336396339,,2363,2221,4645,4645,3296,3547,4381,sea,2363,2221,2495,1489,,,,,,
107,04834291827527369,,2365,258,4888,3627,4363,3218,4696,sea,2365,258,31,552,,,,,,
108,04121561597437612,,2363,460,3104,4820,3930,3546,4670,sea,2363,460,4239,1501,,,,,,
109,04399835585975523,,128,3995,3995,4471,3995,4714,4138,sea,128,8265,2384,740,,,,,,
110,04734127667467767,,1659,1904,3697,4059,4222,3137,4735,sea,1659,1904,1640,625,,,,,,
111,04634732551161983,,3861,1738,3592,3935,3592,3766,3601,sea,8131,1738,487,576,,,,,,
112,04239931749239858,,2641,2218,3230,3631,4919,4480,3419,sea,2641,2218,1413,2204,,,,,,
113,04236534499539457,,2185,1023,3165,4113,3165,4100,4963,sea,2185,1023,2866,788,,,,,,
114,04766623486156497,,1283,4014,4014,4259,4536,3742,3349,sea,1283,8284,4184,4072,,,,,,
115,04184642964324786,,3958,3519,3519,4436,4678,3703,4323,sea,8228,7789,2911,734,,,,,,
116,04624556198358932,,3421,3035,4235,3686,3035,3774,4760,sea,7691,7305,3058,604,,,,,,
117,04349798421631456,,1067,2218,3260,3215,4425,3421,3300,sea,1067,2218,1413,771,,,,,,
118,04376632983693214,,4321,4585,3499,4585,4697,3050,3267,sea,8591,8855,994,735,,,,,,
119,04631977315995913,,2363,1498,3608,3608,3170,3307,4455,sea,2363,1498,2728,1516,,,,,,
120,04554382315395816,,2363,3912,4115,3627,3359,3597,3401,sea,2363,8182,37,1518,,,,,,
121,04169293695655574,,2852,3121,3945,3968,3968,3742,3297,sea,2852,7391,2611,3730,,,,,,
122,04775359795485826,,2648,1076,3917,3980,4097,4717,4962,sea,2648,1076,348,4062,,,,,,
123,04231822184654758,,3741,1556,3866,4080,4897,3566,3164,sea,8011,1556,2229,654,,,,,,
124,04779915679339157,,2363,4767,3386,4645,4376,3396,4446,sea,2363,9037,2495,1515,,,,,,
125,04692545148248349,,2363,1165,4357,4357,4142,4084,3764,sea,2363,1165,184,1495,,,,,,
126,04579262545995248,,4536,1500,4694,3977,3897,4635,3856,sea,8806,1500,1172,3895,,,,,,
127,04878695131951577,,2372,4584,3374,3731,4329,3521,3807,sea,2372,8854,2265,554,,,,,,
128,04791476888618553,,2363,3817,3076,4336,4708,4174,3157,sea,2363,8087,3190,1469,,,,,,
129,04995128592772918,,110,2448,3642,3955,3847,4176,3943,sea,110,2448,3130,783,,,,,,
130,04567249261521819,,2259,1643,3165,4113,3165,3578,4704,sea,2259,1643,2846,669,,,,,,
131,04284921882742544,,1209,2448,3933,3955,4443,4424,4580,sea,1209,2448,3137,3926,,,,,,
132,04736698213263532,,2500,1408,3526,4062,3526,3418,3742,sea,2500,1408,3449,4158,,,,,,
133,04145427218378316,,1449,1615,3089,4986,3729,3492,4569,sea,1449,1615,1022,615,,,,,,
134,04451357944234489,,4931,2742,4575,3247,3202,3252,3580,sea,9201,2742,2637,733,,,,,,
135,04111425826276720,,2363,271,4341,4422,4324,3276,3514,sea,2363,271,2719,1510,,,,,,
136,04273613517877939,,76,1481,4170,3157,4776,4580,3446,sea,76,1481,3379,3722,,,,,,
137,04988862662232468,,1706,2728,4048,3895,4018,3091,4222,sea,1706,2728,2359,640,,,,,,
138,04764795481141128,,2363,1381,3422,4315,4199,3765,4021,sea,2363,1381,2640,1472,,,,,,
139,04142128646596664,,2679,1602,3692,4750,4730,3230,4008,sea,2679,1602,1690,763,,,,,,
140,04933483546836581,,533,2621,4986,4583,4888,4635,3742,sea,533,2621,1006,4006,,,,,,
141,04615338147967875,,2363,2770,4069,4576,3865,4963,3511,sea,2363,2770,2593,1477,,,,,,
142,04127853273963527,,4965,2033,4783,3685,3790,3926,3110,sea,9235,2033,3085,755,,,,,,
143,04461463856736175,,976,1239,4529,4080,4776,4424,3742,sea,976,1239,820,3585,,,,,,
144,04986856127467559,,2277,1066,3002,4386,3002,4962,3742,sea,2277,1066,3049,4012,,,,,,
145,04224784442762592,,4193,280,4399,4318,3349,4580,3856,sea,8463,280,1284,3573,,,,,,
146,04599743372452653,,76,3248,3027,4381,3743,4159,3856,sea,76,7518,806,3556,,,,,,
147,04568931367457947,,2363,3207,4064,4045,3149,4218,3598,sea,2363,7477,2837,1483,,,,,,
148,04959267813673790,,1313,1950,3513,4836,3845,4388,4702,sea,1313,1950,2163,1931,,,,,,
149,04515168738548166,,4890,2512,3304,4516,3723,3970,4232,sea,9160,2512,1294,2008,,,,,,
150,04347324531941738,,1400,303,4885,4456,3262,3723,4535,sea,1400,303,186,2021,,,,,,
151,04231868165525389,,4050,388,4657,4179,3853,4857,4593,sea,8320,388,2656,757,,,,,,
152,04594217351281244,,2277,89,3112,4772,4672,4455,4536,sea,2277,89,2549,3891,,,,,,
153,04362889648158480,,976,4383,4383,3872,4635,3446,3418,sea,976,8653,805,3810,,,,,,
154,04763279153833128,,2097,2448,4889,3955,3295,4159,3751,sea,2097,2448,3154,3730,,,,,,
155,04658437935895583,,1219,4459,3517,4457,4832,3418,3418,sea,1219,8729,3105,4070,,,,,,
156,04647688954374496,,23,872,3318,3318,4314,4314,4981,sea,23,872,4270,2198,,,,,,
157,04274365376966260,,4564,24,4299,4647,3829,4601,4224,sea,8834,24,2108,635,,,,,,
158,04555192226386761,,4539,810,4068,3776,4970,3869,3591,sea,8809,810,2760,584,,,,,,
159,04651988633993264,,4193,2330,4644,4644,3054,3418,3418,sea,8463,2330,3184,3556,,,,,,
160,04772773952682461,,4398,320,3165,4216,4113,3067,3017,sea,8668,320,2846,750,,,,,,
161,04281473522762281,,2363,280,4399,4318,3481,3592,3593,sea,2363,280,1272,1474,,,,,,
162,04337869126536546,,2156,2528,3391,3391,4214,4635,4424,sea,2156,2528,516,3815,,,,,,
163,04116593552292156,,4097,2512,3011,3895,3743,4424,4821,sea,8367,2512,1296,3831,,,,,,
164,04532834716546390,,3922,544,4329,3731,4584,3254,4963,sea,8192,544,2282,658,,,,,,
165,04888835816286182,,2363,2072,3796,4127,3796,4083,4636,sea,2363,2072,3113,1481,,,,,,
166,04296464345635830,,444,3035,4937,4053,3035,4353,3646,sea,444,7305,3060,560,,,,,,
167,04775677382432146,,1189,637,3526,3345,4957,3001,4821,sea,1189,637,3311,3789,,,,,,
168,04861671635125485,,4304,1883,3745,4318,4287,4348,3211,sea,8574,1883,1257,206,,,,,,
169,04731722534464714,,3769,1826,3857,4056,3122,3446,3751,sea,8039,1826,77,3966,,,,,,
170,04471731939769523,,2363,13,3072,3936,3243,4536,3325,sea,2363,13,79,1448,,,,,,
171,04373482995985714,,4634,400,4128,4128,4634,3111,3414,sea,8904,400,1738,1973,,,,,,
172,04592274469289311,,2363,645,4216,4113,4113,3796,4716,sea,2363,645,2848,1506,,,,,,
173,04862519631151116,,2360,1200,4915,4216,3165,4538,4634,sea,2360,1200,2869,1904,,,,,,
174,04612886832152363,,2277,3634,4748,4772,4780,4888,3856,sea,2277,7904,2554,3559,,,,,,
175,04539899899999770,,2277,3897,3653,4664,4536,4888,3295,sea,2277,8167,1173,3646,,,,,,
176,04896755377927647,,2097,172,4958,3895,4780,3001,3437,sea,2097,172,2376,4007,,,,,,
177,04217321255965675,,1144,371,3488,4037,3777,4229,4316,sea,1144,371,2359,1934,,,,,,
178,04864246951151974,,455,3263,3263,3263,3889,4176,3548,sea,455,7533,2815,762,,,,,,
179,04129988112752760,,3742,1410,4436,3519,4977,4308,4962,sea,8012,1410,2925,3758,,,,,,
180,04137338678328623,,3579,199,3798,4673,4512,4314,3419,sea,7849,199,2770,2195,,,,,,
181,04672972911391593,,749,31,3973,4899,4120,4447,4050,sea,749,31,2741,652,,,,,,
182,04144449869959660,,4499,452,3745,4318,4181,3967,4281,sea,8769,452,1267,240,,,,,,
183,04666219445945816,,449,2054,3075,3075,3332,4353,3744,sea,449,2054,2792,628,,,,,,
184,04661569419379884,,3194,2528,4757,4757,4122,3878,3595,sea,7464,2528,514,575,,,,,,
185,04487158583353112,,2339,280,4399,4318,4997,4018,4646,sea,2339,280,1251,691,,,,,,
186,04451874966566225,,76,907,3347,4121,4750,4832,4966,sea,76,907,1683,4048,,,,,,
187,04365464434264940,,2363,2217,4456,4174,3763,4410,3122,sea,2363,2217,186,1511,,,,,,
188,04223287178698346,,3774,238,4511,4375,3035,3862,4234,sea,8044,238,3054,586,,,,,,
189,04219691881771680,,2277,979,4113,4216,3165,3446,4455,sea,2277,979,2870,4035,,,,,,
190,04281562959149311,,3327,1401,4268,3839,4897,4931,3228,sea,7597,1401,2490,724,,,,,,
191,04991751843243239,,1371,848,3633,4482,3573,4287,3751,sea,1371,848,2367,3515,,,,,,
192,04494534589839964,,2363,1645,4738,4482,4527,3249,3311,sea,2363,1645,2373,1492,,,,,,
193,04551424936286920,,1871,811,4130,4300,3837,3001,4821,sea,1871,811,1594,3679,,,,,,
194,04745187847677627,,2363,1618,3666,3009,4063,3177,3270,sea,2363,1618,3190,1465,,,,,,
195,04734911345155455,,1283,238,3546,3159,3035,3001,3446,sea,1283,238,3053,3617,,,,,,
196,04798191952482252,,1646,2134,4474,3565,4918,4091,3338,sea,1646,2134,2647,549,,,,,,
197,04632316995345417,,2852,490,4687,3118,4056,4424,4536,sea,2852,490,66,3824,,,,,,
198,04369571755855316,,2363,736,3075,3075,4512,3537,4751,sea,2363,736,2801,1518,,,,,,
199,04681452179169427,,4441,2798,4170,4170,3215,3721,3316,sea,8711,2798,3243,777,,,,,,
200,04512318121751731,,2363,657,4357,3253,3441,4338,3183,sea,2363,657,182,1504,,,,,,
201,04289255963823675,,2277,3407,3407,4028,4888,3742,3297,sea,2277,7677,3052,3910,,,,,,
202,04948936611181175,,2336,2319,3669,4463,4463,4159,3297,sea,2336,2319,808,3931,,,,,,
203,04634971984284924,,2436,3435,3592,3917,3890,4424,3437,sea,2436,7705,397,4055,,,,,,
204,04889649328658899,,3372,238,4449,3640,3578,3686,3343,sea,7642,238,3058,681,,,,,,
205,04641353893453286,,2363,2428,4228,4831,4228,4641,3544,sea,2363,2428,4245,1471,,,,,,
206,04528395329429625,,3769,1401,4268,4268,4998,3644,4966,sea,8039,1401,2488,3693,,,,,,
207,04276971492712445,,2467,2122,4399,4318,3561,3211,4143,sea,2467,2122,1244,246,,,,,,
208,04134238282732997,,2519,993,3165,4113,3913,3703,4462,sea,2519,993,2866,596,,,,,,
209,04149631138178895,,3792,1808,4958,4482,4684,4952,4144,sea,8062,1808,2374,652,,,,,,
210,04544912793293873,,2819,2644,4001,3945,4218,4308,3446,sea,2819,2644,2255,3607,,,,,,
211,04986714631361230,,2411,280,4399,4318,3014,3581,3246,sea,2411,280,1270,219,,,,,,
212,04739976523613115,,147,4191,4204,4465,3671,4971,3449,sea,147,8461,3090,254,,,,,,
213,04251418727977527,,1772,1294,4350,3917,3141,4835,4232,sea,1772,1294,477,1953,,,,,,
214,04157833993323697,,2298,35,3760,3666,4770,3993,3211,sea,2298,35,3190,257,,,,,,
215,04468399498318819,,749,772,4906,3991,3597,3492,4250,sea,749,772,1639,716,,,,,,
216,04284912431891813,,465,4429,4429,4507,4950,4018,4301,sea,465,8699,203,663,,,,,,
217,04757844465135667,,3769,3450,4246,4822,4717,3742,3437,sea,8039,7720,1690,4137,,,,,,
218,04375989365175174,,3266,341,3115,3204,4122,3484,4942,sea,7536,341,801,654,,,,,,
219,04634445111831348,,45,948,3892,4607,3777,3970,4232,sea,45,948,1691,1924,,,,,,
220,04859332349539368,,2324,1133,4978,4116,3781,4368,3611,sea,2324,1133,2730,677,,,,,,
221,04284676512662456,,2363,119,3788,4111,4122,3287,3495,sea,2363,119,2753,1509,,,,,,
222,04165899879699149,,4159,3503,3729,4583,3729,3418,4287,sea,8429,7773,1014,4152,,,,,,
223,04471869766176112,,1291,628,4675,3443,3443,4308,4776,sea,1291,628,4207,3598,,,,,,
224,04739266354894891,,4398,1294,3435,3468,4440,3404,3178,sea,8668,1294,335,622,,,,,,
225,04876586269339714,,2363,2388,4773,4639,3265,4421,4153,sea,2363,2388,2544,1502,,,,,,
226,04687824883293752,,2436,3035,4663,4685,3035,3437,4821,sea,2436,7305,3058,3582,,,,,,
227,04936867941241312,,666,2596,3041,3991,4424,4455,4455,sea,666,2596,1570,3864,,,,,,
228,04854823378518790,,365,2218,3209,3580,4366,3441,3253,sea,365,2218,1413,184,,,,,,
229,04146832941191863,,4889,1433,4034,4629,4180,3188,3681,sea,9159,1433,890,793,,,,,,
230,04457158377877281,,1283,3369,3874,4111,3742,4308,3297,sea,1283,7639,2743,3488,,,,,,
231,04285967724114383,,2577,239,3694,4767,3574,3774,3888,sea,2577,239,2492,741,,,,,,
232,04238812977787285,,4232,512,3488,3895,3262,3723,4538,sea,8502,512,2368,1975,,,,,,
233,04671847269419576,,1837,1977,3027,4463,4388,4666,4921,sea,1837,1977,808,1936,,,,,,
234,04296521876936956,,2227,2523,4313,4960,3101,3482,3218,sea,2227,2523,43,662,,,,,,
235,04183498469569389,,3060,2448,3721,3955,3092,4355,4586,sea,7330,2448,3133,208,,,,,,
236,04443336491481455,,2363,92,4299,4709,3746,4889,4480,sea,2363,92,2117,1444,,,,,,
237,04492988258998889,,3856,2885,4357,3253,3573,3001,3828,sea,8126,2885,182,3668,,,,,,
238,04341544466366772,,3295,46,4770,4770,4832,4717,4580,sea,7565,46,3193,3636,,,,,,
239,04215621448538320,,2436,2644,4218,3301,3145,4308,4287,sea,2436,2644,2254,3633,,,,,,
240,04467357358248783,,2600,54,3116,4210,4408,3889,3709,sea,2600,54,1525,709,,,,,,
241,04343544139759540,,559,869,4515,3179,3667,3111,4316,sea,559,869,3081,1917,,,,,,
242,04168276981321170,,2363,2140,4585,4585,3499,3108,4184,sea,2363,2140,987,1517,,,,,,
243,04397548185665986,,2843,534,4986,4583,3503,4441,3589,sea,2843,534,1008,649,,,,,,
244,04953978917687762,,4159,651,3189,4777,4780,3644,3437,sea,8429,651,1561,4051,,,,,,
245,04264477176966890,,3186,437,3115,3452,4463,3321,4425,sea,7456,437,807,600,,,,,,
246,04277491123713669,,4193,1724,3641,3260,4780,3428,4962,sea,8463,1724,2125,4077,,,,,,
247,04986545397167183,,4500,2760,4185,4938,3566,3869,3101,sea,8770,2760,1855,755,,,,,,
248,04887171358918633,,4810,2265,3005,4969,4567,4889,3642,sea,9080,2265,85,737,,,,,,
249,04422168219539660,,456,948,4683,3033,4780,3644,4455,sea,456,948,1691,3912,,,,,,
250,04976931459379770,,4159,1199,3143,3143,3359,4426,4287,sea,8429,1199,2493,3768,,,,,,
251,04253178534654186,,2489,4907,4034,3647,4840,3766,3323,sea,2489,9177,891,726,,,,,,
252,04448123168448881,,1620,1193,3519,4436,4436,3681,4234,sea,1620,1193,2910,586,,,,,,
253,04629749188198792,,2363,2805,4174,4456,4769,4095,3098,sea,2363,2805,186,1459,,,,,,
254,04768775763943899,,3437,2512,4284,3391,3297,4287,4966,sea,7707,2512,1298,4120,,,,,,
255,04551441228748287,,1102,235,4246,4121,3450,3298,3846,sea,1102,235,1690,559,,,,,,
256,04156564743353725,,2535,1481,3345,3345,4957,4201,3943,sea,2535,1481,3366,633,,,,,,
257,04848216822132656,,2363,441,3099,3607,3047,3823,4080,sea,2363,441,2086,1499,,,,,,
258,04648278991221649,,23,4907,4305,4840,4293,3408,3923,sea,23,9177,890,2187,,,,,,
259,04532619989749439,,976,238,3057,4027,3349,3418,4424,sea,976,238,3057,3662,,,,,,
260,04866798862832933,,1571,425,3271,4725,3302,4222,3823,sea,1571,425,3085,686,,,,,,
261,04319739826526717,,884,4669,3788,3322,4181,4541,4746,sea,884,8939,2720,251,,,,,,
262,04495935142452214,,2363,3226,4524,3284,4524,4390,3021,sea,2363,7496,2948,1471,,,,,,
263,04992185982782318,,2363,2448,3499,3955,3804,4939,3773,sea,2363,2448,3139,1453,,,,,,
264,04465667726446799,,1903,1186,3805,4164,4234,3646,4217,sea,1903,1186,1409,753,,,,,,
265,04476433791361277,,1283,3465,4947,4947,3800,4536,4424,sea,1283,7735,2401,4085,,,,,,
266,04528537925735599,,4424,2694,4399,4318,3349,4536,4962,sea,8694,2694,1252,3949,,,,,,
267,04665534298188878,,4285,2222,3608,3322,4852,3618,4981,sea,8555,2222,2758,2197,,,,,,
268,04658636774314945,,1400,4119,3435,3985,3141,3723,3414,sea,1400,8389,2785,1975,,,,,,
269,04321924879329834,,4894,4524,3284,3226,3284,3611,4323,sea,9164,8794,2948,695,,,,,,
