Commodity Key,HS Code,Description,Package Size (m^3),Package Weight (kg),Densities (kg/m^3)
36,600410,Vestibulum ac est lacinia nisi venenatis tristique.,0.744,126.21,169.639
37,230990,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",1.046,1636.79,1564.812
38,845522,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",1.383,1314.32,950.343
39,281217,Vestibulum sed magna at nunc commodo placerat.,1.788,75.99,42.498
40,550330,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",0.552,221.32,400.940
41,846693,Duis at velit eu est congue elementum.,1.660,1118.70,673.913
42,200891,Nunc nisl.,1.424,1180.89,829.274
43,730539,Curabitur convallis.,1.540,2081.41,1351.564
44,091012,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,3.073,1241.74,404.081
45,580136,Phasellus sit amet erat.,0.065,66.18,1018.162
46,400129,Morbi non quam nec dui luctus rutrum.,2.315,2343.37,1012.253
47,843020,Aliquam erat volutpat.,2.878,2682.58,932.097
48,081320,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0.685,780.22,1139.009
49,854140,Nulla justo.,1.383,64.45,46.599
50,090510,Etiam pretium iaculis justo.,4.016,4996.69,1244.196
51,811221,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1.020,832.85,816.515
52,722230,Nulla ac enim.,1.487,1271.20,854.875
53,852910,In hac habitasse platea dictumst.,0.969,691.04,713.149
54,611420,Ut tellus.,1.898,99.50,52.426
55,611693,Duis consequat dui nec nisi volutpat eleifend.,2.715,3092.99,1139.221
56,392310,Cras in purus eu magna vulputate luctus.,1.384,1900.38,1373.109
57,190120,Pellentesque at nulla.,2.261,664.73,293.998
58,910812,Morbi vel lectus in quam fringilla rhoncus.,2.748,2785.74,1013.732
59,382482,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",0.940,731.82,778.531
60,293961,Nam dui.,2.544,3159.26,1241.846
61,281990,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2.996,3744.10,1249.698
62,050100,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",3.791,522.15,137.733
63,844900,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2.420,1396.53,577.078
64,230630,Fusce posuere felis sed lacus.,1.545,506.95,328.126
65,940383,Sed sagittis.,1.441,1192.55,827.584
66,060120,Cras pellentesque volutpat dui.,0.194,64.80,334.026
67,930200,Nulla ut erat id mauris vulputate elementum.,1.164,121.37,104.267
68,481320,Praesent lectus.,1.182,1625.69,1375.373
69,151329,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1.863,1347.38,723.234
70,440729,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",0.294,26.42,89.859
71,040620,In hac habitasse platea dictumst.,1.789,101.22,56.578
72,030559,Vestibulum rutrum rutrum neque.,1.099,493.67,449.195
73,382471,Vivamus in felis eu sapien cursus vestibulum.,3.027,434.07,143.398
74,551221,"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",2.437,1739.85,713.930
75,844819,Maecenas rhoncus aliquam lacus.,5.737,5899.99,1028.411
76,760310,Etiam pretium iaculis justo.,4.396,3730.20,848.543
77,620899,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2.274,1993.81,876.784
78,391530,Pellentesque eget nunc.,1.630,1274.77,782.068
79,440410,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",0.917,1202.25,1311.072
80,401150,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",5.647,5507.59,975.313
81,630259,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2.786,1665.81,597.923
82,580900,Nulla tellus.,1.399,1116.74,798.244
83,848230,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",2.788,1691.86,606.837
84,960400,Aenean lectus.,1.156,682.41,590.317
85,070960,Nullam molestie nibh in lectus.,2.917,1656.26,567.795
86,843352,In quis justo.,1.374,625.03,454.899
87,251741,Mauris lacinia sapien quis libero.,0.738,347.87,471.374
88,401691,Phasellus sit amet erat.,0.764,784.50,1026.830
89,570291,Proin at turpis a pede posuere nonummy.,2.065,2010.19,973.460
90,852359,"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",3.328,961.44,288.894
91,720241,Mauris lacinia sapien quis libero.,1.103,853.29,773.608
92,551591,In hac habitasse platea dictumst.,3.654,1652.05,452.120
93,732399,In quis justo.,1.334,1305.46,978.605
94,710900,Suspendisse potenti.,3.464,3273.75,945.079
95,481160,Vestibulum sed magna at nunc commodo placerat.,2.053,698.39,340.181
96,731290,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",0.948,476.94,503.101
97,960629,In hac habitasse platea dictumst.,3.084,1317.95,427.350
98,160415,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1.270,484.07,381.157
99,844331,Maecenas rhoncus aliquam lacus.,1.491,802.79,538.426
100,291450,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",1.308,1185.09,906.031
101,551319,Proin at turpis a pede posuere nonummy.,0.792,936.59,1182.561
102,481014,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",6.369,5688.10,893.092
103,700721,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa.",2.490,2827.40,1135.501
104,540754,Donec ut dolor.,1.044,117.07,112.137
105,283711,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",1.201,650.39,541.541
106,080410,Aenean auctor gravida sem.,1.168,1706.15,1460.747
107,293139,Maecenas pulvinar lobortis est.,3.415,748.36,219.138
108,710700,Etiam justo.,1.000,723.22,723.222
109,847979,Morbi a ipsum.,0.638,1.48,2.324
110,271099,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.208,18.49,88.881
111,030231,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",1.286,132.38,102.939
112,853229,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",1.742,1284.29,737.252
113,845949,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",4.022,5230.86,1300.563
114,721621,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",3.758,454.22,120.867
115,290376,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1.384,931.55,673.084
116,450410,Fusce consequat.,4.123,5786.37,1403.436
117,291050,Duis ac nibh.,2.826,3328.15,1177.690
118,871690,Ut at dolor quis odio consequat varius.,1.152,215.81,187.339
119,821192,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1.948,2180.08,1119.139
120,292330,In eleifend quam a odio.,1.772,2448.52,1381.785
121,300640,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,0.552,241.08,436.733
122,291615,Fusce consequat.,3.833,4035.26,1052.767
123,821194,Suspendisse potenti.,2.706,44.46,16.430
124,841821,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,1.719,624.52,363.305
125,293629,In hac habitasse platea dictumst.,1.369,804.48,587.643
126,740100,Sed vel enim sit amet nunc viverra dapibus.,0.681,110.66,162.502
127,440341,Duis consequat dui nec nisi volutpat eleifend.,1.262,1241.54,983.786
128,843490,Morbi non lectus.,1.235,788.28,638.280
129,851180,Donec ut mauris eget massa tempor convallis.,2.434,990.54,406.959
130,470630,Nulla ac enim.,1.459,1137.87,779.896
131,520622,Donec quis orci eget orci vehicula condimentum.,1.339,96.72,72.230
132,902519,Pellentesque ultrices mattis odio.,0.156,64.93,416.230
133,551313,Phasellus sit amet erat.,1.409,1232.12,874.461
134,320730,Quisque id justo sit amet sapien dignissim vestibulum.,3.068,1799.92,586.676
135,845420,Vivamus vestibulum sagittis sapien.,0.298,85.25,286.073
136,091099,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2.296,2848.07,1240.448
137,902121,Suspendisse potenti.,6.283,7084.77,1127.610
138,020751,Duis consequat dui nec nisi volutpat eleifend.,1.149,1557.60,1355.617
139,290715,Cras pellentesque volutpat dui.,1.246,109.31,87.726
140,290611,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",3.093,1498.00,484.321
141,283421,Morbi quis tortor id nulla ultrices aliquet.,1.608,1029.01,639.929
142,722490,Pellentesque ultrices mattis odio.,2.860,1438.39,502.933
143,580631,Cras pellentesque volutpat dui.,2.391,2577.93,1078.180
144,210112,Nam nulla.,3.268,2761.38,844.977
145,290230,Pellentesque viverra pede ac diam.,0.402,460.34,1145.112
146,540831,In eleifend quam a odio.,1.927,1643.68,852.976
147,030281,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",3.633,3902.72,1074.241
148,081070,Aliquam non mauris.,1.381,839.83,608.131
149,848230,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",0.928,1122.61,1209.713
150,291813,Curabitur gravida nisi at nibh.,0.896,104.28,116.385
151,100890,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1.105,1444.68,1307.400
152,650700,Duis mattis egestas metus.,1.677,1054.76,628.958
153,761490,Aliquam erat volutpat.,1.060,207.72,195.960
154,251720,Vestibulum rutrum rutrum neque.,2.750,1260.29,458.288
155,810790,Maecenas pulvinar lobortis est.,0.676,703.79,1041.113
156,293790,Cras in purus eu magna vulputate luctus.,0.551,498.03,903.857
157,440839,Aenean lectus.,2.267,2230.99,984.114
158,261610,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",4.902,2428.39,495.387
159,100890,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",1.634,2302.94,1409.389
160,860110,Mauris sit amet eros.,0.720,636.97,884.687
161,051000,Duis consequat dui nec nisi volutpat eleifend.,1.174,1182.51,1007.247
162,846693,Suspendisse ornare consequat lectus.,1.169,239.84,205.163
163,842390,Suspendisse potenti.,0.849,242.55,285.689
164,291100,Integer tincidunt ante vel ipsum.,2.993,2645.45,883.880
165,021020,In blandit ultrices enim.,0.163,224.24,1375.702
166,441911,In blandit ultrices enim.,0.947,1240.12,1309.520
167,310590,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",0.349,205.60,589.099
168,520949,Morbi a ipsum.,2.041,850.93,416.918
169,581100,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",2.704,2905.83,1074.640
170,551599,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",2.905,197.57,68.011
171,750220,Donec dapibus.,0.668,373.24,558.743
172,843210,Praesent id massa id nisl venenatis lacinia.,3.323,122.20,36.774
173,271113,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.769,2127.93,1202.898
174,841911,Nullam sit amet turpis elementum ligula vehicula consequat.,3.294,795.61,241.533
175,843810,Praesent blandit.,0.195,204.13,1046.811
176,690911,Curabitur convallis.,2.769,1894.59,684.215
177,440391,Suspendisse potenti.,2.636,1081.55,410.299
178,230700,Phasellus id sapien in sapien iaculis congue.,2.561,3953.62,1543.780
179,700991,Morbi quis tortor id nulla ultrices aliquet.,4.110,688.72,167.572
180,292511,Ut at dolor quis odio consequat varius.,0.876,1169.49,1335.030
181,841830,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2.181,1284.45,588.926
182,790310,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",1.574,1722.11,1094.101
183,050710,Nullam varius.,2.080,1746.62,839.721
184,280300,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",3.581,5853.54,1634.611
185,842930,Morbi a ipsum.,0.722,747.22,1034.931
186,292029,Aliquam non mauris.,4.622,1985.92,429.667
187,540246,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",1.939,2166.29,1117.220
188,330300,Vivamus vel nulla eget eros elementum pellentesque.,4.108,1993.85,485.357
189,391722,Morbi quis tortor id nulla ultrices aliquet.,2.715,900.19,331.562
190,871390,Proin risus.,2.898,2895.16,999.021
191,570242,In sagittis dui vel nisl.,0.399,133.80,335.349
192,430160,Proin risus.,0.549,622.28,1133.474
193,820150,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",0.626,638.71,1020.310
194,691010,Cras in purus eu magna vulputate luctus.,1.025,750.69,732.385
195,570291,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",0.555,357.34,643.848
196,551591,Proin eu mi.,0.530,634.79,1197.723
197,842112,Mauris lacinia sapien quis libero.,0.728,93.81,128.864
198,381129,Praesent id massa id nisl venenatis lacinia.,0.067,36.55,545.576
199,845590,Integer non velit.,2.824,306.81,108.643
200,860500,Phasellus id sapien in sapien iaculis congue.,0.220,223.71,1016.842
201,020410,Duis at velit eu est congue elementum.,2.158,2864.42,1327.348
202,284169,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",5.187,6232.27,1201.518
203,020714,Duis mattis egestas metus.,3.617,2305.16,637.313
204,220429,Nam nulla.,2.621,1610.26,614.369
205,310520,Curabitur gravida nisi at nibh.,0.240,291.86,1216.067
206,620530,Duis ac nibh.,1.126,190.31,169.018
207,846022,In congue.,1.374,1439.95,1047.999
208,291737,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1.278,1266.05,990.653
209,470500,Praesent blandit lacinia erat.,2.556,2074.46,811.603
210,282759,Sed accumsan felis.,2.110,2109.04,999.544
211,260900,Quisque porta volutpat erat.,2.098,2085.20,993.899
212,701341,Etiam vel augue.,1.026,1259.75,1227.826
213,021092,Quisque ut erat.,2.763,1465.01,530.224
214,292390,Sed vel enim sit amet nunc viverra dapibus.,2.428,3112.76,1282.027
215,021099,Maecenas tincidunt lacus at velit.,1.177,1598.80,1358.365
216,540490,Integer ac neque.,1.983,597.67,301.395
217,280910,Quisque porta volutpat erat.,1.735,618.82,356.671
218,380120,Etiam vel augue.,0.867,894.53,1031.757
219,481110,Suspendisse ornare consequat lectus.,0.586,49.98,85.289
220,284450,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1.785,302.44,169.434
221,391710,In hac habitasse platea dictumst.,2.364,1287.76,544.737
222,441919,In sagittis dui vel nisl.,3.263,3153.46,966.431
223,291241,Mauris sit amet eros.,2.567,1798.94,700.796
224,550921,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",1.909,666.87,349.328
225,320190,Fusce consequat.,8.720,5978.00,685.551
226,720610,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",0.669,763.23,1140.855
227,070930,Proin at turpis a pede posuere nonummy.,0.590,15.37,26.053
228,120799,Duis aliquam convallis nunc.,0.535,552.36,1032.448
229,080590,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,0.480,208.78,434.955
230,071233,Aenean sit amet justo.,1.774,924.77,521.290
231,270300,Phasellus in felis.,0.481,73.12,152.024
232,731821,Donec dapibus.,2.178,1382.14,634.592
233,310430,Nulla facilisi.,2.577,2311.86,897.112
234,120810,Morbi vel lectus in quam fringilla rhoncus.,0.180,197.67,1098.168
235,400941,Suspendisse accumsan tortor quis turpis.,3.062,1758.75,574.379
236,853090,Etiam justo.,1.261,961.43,762.435
237,690600,Curabitur in libero ut massa volutpat convallis.,1.411,1378.01,976.621
238,390430,Praesent id massa id nisl venenatis lacinia.,3.714,1544.83,415.947
239,560121,Praesent blandit.,1.262,1176.31,932.097
240,530121,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1.870,1821.73,974.185
241,370298,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",2.389,750.69,314.227
242,845221,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",0.648,657.92,1015.311
243,721790,Quisque porta volutpat erat.,0.586,734.92,1254.136
244,720291,Aliquam quis turpis eget elit sodales scelerisque.,2.341,2271.64,970.371
245,282710,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",0.747,678.42,908.195
246,290722,Nullam varius.,1.682,1709.99,1016.640
247,920600,In hac habitasse platea dictumst.,2.381,2529.05,1062.180
248,440691,Duis mattis egestas metus.,0.769,852.97,1109.189
249,261590,Ut at dolor quis odio consequat varius.,1.793,1959.73,1092.989
250,845150,In hac habitasse platea dictumst.,0.161,101.97,633.344
251,841869,Aenean lectus.,3.546,3249.12,916.277
252,551449,Duis consequat dui nec nisi volutpat eleifend.,1.665,408.66,245.439
253,731449,Donec ut mauris eget massa tempor convallis.,0.377,243.36,645.521
254,540247,Duis at velit eu est congue elementum.,0.911,294.34,323.094
255,850811,Integer non velit.,2.163,2378.71,1099.726
256,611521,Nunc purus.,0.356,534.16,1500.461
257,900699,Fusce posuere felis sed lacus.,1.135,531.98,468.703
258,030541,Mauris ullamcorper purus sit amet nulla.,6.305,4492.42,712.517
259,430390,Cras in purus eu magna vulputate luctus.,4.059,2981.53,734.547
260,071120,Nulla justo.,1.848,2029.11,1098.004
261,551693,Donec dapibus.,3.822,2976.83,778.867
262,260112,Praesent lectus.,1.991,450.84,226.440
263,490700,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",0.661,115.25,174.355
264,030719,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",2.085,1261.14,604.865
265,660110,Nullam molestie nibh in lectus.,0.071,70.96,999.494
266,370500,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",10.029,8518.52,849.389
267,300660,Nulla ac enim.,6.283,4109.94,654.137
268,283720,Duis consequat dui nec nisi volutpat eleifend.,1.018,904.30,888.308
269,380892,Pellentesque eget nunc.,3.450,237.91,68.958
270,670100,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",0.755,570.91,756.174
271,847950,Nunc purus.,0.732,286.06,390.793
272,320650,Donec dapibus.,0.057,73.76,1294.109
273,293790,Fusce posuere felis sed lacus.,11.089,5084.33,458.502
274,320490,Vivamus vestibulum sagittis sapien.,1.000,461.29,461.290
275,902780,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",4.915,5551.85,1129.573
276,262040,Donec posuere metus vitae ipsum.,1.957,2421.49,1237.348
277,731824,Vivamus vestibulum sagittis sapien.,1.240,1247.86,1006.339
278,721320,Mauris lacinia sapien quis libero.,1.925,3335.26,1732.600
279,740610,Aliquam erat volutpat.,0.088,61.89,703.267
280,020726,Integer a nibh.,2.402,122.42,50.965
281,441860,Pellentesque ultrices mattis odio.,1.347,246.88,183.279
282,520919,Nulla tellus.,1.257,740.52,589.113
283,220820,In hac habitasse platea dictumst.,0.274,352.97,1288.204
284,430390,Nulla mollis molestie lorem.,1.843,797.75,432.855
285,580126,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",2.476,2866.90,1157.877
286,392350,Nullam porttitor lacus at turpis.,1.828,1350.67,738.877
287,481141,Vivamus tortor.,0.286,240.30,840.198
288,890510,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",1.930,609.82,315.970
289,290433,Aenean auctor gravida sem.,4.584,4038.81,881.066
290,950619,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",2.431,2735.47,1125.246
291,680510,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",1.194,1149.69,962.887
292,140110,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",1.591,1692.89,1064.043
293,220870,In hac habitasse platea dictumst.,3.560,4141.11,1163.234
294,851430,Etiam justo.,0.666,807.63,1212.657
295,070200,Vivamus in felis eu sapien cursus vestibulum.,0.657,53.40,81.275
296,470200,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",1.940,1868.90,963.351
297,283990,Donec posuere metus vitae ipsum.,1.762,1350.04,766.195
298,410792,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl.",0.710,354.84,499.777
299,722220,Donec vitae nisi.,4.015,572.68,142.635
300,710231,Phasellus id sapien in sapien iaculis congue.,2.717,1574.26,579.412
301,911430,Duis mattis egestas metus.,0.497,524.18,1054.690
302,160417,Integer ac leo.,2.763,1999.04,723.504
303,800200,Morbi vel lectus in quam fringilla rhoncus.,1.407,1137.84,808.697
304,900150,Sed accumsan felis.,1.920,1934.53,1007.568
305,854233,"Cras mi pede, malesuada in, imperdiet et, commodo vulputate, justo.",0.360,385.31,1070.294
306,720229,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",3.929,3858.42,982.037
307,852380,Pellentesque viverra pede ac diam.,2.959,3018.52,1020.115
308,382313,In hac habitasse platea dictumst.,0.717,905.24,1262.538
309,610891,Aenean sit amet justo.,1.793,355.57,198.309
310,640419,Vestibulum ac est lacinia nisi venenatis tristique.,2.405,460.63,191.530
311,620341,In congue.,0.558,222.57,398.868
312,150990,Phasellus in felis.,0.309,34.43,111.440
313,300190,Curabitur convallis.,3.085,988.01,320.263
314,640391,Fusce consequat.,0.297,274.80,925.267
315,550991,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue.",2.368,849.78,358.861
316,281640,Maecenas tincidunt lacus at velit.,4.416,4656.98,1054.570
317,560314,Integer a nibh.,2.895,2345.35,810.139
318,030811,Nam tristique tortor eu pede.,4.466,1097.20,245.679
319,390410,Donec quis orci eget orci vehicula condimentum.,3.628,527.19,145.312
320,293352,Cras pellentesque volutpat dui.,0.572,326.82,571.365
321,854430,Curabitur gravida nisi at nibh.,1.630,301.46,184.942
322,291711,Duis at velit eu est congue elementum.,4.379,1746.36,398.803
323,851580,Pellentesque ultrices mattis odio.,1.862,1526.99,820.079
324,390210,Sed ante.,0.148,161.19,1089.112
325,480524,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus.",2.422,1867.40,771.017
326,392069,Cras in purus eu magna vulputate luctus.,2.698,2213.34,820.364
327,540120,Curabitur in libero ut massa volutpat convallis.,0.109,10.21,93.650
328,261590,In congue.,2.204,2336.08,1059.927
329,845611,Mauris sit amet eros.,0.818,481.57,588.715
330,071232,Cras pellentesque volutpat dui.,0.663,786.06,1185.612
331,551613,Nulla tempus.,0.728,257.72,354.011
332,847690,Praesent lectus.,0.675,366.94,543.614
333,280461,Morbi a ipsum.,0.906,764.57,843.892
334,400299,Duis aliquam convallis nunc.,1.276,542.71,425.322
335,152110,Praesent id massa id nisl venenatis lacinia.,3.183,233.75,73.437
336,600642,Phasellus id sapien in sapien iaculis congue.,0.522,334.17,640.172
337,300349,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,4.746,3245.32,683.802
338,282810,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",2.187,2178.93,996.310
339,020711,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",3.050,35.18,11.535
340,620332,Phasellus in felis.,2.421,877.57,362.482
341,845229,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",1.814,2418.32,1333.143
342,292249,Proin eu mi.,1.913,1607.21,840.152
343,300610,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",1.549,1074.25,693.511
344,310420,"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",0.344,352.23,1023.928
345,520546,Proin at turpis a pede posuere nonummy.,2.218,1801.77,812.340
346,551411,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis.",3.182,604.83,190.078
347,090832,Morbi vel lectus in quam fringilla rhoncus.,1.999,1197.25,598.925
348,010190,Vestibulum ac est lacinia nisi venenatis tristique.,0.470,629.11,1338.523
349,292511,Vivamus in felis eu sapien cursus vestibulum.,0.794,822.39,1035.755
