Code,Type group code,Detailed Type Code,Type Designation,Type Group Description,Main Characteristics,Container Electricity Indicator,Container Refrigeration Indicator,Container Danger Indicator
H,HR,H3,Thermal container,Refrigerated and/or heated with removable equipment,(Unassigned),,Refrigerated and/or heated with removable equipment,
H,HR,H4,Thermal container,Refrigerated and/or heated with removable equipment,(Unassigned),,Refrigerated and/or heated with removable equipment,
H,HI,H5,Thermal container,Insulated,"Insulated; heat transfer coefficient K = 0,4 W/(m*mK)",,,
H,HI,H6,Thermal container,Insulated,"Insulated; heat transfer coefficient K = 0,7 W/(m*mK)",,,
H,HI,H7,Thermal container,Insulated,(Unassigned),,,
H,HI,H8,Thermal container,Insulated,(Unassigned),,,
H,HI,H9,Thermal container,Insulated,(Unassigned),,,
U,UT,U0,Open-top container,,Opening(s) at one or both ends,,,
U,UT,U1,Open-top container,,"Opening(s) at one or both ends, plus removable top member(s) in end frame(s)",,,
U,UT,U2,Open-top container,,"Opening(s) at one or both ends, plus removable top member(s) in end frame(s)",,,
U,UT,U3,Open-top container,,"Opening(s) at one or both ends, plus opening(s) on one or both sides",,,
U,UT,U4,Open-top container,,"Opening(s) at one or both ends, plus opening(s) on one or both sides plus removable top member(s) in end frame(s)",,,
U,UT,U5,Open-top container,,"Complete, fixed side and end walls (no doors)",,,
U,UT,U6,Open-top container,,"Complete, fixed side and end walls (no doors)",,,
U,UT,U7,Open-top container,,(Unassigned),,,
U,UT,U8,Open-top container,,(Unassigned),,,
U,UT,U9,Open-top container,,(Unassigned),,,
P,PL,P0,Platform (container),Platform-based containers with incomplete superstructure,Platform (container),,,
P,PF,P1,Platform (container),Fixed,Two complete and fixed ends,,,
P,PF,P2,Platform (container),Fixed,"Fixed posts, either free-standing or with removable top member",,,
P,PC,P3,Platform (container),Folding (collapsible),Folding complete end structure,,,
P,PC,P4,Platform (container),Folding (collapsible),"Folding posts, either free-standing or with removable top member",,,
P,PS,P5,Platform (container),Platform-based containers with complete superstructure,"Open top, open ends (skeletal)",,,
P,PS,P6,Platform (container),Platform-based containers with complete superstructure,(Unassigned),,,
P,PS,P7,Platform (container),Platform-based containers with complete superstructure,(Unassigned),,,
P,PS,P8,Platform (container),Platform-based containers with complete superstructure,(Unassigned),,,
P,PS,P9,Platform (container),Platform-based containers with complete superstructure,(Unassigned),,,
T,TN,T0,Tank container,For nondangerous liquids,Minimum pressure 45 kPA,,,Nondangerous liquids
T,TN,T1,Tank container,For nondangerous liquids,Minimum pressure 150 kPA,,,Nondangerous liquids
T,TN,T2,Tank container,For nondangerous liquids,Minimum pressure 265 kPA,,,Nondangerous liquids
T,TD,T3,Tank container,For dangerous liquids,Minimum pressure 150 kPA,,,Dangerous Liquids
T,TD,T4,Tank container,For dangerous liquids,Minimum pressure 265 kPA,,,Dangerous Liquids
T,TD,T5,Tank container,For dangerous liquids,Minimum pressure 400 kPA,,,Dangerous Liquids
T,TD,T6,Tank container,For dangerous liquids,Minimum pressure 600 kPA,,,Dangerous Liquids
T,TG,T7,Tank container,For gases,Minimum pressure 910 kPA,,,Contains Gases
T,TG,T8,Tank container,For gases,Minimum pressure 2 200 kPa,,,Contains Gases
T,TG,T9,Tank container,For gases,Minimum pressure (to be decided),,,Contains Gases
A,AS,A0,Air/surface container,,,,,
