IMO number,Vessel Name,Ship type,Flag,Gross Tonnage,Summer Deadweight (t),Length Overall (m),Beam (m),Draught (m),Year of Built,TEU,Crude,Grain,Bale,AIS Type,Destination,ETA,IMO / MMSI,Callsign,Length / Beam,Current draught,Course / Speed,Coordinates,MMSI,Course,Speed,latitude,longitude,Length,Beam
9820245,TENREACH,Container Ship,Iran,141514,148656,366,48,None,2018,None,,,,Cargo ship (HAZ-A),CN SHA,"May 1, 19:00",9820245 / 422153400,EPGW4,366 / 48 m,14.8 m,340.2° / 0.0 kn,30.62636 N/122.05508 E,422153400,340.2°,0.0 kn,30.62636,122.05508,366,48 m
9447861,ROME EXPRESS,Container Ship,Denmark,141328,153514,366,48,None,2010,None,,,,Cargo ship,OPL MALTA => EGPSD,"May 18, 19:00",9447861 / 219258000,OYYT2,366 / 48 m,15.7 m,172.0° / 1.8 kn,35.42173 N/14.47152 E,219258000,172.0°,1.8 kn,35.42173,14.47152,366,48 m
9447885,SOUTHAMPTON EXPRESS,Container Ship,Denmark,141328,153514,366,48,None,2011,None,,,,Cargo ship,EGSUZ,"May 2, 20:30",9447885 / 219259000,OYWG2,366 / 48 m,15.3 m,335.0° / 13.2 kn,29.302 N/32.73433 E,219259000,335.0°,13.2 kn,29.302,32.73433,366,48 m
9483877,ENERGY HORIZON,LNG Tanker,Japan,141136,87257,300,52,None,2011,,None,,,Tanker (HAZ-D),AU DAM,"May 3, 02:00",9483877 / 432807000,7JHS,300 / 52 m,9.7 m,195.0° / 15.0 kn,18.26771 S/117.88567 E,432807000,195.0°,15.0 kn,-18.26771,117.88567,300,52 m
9525857,UMM SALAL,Container Ship,Malta,141077,145327,366,51,None,2011,None,,,,Cargo ship (HAZ-A),CNTAO,"May 10, 19:00",9525857 / 215237000,9HA2682,366 / 48 m,10.5 m,60.9° / 13.1 kn,24.49569 N/119.43601 E,215237000,60.9°,13.1 kn,24.49569,119.43601,366,48 m
9525912,AL RIFFA,Container Ship,Malta,141077,145534,366,51,None,2012,None,,,,Cargo ship (HAZ-A),AEAUH>SGSIN,"May 8, 04:00",9525912 / 229005000,9HA2982,366 / 48 m,13.6 m,135.0° / 14.7 kn,7.90397 N/76.91392 E,229005000,135.0°,14.7 kn,7.90397,76.91392,366,48 m
9525900,MALIK AL ASHTAR,Container Ship,Malta,141077,145527,366,48,None,2012,None,,,,Cargo ship (HAZ-A),SGSIN PEBGA,"May 5, 16:00",9525900 / 229006000,9HA2983,366 / 48 m,14.5 m,193.8° / 19.7 kn,20.50021 N/114.04551 E,229006000,193.8°,19.7 kn,20.50021,114.04551,366,48 m
9525924,AL QIBLA,Container Ship,Malta,141077,145237,366,51,None,2012,None,,,,Cargo ship (HAZ-A),USNYC,"May 7, 14:30",9525924 / 256576000,9HA3958,366 / 48 m,13.2 m,280.1° / 17.6 kn,39.13308 N/23.70914 W,256576000,280.1°,17.6 kn,39.13308,-23.70914,366,48 m
9525883,ALULA,Container Ship,Malta,141077,145528,366,51,None,2012,None,,,,Cargo ship (HAZ-A),ITSPE>ITGOA,"May 3, 03:00",9525883 / 256884000,9HA2952,368 / 48 m,12.0 m,198.4° / 0.0 kn,44.10594 N/9.84686 E,256884000,198.4°,0.0 kn,44.10594,9.84686,368,48 m
9525869,AIN SNAN,Container Ship,Malta,141077,145274,365,48,None,2012,None,,,,Cargo ship,SGSIN>KRPUS,"May 4, 15:00",9525869 / 256603000,9HA2887,366 / 48 m,11.6 m,31.0° / 12.2 kn,28.4648 N/123.27011 E,256603000,31.0°,12.2 kn,28.4648,123.27011,366,48 m
9525895,TAYMA,Container Ship,Malta,141077,145451,366,48,None,2012,None,,,,Cargo ship (HAZ-A),CNTAO,"May 5, 14:00",9525895 / 229009000,9HA2989,366 / 48 m,9.1 m,54.3° / 0.0 kn,35.88802 N/120.95526 E,229009000,54.3°,0.0 kn,35.88802,120.95526,366,48 m
9525871,UNAYZAH,Container Ship,Malta,141077,145520,366,48,None,2012,None,,,,Cargo ship (HAZ-D),SGSIN-PWBGA,"Jun 7, 17:00",9525871 / 256885000,9HA2953,366 / 48 m,12.9 m,120.0° / 14.6 kn,36.93937 N/68.70082 W,256885000,120.0°,14.6 kn,36.93937,-68.70082,366,48 m
9525936,JEBEL ALI,Container Ship,Malta,141077,145149,366,51,None,2012,None,,,,Cargo ship (HAZ-A),SAJED,"May 12, 08:00",9525936 / 229007000,9HA2984,366 / 48 m,15.6 m,271.0° / 16.1 kn,5.98125 N/92.16493 E,229007000,271.0°,16.1 kn,5.98125,92.16493,366,48 m
9627978,OOCL BANGKOK,Container Ship,Hong Kong,141003,144043,366,48,None,2013,None,,,,Cargo ship,TAIPEI,"May 3, 08:30",9627978 / 477220200,VRME6,366 / 48 m,13.7 m,205.5° / 13.7 kn,28.19463 N/122.25074 E,477220200,205.5°,13.7 kn,28.19463,122.25074,366,48 m
9628001,OOCL SINGAPORE,Container Ship,Hong Kong,141003,144159,366,48,None,2014,None,,,,Cargo ship,TW KHH,"May 7, 09:00",9628001 / 477293200,VRMX7,366 / 48 m,12.3 m,241.0° / 13.1 kn,40.93252 N/139.31392 E,477293200,241.0°,13.1 kn,40.93252,139.31392,366,48 m
9622631,OOCL EGYPT,Container Ship,Hong Kong,141003,144179,366,48,None,2013,None,,,,Cargo ship,SG SIN>UAE JEL,"May 8, 17:00",9622631 / 477832500,VRLZ3,367 / 48 m,14.2 m,272.0° / 18.3 kn,5.89963 N/87.62958 E,477832500,272.0°,18.3 kn,5.89963,87.62958,367,48 m
9622629,OOCL CHONGQING,Container Ship,Hong Kong,141003,144060,366,48,None,2013,None,,,,Cargo ship,SAVANNAH,"May 3, 06:00",9622629 / 477832400,VRLZ4,366 / 48 m,12.0 m,236.0° / 20.2 kn,33.52647 N/76.93292 W,477832400,236.0°,20.2 kn,33.52647,-76.93292,366,48 m
9622588,OOCL POLAND,Container Ship,Hong Kong,141003,144342,366,48,None,2013,None,,,,Cargo ship,WAITING FOR ORDER,"Apr 18, 12:00",9622588 / 477182200,VRLJ2,366 / 48 m,10.5 m,204.9° / 0.1 kn,21.8597 N/113.78509 E,477182200,204.9°,0.1 kn,21.8597,113.78509,366,48 m
9622590,OOCL BRUSSELS,Container Ship,Hong Kong,141003,144150,366,48,None,2013,None,,,,Cargo ship,YANGSHAN>BALBOA,"May 21, 02:00",9622590 / 477182300,VRLJ3,366 / 48 m,13.5 m,49.0° / 20.1 kn,40.30541 N/138.65907 E,477182300,49.0°,20.1 kn,40.30541,138.65907,366,48 m
9627980,OOCL MALAYSIA,Container Ship,Hong Kong,141003,144162,366,48,None,2013,None,,,,Cargo ship,BEIRUT,"May 3, 14:00",9627980 / 477220100,VRME7,366 / 48 m,13.9 m,89.0° / 18.7 kn,34.00713 N/28.89419 E,477220100,89.0°,18.7 kn,34.00713,28.89419,366,48 m
9622605,OOCL BERLIN,Container Ship,Hong Kong,141003,144143,366,48,None,2013,None,,,,Cargo ship,EG SUZ,"May 13, 18:00",9622605 / 477203100,VRLN5,366 / 48 m,12.2 m,89.6° / 10.9 kn,32.62257 N/78.26896 W,477203100,89.6°,10.9 kn,32.62257,-78.26896,366,48 m
9622617,OOCL FRANCE,Container Ship,Hong Kong,141003,144044,366,48,None,2013,None,,,,Cargo ship,KR PUS,"Apr 30, 20:00",9622617 / 477222700,VRLQ4,366 / 48 m,12.3 m,245.0° / 11.5 kn,32.53948 N/126.26643 E,477222700,245.0°,11.5 kn,32.53948,126.26643,366,48 m
9627992,OOCL KOREA,Container Ship,Hong Kong,141003,144131,366,48,None,2014,None,,,,Cargo ship (HAZ-D),CN YAN>PA PCN,"May 6, 01:00",9627992 / 477293100,VRMX8,366 / 48 m,11.9 m,116.0° / 19.0 kn,14.86042 N/97.17266 W,477293100,116.0°,19.0 kn,14.86042,-97.17266,366,48 m
9785768,COSCO SHIPPING JASMINE,Container Ship,Hong Kong,141000,145000,366,48,None,2018,None,,,,Cargo ship (HAZ-A),QINGDAO,"May 2, 07:45",9785768 / 477183900,VRRY2,366 / 48 m,13.4 m,213.9° / 0.0 kn,36.04521 N/120.92138 E,477183900,213.9°,0.0 kn,36.04521,120.92138,366,48 m
9842085,MSC FAITH,Container Ship,Liberia,141000,149831,366,48,None,2019,,,,,Cargo ship (HAZ-A),COLOMBO,"Apr 30, 19:30",9842085 / 636019213,D5TM2,366 / 48 m,15.8 m,322.0° / 14.6 kn,10.77285 N/74.12343 E,636019213,322.0°,14.6 kn,10.77285,74.12343,366,48 m
9842073,MSC JEWEL,Container Ship,Liberia,141000,149831,366,48,None,2019,,,,,Cargo ship,,,9842073 / 636019207,D5TL4,366 / 48 m,7.5 m,0.0° / 0.0 kn,31.3715 N/121.69794 E,636019207,0.0°,0.0 kn,31.3715,121.69794,366,48 m
9842102,MSC KANOKO,Container Ship,Liberia,141000,149831,366,48,,2019,,,,,Cargo ship (HAZ-A),CORONEL,"Apr 2, 10:00",9842102 / 636019214,D5TM3,366 / 48 m,10.3 m,133.0° / 0.1 kn,33.62858 S/71.70384 W,636019214,133.0°,0.1 kn,-33.62858,-71.70384,366,48 m
9475698,MAERSK EXETER,Container Ship,Greece,140979,141356,366,48,None,2012,None,,,,Cargo ship (HAZ-A),CHZOS,"Apr 15, 05:00",9475698 / 241313000,SVBY3,366 / 48 m,9.0 m,200.0° / 0.0 kn,30.15451 N/122.0206 E,241313000,200.0°,0.0 kn,30.15451,122.0206,366,48 m
9475703,MSC AMBITION,Container Ship,Liberia,140979,141550,366,48,None,2012,None,,,,Cargo ship (HAZ-D),,,9475703 / 636015607,D5BU6,366 / 48 m,8.5 m,35.0° / 0.0 kn,30.15914 N/122.00922 E,636015607,35.0°,0.0 kn,30.15914,122.00922,366,48 m
9842097,MSC ALIYA,Container Ship,Liberia,140976,149831,366,48,,2019,,,,,Cargo ship,MANZANILLO,"Apr 29, 12:00",9842097 / 636019215,D5TM4,366 / 48 m,14.1 m,290.0° / 19.4 kn,19.30211 N/105.3907 W,636019215,290.0°,19.4 kn,19.30211,-105.3907,366,48 m
9780897,CMA CGM J. MADISON,Container Ship,Malta,140872,147966,366,48,None,2018,None,,,,Cargo ship (HAZ-A),SINGAPORE,"May 22, 04:00",9780897 / 215137000,9HA4975,366 / 48 m,13.0 m,134.0° / 16.6 kn,24.93194 N/68.04967 W,215137000,134.0°,16.6 kn,24.93194,-68.04967,366,48 m
9780861,CMA CGM T. JEFFERSON,Container Ship,Malta,140872,148992,367,48,None,2017,None,,,,Cargo ship (HAZ-A),EGSUZ - MYPKG,"May 5, 16:00",9780861 / 215126000,9HA4970,366 / 48 m,12.7 m,88.0° / 13.4 kn,5.82469 N/86.6624 E,215126000,88.0°,13.4 kn,5.82469,86.6624,366,48 m
9780847,CMA CGM G. WASHINGTON,Container Ship,Malta,140872,148992,366,48,None,2017,None,,,,Cargo ship (HAZ-A),CNYTN,"May 2, 09:30",9780847 / 215197000,9HA5003,366 / 48 m,11.5 m,47.0° / 0.0 kn,22.57885 N/114.27783 E,215197000,47.0°,0.0 kn,22.57885,114.27783,366,48 m
9780873,CMA CGM T. ROOSEVELT,Container Ship,Malta,140872,148992,366,48,None,2017,None,,,,Cargo ship (HAZ-A),USSAV > JMKIN,"May 2, 10:00",9780873 / 215251000,9HA5029,366 / 48 m,12.8 m,319.0° / 0.0 kn,17.98565 N/76.8369 W,215251000,319.0°,0.0 kn,17.98565,-76.8369,366,48 m
9780885,CMA CGM J. ADAMS,Container Ship,Malta,140872,148992,366,48,None,2017,None,,,,Cargo ship (HAZ-A),US SAV,"May 3, 02:00",9780885 / 215181000,9HA4999,366 / 48 m,11.7 m,230.0° / 12.9 kn,32.65257 N/78.56738 W,215181000,230.0°,12.9 kn,32.65257,-78.56738,366,48 m
9780859,CMA CGM A. LINCOLN,Container Ship,Malta,140872,148992,366,48,None,2017,None,,,,Cargo ship (HAZ-A),SUEZ CANAL,"May 12, 21:00",9780859 / 215125000,9HA4969,366 / 49 m,13.1 m,77.0° / 15.9 kn,32.69734 N/79.01452 W,215125000,77.0°,15.9 kn,32.69734,-79.01452,366,49 m
9447902,PARIS EXPRESS,Container Ship,Liberia,140259,153514,366,48,None,2011,None,,,,Cargo ship (HAZ-D),ABU  DHABI,"May 2, 06:00",9447902 / 636092168,A8XT7,366 / 48 m,14.5 m,230.0° / 2.2 kn,24.81373 N/54.66177 E,636092168,230.0°,2.2 kn,24.81373,54.66177,366,48 m
9471408,CMA CGM NEVADA,Container Ship,Malta,140259,146182,366,48,None,2011,None,,,,Cargo ship (HAZ-A),NLRTM,"May 4, 04:00",9471408 / 229639000,9HA3474,366 / 48 m,14.7 m,153.6° / 0.0 kn,49.45647 N/0.17214 E,229639000,153.6°,0.0 kn,49.45647,0.17214,366,48 m
9469572,CMA CGM ALASKA,Container Ship,Malta,140259,146113,366,48,None,2011,None,,,,Cargo ship (HAZ-D), JEBEL ALI,"May 1, 23:30",9469572 / 215577000,9HA5189,366 / 48 m,14.2 m,76.0° / 0.0 kn,24.99081 N/55.05946 E,215577000,76.0°,0.0 kn,24.99081,55.05946,366,48 m
9447847,MADRID EXPRESS,Container Ship,Madeira,140259,153514,366,48,None,2010,None,,,,Cargo ship (HAZ-A),AEJEA,"Jun 10, 22:00",9447847 / 255805798,CQDV,366 / 48 m,9.5 m,280.0° / 8.9 kn,6.22227 N/95.33062 E,255805798,280.0°,8.9 kn,6.22227,95.33062,366,48 m
9447847,MADRID EXPRESS,Container Ship,Madeira,140259,153514,366,48,None,2010,None,,,,Cargo ship (HAZ-A),AEJEA,"Jun 10, 22:00",9447847 / 255805798,CQDV,366 / 48 m,9.5 m,280.0° / 8.9 kn,6.22227 N/95.33062 E,255805798,280.0°,8.9 kn,6.22227,95.33062,366,48 m
9467419,MSC LAURENCE,Container Ship,Panama,140096,139408,366,48,None,2011,None,,,,Cargo ship (HAZ-A), SINGAPORE VIA CAPE,"May 17, 00:01",9467419 / 371582000,3FUT9,366 / 48 m,15.4 m,141.0° / 18.0 kn,30.01506 S/13.81345 E,371582000,141.0°,18.0 kn,-30.01506,13.81345,366,48 m
9467407,MSC LAUREN,Container Ship,Panama,140096,139324,366,48,None,2011,None,,,,Cargo ship (HAZ-C),SALALAH,"May 1, 14:00",9467407 / 353428000,3FZR5,366 / 48 m,15.5 m,248.0° / 0.0 kn,16.94806 N/54.01359 E,353428000,248.0°,0.0 kn,16.94806,54.01359,366,48 m
9467445,MSC KATRINA,Container Ship,Panama,140096,139439,366,48,None,2012,None,,,,Cargo ship (HAZ-A),COLOMBO,"May 6, 22:30",9467445 / 373404000,3EZD3,366 / 48 m,9.6 m,270.0° / 9.0 kn,5.98315 N/93.57264 E,373404000,270.0°,9.0 kn,5.98315,93.57264,366,48 m
9467457,MSC KATIE,Container Ship,Panama,140096,139287,366,48,None,2012,None,,,,Cargo ship (HAZ-A),LONG BEACH USLGB,"May 10, 11:00",9467457 / 351848000,3FMO6,366 / 48 m,14.4 m,74.0° / 20.4 kn,32.49564 N/136.40336 E,351848000,74.0°,20.4 kn,32.49564,136.40336,366,48 m
9467421,MSC MARIA SAVERIA,Container Ship,Panama,140096,139294,366,48,None,2011,None,,,,Cargo ship (HAZ-A),NHAVA SHEVA,"Apr 4, 13:30",9467421 / 372400000,3FLE8,366 / 48 m,13.9 m,336.0° / 13.7 kn,10.09391 N/75.7557 E,372400000,336.0°,13.7 kn,10.09391,75.7557,366,48 m
9467392,MSC BERYL,Container Ship,Panama,140096,139418,366,48,None,2010,None,,,,Cargo ship (HAZ-A),"SGSIN WBG ""A""","May 2, 16:01",9467392 / 357926000,3EXV8,366 / 48 m,14.9 m,122.0° / 11.8 kn,1.63379 N/102.81137 E,357926000,122.0°,11.8 kn,1.63379,102.81137,366,48 m
9467433,MSC FLAVIA,Container Ship,Panama,140096,139466,366,48,None,2012,None,,,,Cargo ship (HAZ-A),PECLL,"Apr 2, 21:00",9467433 / 373004000,3FBD7,366 / 48 m,11.2 m,140.0° / 22.5 kn,11.4805 S/77.8847 W,373004000,140.0°,22.5 kn,-11.4805,-77.8847,366,48 m
9227508,NAVIGATOR OF THE SEAS,Passenger (Cruise) Ship,Bahamas,139999,9616,311,39,None,2002,,,,,Passenger ship,COCOCAY,"May 2, 19:00",9227508 / 311478000,C6FU4,312 / 50 m,9.0 m,211.3° / 4.7 kn,25.97715 N/79.51713 W,311478000,211.3°,4.7 kn,25.97715,-79.51713,312,50 m
9227510,MARINER OF THE SEAS,Passenger (Cruise) Ship,Bahamas,139863,9616,311,39,None,2003,None,,,,Passenger ship,COCO CAY,"May 1, 15:00",9227510 / 311493000,C6FV9,311 / 38 m,9.2 m,266.0° / 0.1 kn,25.76666 N/78.169 W,311493000,266.0°,0.1 kn,25.76666,-78.169,311,38 m
9595321,MSC PREZIOSA,Passenger (Cruise) Ship,Panama,139072,12614,333,38,None,2013,,,,,Passenger ship,BS OCE ANCHORAGE,"Apr 29, 23:00",9595321 / 371861000,3FOA6,333 / 38 m,8.6 m,46.0° / 0.1 kn,25.35508 N/79.2087 W,371861000,46.0°,0.1 kn,25.35508,-79.2087,333,38 m
9585285,MSC DIVINA,Passenger (Cruise) Ship,Panama,139072,12722,333,38,None,2012,,,,,Passenger ship,OCEAN CAY,"May 2, 14:00",9585285 / 373178000,3FFA5,333 / 50 m,8.6 m,159.0° / 11.1 kn,25.43337 N/79.51398 W,373178000,159.0°,11.1 kn,25.43337,-79.51398,333,50 m
9770440,MARVEL HERON,LNG Tanker,Panama,139050,97000,298,49,,2019,,,,,Tanker,FOR ORDERS,"May 19, 02:00",9770440 / 374022000,3EVN7,298 / 49 m,10.4 m,64.0° / 13.9 kn,37.38838 N/146.84303 E,374022000,64.0°,13.9 kn,37.38838,146.84303,298,49 m
9161716,VOYAGER OF THE SEAS,Passenger (Cruise) Ship,Bahamas,138194,11132,311,39,None,1999,,,,,Passenger ship,MANILA,"Apr 27, 01:30",9161716 / 311317000,C6SE5,311 / 37 m,9.0 m,359.4° / 0.1 kn,14.56401 N/120.92089 E,311317000,359.4°,0.1 kn,14.56401,120.92089,311,37 m
9161728,EXPLORER OF THE SEAS,Passenger (Cruise) Ship,Bahamas,138194,11000,311,39,None,2000,,,,,Passenger ship,COCOCAY,"May 2, 12:00",9161728 / 311316000,C6SE4,311 / 39 m,9.1 m,70.0° / 0.2 kn,25.78627 N/78.2268 W,311316000,70.0°,0.2 kn,25.78627,-78.2268,311,39 m
9167227,ADVENTURE OF THE SEAS,Passenger (Cruise) Ship,Bahamas,138193,11033,311,39,None,2001,,,,,Passenger ship,PEV ANCHORAGE!S,"Apr 19, 16:30",9167227 / 311263000,C6SA3,311 / 38 m,9.2 m,34.0° / 0.0 kn,26.0855 N/79.14983 W,311263000,34.0°,0.0 kn,26.0855,-79.14983,311,38 m
9359806,MSC SPLENDIDA,Passenger (Cruise) Ship,Panama,137936,13413,333,38,None,2009,,,,,Passenger ship,,,9359806 / 357698000,3FZI8,333 / 38 m,8.6 m,180.0° / 0.0 kn,44.4113 N/8.9176 E,357698000,180.0°,0.0 kn,44.4113,8.9176,333,38 m
9359791,MSC FANTASIA,Passenger (Cruise) Ship,Panama,137936,12614,333,38,None,2008,,,,,Passenger ship,,,9359791 / 370648000,3ETR7,333 / 38 m,8.6 m,261.0° / 0.0 kn,38.70996 N/9.12484 W,370648000,261.0°,0.0 kn,38.70996,-9.12484,333,38 m
9337987,AL GHARIYA,LNG Tanker,Bahamas,137535,121730,315,50,None,2008,,None,,,Tanker (HAZ-D),MILFORD HAVEN,"May 11, 23:01",9337987 / 308248000,C6WF5,315 / 50 m,12.1 m,145.0° / 1.8 kn,34.73508 N/16.34966 E,308248000,145.0°,1.8 kn,34.73508,16.34966,315,50 m
9337963,AL SAFLIYA,LNG Tanker,Bahamas,137535,121963,315,50,None,2007,,None,,,Tanker (HAZ-D),SUEZ,"May 9, 17:00",9337963 / 308171000,C6WF3,315 / 50 m,12.1 m,78.6° / 18.1 kn,26.16303 N/52.59806 E,308171000,78.6°,18.1 kn,26.16303,52.59806,315,50 m
9337975,DUHAIL,LNG Tanker,Bahamas,137535,121639,315,50,None,2008,,None,,,Tanker,TR MAR,"May 8, 04:00",9337975 / 309599000,C6WF6,315 / 50 m,12.0 m,13.6° / 12.1 kn,31.3618 N/32.38478 E,309599000,13.6°,12.1 kn,31.3618,32.38478,315,50 m
9337951,AL RUWAIS,LNG Tanker,Bahamas,137535,121823,315,50,None,2007,,None,,,Tanker,BE ZEE,"May 3, 09:30",9337951 / 309904000,C6WF4,314 / 50 m,12.2 m,61.6° / 15.5 kn,49.81114 N/2.88943 W,309904000,61.6°,15.5 kn,49.81114,-2.88943,314,50 m
9397341,AL SADD,LNG Tanker,Marshall Islands,136980,121913,315,50,None,2009,,None,,,Tanker (HAZ-C),GIBRALTAR,"May 3, 08:08",9397341 / 538003361,V7QG9,315 / 50 m,9.6 m,167.4° / 17.3 kn,36.78963 N/9.64026 W,538003361,167.4°,17.3 kn,36.78963,-9.64026,315,50 m
9431147,AL BAHIYA,LNG Tanker,Marshall Islands,136980,121957,315,50,None,2010,,None,,,Tanker,QA RLF>TH MTP,"May 1, 17:17",9431147 / 538003349,V7QF5,315 / 50 m,12.2 m,185.0° / 0.0 kn,12.64976 N/101.15535 E,538003349,185.0°,0.0 kn,12.64976,101.15535,315,50 m
9431123,AL KARAANA,LNG Tanker,Marshall Islands,136980,122052,315,50,None,2009,,None,,,Tanker (HAZ-D),PERSIAN GULF,"May 9, 03:03",9431123 / 538003358,V7QG6,315 / 50 m,9.4 m,149.0° / 15.6 kn,23.72141 N/36.4735 E,538003358,149.0°,15.6 kn,23.72141,36.4735,315,50 m
9360831,AL SHEEHANIYA,LNG Tanker,Marshall Islands,136980,122006,315,50,None,2009,,None,,,Tanker (HAZ-D),NORTH EUROPE,"May 8, 23:01",9360831 / 538003364,V7QH4,315 / 50 m,12.2 m,205.0° / 2.5 kn,35.48251 N/15.12361 E,538003364,205.0°,2.5 kn,35.48251,15.12361,315,50 m
9397353,ONAIZA,LNG Tanker,Marshall Islands,136980,121939,315,50,None,2009,,None,,,Tanker,PK BQM,"May 6, 01:01",9397353 / 538003363,V7QH3,315 / 50 m,11.0 m,329.6° / 0.0 kn,25.84212 N/51.89237 E,538003363,329.6°,0.0 kn,25.84212,51.89237,315,50 m
9431135,AL NUAMAN,LNG Tanker,Marshall Islands,136980,121910,315,50,None,2009,,None,,,Tanker,GB MLF,"May 6, 02:00",9431135 / 538003351,V7QF7,315 / 50 m,12.1 m,249.0° / 14.2 kn,36.11133 N/4.57104 W,538003351,249.0°,14.2 kn,36.11133,-4.57104,315,50 m
9431111,AL KHATTIYA,LNG Tanker,Marshall Islands,136980,121946,315,50,None,2009,,None,,,Tanker,QATAR,"May 2, 20:00",9431111 / 538003350,V7QF6,315 / 65 m,9.4 m,254.2° / 18.3 kn,26.18424 N/52.56586 E,538003350,254.2°,18.3 kn,26.18424,52.56586,315,65 m
9666558,SEISHU MARU,LNG Tanker,Bahamas,136740,86414,288,49,None,2014,,,,,Tanker,AU_DRW,"May 6, 20:30",9666558 / 311000261,C6BH2,288 / 49 m,11.0 m,136.0° / 17.4 kn,31.85646 N/126.44568 E,311000261,136.0°,17.4 kn,31.85646,126.44568,288,49 m
9666560,ESSHU MARU,LNG Tanker,Bahamas,136740,86455,288,49,None,2014,,,,,Tanker,JP CTA,"May 14, 21:00",9666560 / 311000285,C6BJ9,288 / 49 m,11.6 m,280.3° / 14.2 kn,12.06089 S/130.36225 E,311000285,280.3°,14.2 kn,-12.06089,130.36225,288,49 m
9666998,LNG JUROJIN,LNG Tanker,Bahamas,136739,86121,288,49,None,2015,,,,,Tanker,FRMTX,"Apr 23, 07:00",9666998 / 311000420,C6CA7,288 / 49 m,10.2 m,12.7° / 0.0 kn,47.30073 N/2.13613 W,311000420,12.7°,0.0 kn,47.30073,-2.13613,288,49 m
9696149,LNG SATURN,LNG Tanker,Bahamas,136739,86044,288,49,None,2016,,,,,Tanker (HAZ-A),JPKOJ,"May 12, 22:00",9696149 / 311000439,C6CD3,288 / 49 m,11.7 m,291.5° / 13.0 kn,12.15848 S/130.3414 E,311000439,291.5°,13.0 kn,-12.15848,130.3414,288,49 m
