Port Authority:,Phone:,Fax:,800 Number:,Email:,Web Site:,Latitude:,Longitude:,UN/LOCODE:,Port Type:,Port Size:,Max Draft:,Address,Address Line 1,Address Line 2,Country,City
Entreprise Portuaire de Dellys,213 21 429377,,,,,36º 55' 0'' N,3º 55' 0'' E,,Harbor,Small, m,"['Dellys', 'Algeria']",,Dellys,Algeria,
Entreprise Portuaire de Djen Djen,213 034 44 65 64,213 034 44 52 60,,epjdjendjen@wissal.dz,www.djendjen-port.com.dz,36º 49' 0'' N,5º 52' 59'' E,,Seaport,Small, m,"['BP 87', 'Jijel 18000', 'Algeria']",BP 87,Jijel 18000,Algeria,
Enterprise Portuaire de Ghazaouet,213 43 323345,213 43 326255,,,,35º 6' 0'' N,-1º -52' 0'' W,,Seaport,Small, m,"['BP 217', 'Ghazaouet 13400', 'Algeria']",BP 217,Ghazaouet 13400,Algeria,
Entreprise Portuaire de Jijel,213 34 965334,,,,,36º 49' 28'' N,5º 45' 58'' E,,Harbor,Small, m,"['BP 87', 'Jijel', 'Algeria']",,BP 87,Algeria,Jijel
,,,,,,35º 55' 59'' N,0º 4' 59'' E,,,, m,,,,Algeria,
Entreprise Portuaire de Mostaganem,213 45 215938,213 45 217805,,,,35º 54' 59'' N,0º 3' 53'' E,,Harbor,Small, m,"['BP 131', 'Mostaganem 27000', 'Algeria']",BP 131,Mostaganem 27000,Algeria,
Entreprise Portuaire d'Oran,213 41 332441,213 41 332498,,,,35º 43' 0'' N,0º -38' -59'' W,,Seaport,Medium, m,"['1 Rue du 20 Aout', 'Oran 31000', 'Algeria']",1 Rue du 20 Aout,Oran 31000,Algeria,
,,,,,,36º 52' 48'' N,6º 58' 6'' E,,,, m,,,,Algeria,
Skikda Port Enterprise,213 38 756827,213 38 752015,,info@skikda-port.com,www.skikda-port.com,36º 53' 5'' N,6º 53' 22'' E,,Seaport,Medium, m,"['BP 65', 'Avenue Rezki Rahal', 'Skikda 21000', 'Algeria']",Avenue Rezki Rahal,Skikda 21000,Algeria,
Entreprise Portuaire de Tenes,213 27 767276,213 27 766589,,asiporttenes@yahoo.fr,,36º 31' 1'' N,1º 19' 53'' E,,Harbor,Small, m,"['BP 18', 'Tenes 02200', 'Algeria']",BP 18,Tenes 02200,Algeria,
American Samoa Government,684 633-4251,684 633-5281,,,americansamoa.gov,-14º -15' -59'' S,-170º -40' -59'' W,,Seaport,Medium, m,"['Territory of American Samoa', 'Pago-Pago 96799', 'American Samoa']",Territory of American Samoa,Pago-Pago 96799,American Samoa,
Ambriz Port Authority,,,,,,-7º -49' -23'' S,13º 6' 34'' E,,"Pier, Jetty or Wharf",Very Small, m,"['CP 30', 'Marine Port Authority', 'Cabinda', 'Angola']",CP 30,Marine Port Authority,Angola,Cabinda
Autoridade Portuaria de Cabinda,244 231 222464,244 231 222464,,,,-5º -33' -22'' S,12º 11' 14'' E,,"Pier, Jetty or Wharf",Very Small, m,"['CP 68', 'Cabinda', 'Angola']",,CP 68,Angola,Cabinda
,,,,,,-6º -12' -35'' S,12º 19' 26'' E,,,, m,,,,Angola,
,,,,,,-5º -24' -59'' S,12º 12' 46'' E,,,, m,,,,Angola,
,,,,,,-7º -29' -30'' S,12º 58' 7'' E,,,, m,,,,Angola,
,,,,,,-7º -19' -59'' S,12º 55' 11'' E,,,, m,,,,Angola,
,,,,,,-7º -5' -56'' S,12º 51' 0'' E,,,, m,,,,Angola,
"Empresa Portuaria Do Lobito , E.P.",244 722 23439,244 272 222719,,,,-12º -21' -35'' S,13º 32' 26'' E,,Deepwater Seaport,Medium, m,"['Avenida da Independencia', 'CP 16', 'Lobito', 'Angola']",Avenida da Independencia,CP 16,Angola,Lobito
,,,,,,-6º -36' -17'' S,12º 32' 37'' E,,,, m,,,,Angola,
Administracao do Porto de Luanda,+244 2 335975,,,portoluanda@snet.co.ao,www.otal.com/angola,-8º -48' -29'' S,13º 15' 18'' E,,Deepwater Seaport,Medium, m,"['Largo 4 de Fevereiro', 'Luanda 1229', 'Angola']",Largo 4 de Fevereiro,Luanda 1229,Angola,
Cabinda Gulf Oil Company Ltd. (CABGOC),+244 2 391141,+244 2 391391,,amrmr@chevron.com,www.otal.com/angola,-5º -14' -40'' S,12º 8' 26'' E,,"Pier, Jetty or Wharf",Very Small, m,"['Malongo', 'Angola']",,Malongo,Angola,
Empresa Portuaria do Namibe,244 222 390034,244 217 653435,,,www.otal.com/angola,-15º -10' -59'' S,12º 7' 0'' E,,Harbor,Small, m,"['CP 16', 'Namibe', 'Angola']",,CP 16,Angola,Namibe
,,,,,,-6º -47' -2'' S,12º 40' 28'' E,,,, m,,,,Angola,
Porto Amboim Port Authority,,,,,,-10º -43' -59'' S,13º 45' 0'' E,,Harbor,Small, m,"['Porto Amboim', 'Angola']",,Porto Amboim,Angola,
Fina Petroleos de Angola,+244 2 390148,+244 2 391031,,,www.otal.com/angola,-6º -6' -20'' S,12º 17' 27'' E,,Harbor,Small, m,"['Soyo', 'Angola']",,Soyo,Angola,
,,,,,,-11º -11' -60'' S,13º 50' 24'' E,,,, m,,,,Angola,
,,,,,,-5º -1' -57'' S,12º 1' 0'' E,,,, m,,,,Angola,
,,,,,,17º 7' 0'' N,-61º -52' 0'' W,,,, m,,,,Antigua and Barbuda,
,,,,,,-33º -8' -24'' S,-60º -30' -27'' W,,,, m,,,,Argentina,
,,,,,,-33º -57' -17'' S,-59º -14' -20'' W,,,, m,,,,Argentina,
Autoridad Portuaria del Puerto de Bahia Blanca,,,,,www.puertobahiablanca.com,-38º -46' -59'' S,-62º -16' 0'' W,,River Port,Small, m,"['Bahia Blanca City, Buenos Aires Province', 'Argentina']",,"Bahia Blanca City, Buenos Aires Province",Argentina,
Administracion General de Puertos,(54) 11 4342-1727,,,institucionales@puertobuenosaires.gov.ar,www.puertobuenosaires.gov.ar,-34º -35' -40'' S,-58º -21' -59'' W,,Deepwater Seaport,Large, m,"['Buenos Aires', 'Argentina']",,,Argentina,Buenos Aires
,,,,,,-46º -26' -46'' S,-67º -32' -19'' W,,,, m,,,,Argentina,
Administracion Portuaria Bonaerense,(0054-3489)422890,,,,www.consejoportuario.com.ar,-34º -9' -28'' S,-58º -57' -30'' W,,River Port,Small, m,"['Delegacian Parana Inferior (2804)', 'Campana', 'Argentina']",,Delegacian Parana Inferior (2804),Argentina,Campana
,,,,,,-45º -49' -37'' S,-67º -29' -37'' W,,,, m,,,,Argentina,
,,,,,,-32º -30' 0'' S,-58º -14' -59'' W,,,, m,,,,Argentina,
Deseado de la Provincia del Santa Cruz,54 0297-4872234,54 0297-487091466,,pdeseado@pdeseado.com.ar,www.scruz.gov.ar/puertos,-47º -46' -25'' S,-65º -53' -9'' W,,Seaport,Medium, m,"['Zona Portuaria S/N', 'Puerto Deseado, Santa Cruz 9050', 'Argentina']",Zona Portuaria S/N,"Puerto Deseado, Santa Cruz 9050",Argentina,
,,,,,,-32º -4' -5'' S,-60º -39' -2'' W,,River Port,Small, m,"['Diamante, Entre Rios', 'Argentina']",,"Diamante, Entre Rios",Argentina,
,,,,,,-34º -50' -16'' S,-57º -56' -59'' W,,,, m,,,,Argentina,
Administracion Puerto Ibicuy,03446 498407,,,,www.consejoportuario.com.ar/puertos.aspx?id=38,-33º -38' -43'' S,-59º -14' -45'' W,,River Port,Very Small, m,"['Ente Autarquico Puerto Ibicuy', 'Ibicuy, Entre Rios 2846', 'Argentina']",Ente Autarquico Puerto Ibicuy,"Ibicuy, Entre Rios 2846",Argentina,
Consortium of Administration of La Plata Port,54 221 460 0203,,,Info@laplataport.com.ar,www.laplataport.com.ar,-34º -49' -59'' S,-57º -52' -59'' W,,River Port,Medium, m,['Argentina'],,,Argentina,
Administracion Portuaria Bonaerense,0223 4893099,,,consorcioportuariomdp@speedy.com.ar,www.consejoportuario.com.ar,-38º -1' -59'' S,-57º -31' -59'' W,,Harbor,Small, m,"['Mar del Plata', 'Argentina']",,,Argentina,Mar del Plata
,,,,,,-47º -44' -58'' S,-65º -51' -27'' W,,,, m,,,,Argentina,
,,,,,,-42º -44' -36'' S,-65º -3' -19'' W,,,, m,,,,Argentina,
,,,,,,-33º -26' -3'' S,-60º -4' -7'' W,,,, m,,,,Argentina,
,,,,,,-31º -43' -21'' S,-60º -32' -4'' W,,,, m,,,,Argentina,
,,,,,,-41º -41' 0'' S,-65º -2' -18'' W,,,, m,,,,Argentina,
,,,,,,-51º -32' -55'' S,-69º -1' -59'' W,,,, m,,,,Argentina,
,,,,,,-38º -34' -21'' S,-58º -43' -41'' W,,,, m,,,,Argentina,
,,,,,,-33º -28' -48'' S,-59º -59' -55'' W,,River Port,Small, m,"['Ramallo, Buenos Aires', 'Argentina']",,"Ramallo, Buenos Aires",Argentina,
,,,,,,-52º -55' 0'' S,-68º -22' 0'' W,,,, m,,,,Argentina,
,02966 422352,02966 429013,,uneposc@ar.inter.net,www.scruz.gov.ar/puertos,-51º -38' -13'' S,-68º -59' -58'' W,,"Pier, Jetty or Wharf",Very Small, m,"['Gobernador Lista 395', 'Rio Gallegos, Santa Cruz 9400', 'Argentina']",Gobernador Lista 395,"Rio Gallegos, Santa Cruz 9400",Argentina,
,,,,,,-53º -47' -60'' S,-67º -45' 0'' W,,Harbor,Medium, m,"['Rio Grande, Tierra del Fuego', 'Argentina']",,"Rio Grande, Tierra del Fuego",Argentina,
Ente Administrador Port Rosary,(0341) 4487105,(0341) 4485010,,,,-32º -57' -46'' S,-60º -37' -40'' W,,River Port,Small, m,"['Av. Belgrano 341', 'Rosario 2000', 'Argentina']",Av. Belgrano 341,Rosario 2000,Argentina,
,,,,,,-40º -49' 0'' S,-64º -51' -21'' W,,,, m,,,,Argentina,
,02962 452612,02962 452069,,puertopsj@videodata.com.ar,www.scruz.gov.ar/puertos,-49º -17' -60'' S,-67º -43' 0'' W,,"Pier, Jetty or Wharf",Very Small, m,"['Sarmiento 200', 'San Julian, Santa Cruz 9310', 'Argentina']",Sarmiento 200,"San Julian, Santa Cruz 9310",Argentina,
,,,,,,-32º -43' -7'' S,-60º -43' -56'' W,,River Port,Small, m,"['San Lorenzo, Santa Fe', 'Argentina']",,"San Lorenzo, Santa Fe",Argentina,
,,,,,,-32º -22' 0'' S,-60º -12' 0'' W,,,, m,,,,Argentina,
,,,,,,-53º -19' -59'' S,-68º -20' -59'' W,,,, m,,,,Argentina,
,,,,,,-50º -1' 0'' S,-68º -25' 0'' W,,,, m,,,,Argentina,
,,,,,,-34º -27' -57'' S,-58º -30' -39'' W,,,, m,,,,Argentina,
Direccion Provincial de Puertos,54 2901 435200,,,info@puertoushuaia.gov.ar,www.puertoushuaia.gov.ar,-54º -47' -17'' S,-68º -17' -40'' W,,Harbor,Small, m,"['Avenida Maipu 510', 'Ushuaia, Tierra del Fuego V9410BJL', 'Argentina']",Avenida Maipu 510,"Ushuaia, Tierra del Fuego V9410BJL",Argentina,
,,,,,,-33º -13' -49'' S,-60º -19' -10'' W,,,, m,,,,Argentina,
Administracion Portuaria Bonaerense,03487 429000,,,,www.consejoportuario.com.ar,-34º -5' -49'' S,-59º 0' -54'' W,,River Port,Small, m,"['Avda. Pagola 2007', 'Zarate, Buenos Aires 2800', 'Argentina']",Avda. Pagola 2007,"Zarate, Buenos Aires 2800",Argentina,
,,,,,,12º 28' 54'' N,-69º -59' -24'' W,,,, m,,,,Aruba,
Aruba Ports Authority N.V.,(297) 582-6633,(297) 583-2896,,,www.arubaports.com,12º 32' 16'' N,-70º -2' -16'' W,,Deepwater Seaport,Medium, m,"['Port Administration Building', 'L.G. Smith Blvd. # 23', 'Oranjestad', 'Aruba']",Port Administration Building,L.G. Smith Blvd. # 23,Aruba,Oranjestad
Coastal Aruba Refining Co NV,+297 589 4500,+297 589 8000,,,www.rocargo.com/SanNicolas.html,12º 25' 59'' N,-69º -55' 0'' W,,Harbor,Medium, m,"['Postbus 2150', 'San Nicolas', 'Aruba']",Postbus 2150,San Nicolas,Aruba,
Ports Corporation of Queensland,,,,info@pcq.com.au,www.pcq.com.au,-19º -55' -20'' S,148º 3' 20'' E,,"Pier, Jetty or Wharf",Very Small, m,"['GPO Box 409', 'Brisbane, Queensland 4001', 'Australia']",GPO Box 409,"Brisbane, Queensland 4001",Australia,
Flinders Ports Pty Ltd,61 8 8447 0611,61 8 8447 0606,800 060 450,flindersports@flindersports.com.au,www.flindersports.com.au,-34º -51' -24'' S,138º 29' 17'' E,,Seaport,Medium, m,"['296 St Vincent Street', 'Port Adelaide, South Australia 5015', 'Australia']",296 St Vincent Street,"Port Adelaide, South Australia 5015",Australia,
,,,,,,-21º -19' -22'' S,115º 10' 2'' E,,,, m,,,,Australia,
Albany Port Authority,61 8 9892 9000,61 8 9841 7566,,apa@albanyport.com.au,www.albanyport.com.au,-35º -2' 0'' S,117º 51' 1'' E,,Deepwater Seaport,Small, m,"['85 Brunswick Road', 'Albany, Western Australia 6330', 'Australia']",85 Brunswick Road,"Albany, Western Australia 6330",Australia,
ABB Grain,08 8837 3306,08 8837 3639,,,abb.com.au,-34º -25' -59'' S,137º 55' 0'' E,,"Pier, Jetty or Wharf",Very Small, m,"['Old Boat Ramp Road', 'Ardossan, South Australia 5571', 'Australia']",Old Boat Ramp Road,"Ardossan, South Australia 5571",Australia,
Ballast Head Port Authority,61 8 8348 1400,61 8 8348 1423,,,,-35º -44' -59'' S,137º 45' 41'' E,,"Pier, Jetty or Wharf",Very Small, m,"['PO Box 58', 'c/o CSR Building Material', 'Rosewater East, SA 5013', 'Australia']",c/o CSR Building Material,"Rosewater East, SA 5013",Australia,
,,,,,,-20º -49' -36'' S,115º 24' 25'' E,,,, m,,,,Australia,
Tasmanian Ports Corporation Pty Ltd,61 3 6382 0111,61 3 6382 1695,,bellbay@tasports.com.au,www.tasports.com.au,-41º -4' -44'' S,146º 48' 57'' E,,Seaport,Small, m,"['Mobil Road, Bell Bay', 'PO Box 257C', 'Launceston, Tasmania 7250', 'Australia']",PO Box 257C,"Launceston, Tasmania 7250",Australia,
,,,,,,-15º -25' -26'' S,136º 13' 11'' E,,,, m,,,,Australia,
Sydney Ports,61 2 9296 4999,61 2 9296 4742,,,www.sydneyports.com.au,-33º -59' -27'' S,151º 14' 21'' E,,Seaport,Medium, m,"['207 Kent Street', 'Sydney, NSW 2000', 'Australia']",207 Kent Street,"Sydney, NSW 2000",Australia,
,,,,,,-27º -27' -59'' S,153º 10' 59'' E,,,, m,,,,Australia,
,61 8 9192 1304,61 8 9192 1778,,info@broomeport.com,www.broomeport.com,-17º -54' -51'' S,122º 14' 0'' E,,"Pier, Jetty or Wharf",Very Small, m,"['401 Port Drive', 'PO Box 46', 'Broome, WA 6725', 'Australia']",PO Box 46,"Broome, WA 6725",Australia,
Bunbury Port Authority,+618 (08) 9721 2800,+618 (08) 9721 8253,,byport@byport.com.au,www.byport.com.au,-33º -19' -12'' S,115º 38' 4'' E,,Seaport,Small, m,"['PO Box 4', 'Bunbury, WA 6231', 'Australia']",PO Box 4,"Bunbury, WA 6231",Australia,
Bundaberg Port Authority,61 7 4159 4233,61 7 4159 4655,,info@bpa.net.au,,-24º -46' -22'' S,152º 23' 19'' E,,Seaport,Small, m,"['45 Wharf Drive', 'Burnett Heads, QLD 4670', 'Australia']",45 Wharf Drive,"Burnett Heads, QLD 4670",Australia,
Port of Brisbane Corporation,61 7 3258 4888,61 7 3258 4703,,info@portbris.com.au,www.portbris.com.au,-41º -3' -54'' S,145º 53' 33'' E,,Seaport,Large, m,"['1 Sandpiper Avenue', 'Locked Bag 1818', 'Port of Brisbane, Queensland 4178', 'Australia']",Locked Bag 1818,"Port of Brisbane, Queensland 4178",Australia,
Cairns Port Authority,+61 7 40523888,+61 7 40521493,,marketing@cairnsport.com.au,www.cairnsport.com.au,-16º -55' -59'' S,145º 46' 59'' E,,Seaport,Small, m,"['Grafton &amp; Hartley Streets', 'PO Box 594', 'Cairns, Queensland 4870', 'Australia']",PO Box 594,"Cairns, Queensland 4870",Australia,
,,,,,,-24º -15' -6'' S,113º 24' 58'' E,,,, m,,,,Australia,
Ports Corporation of Queensland,,,,info@pcq.com.au,www.pcq.com.au,-14º -58' -49'' S,145º 17' 1'' E,,"Pier, Jetty or Wharf",Very Small, m,"['GPO Box 409', 'Brisbane, Queensland 4001', 'Australia']",GPO Box 409,"Brisbane, Queensland 4001",Australia,
,,,,,,-35º -35' -27'' S,138º 8' 18'' E,,,, m,,,,Australia,
,,,,,,-24º -51' -6'' S,113º 38' 38'' E,,,, m,,,,Australia,
,,,,,,-12º -7' 0'' S,125º 1' 0'' E,,,, m,,,,Australia,
,,,,,,-19º -35' 0'' S,116º 26' 59'' E,,,, m,,,,Australia,
Dampier Port Authority,8 9159 6555,8 9159 6557,,info@dpa.wa.gov.au,www.dpa.wa.gov.au,-20º -39' -41'' S,116º 43' 38'' E,,"Pier, Jetty or Wharf",Very Small, m,"['PO Box 285', 'Dampier, Western Australia 6713', 'Australia']",PO Box 285,"Dampier, Western Australia 6713",Australia,
,,,,,,-12º -23' -2'' S,130º 50' 49'' E,,,, m,,,,Australia,
DUMMY ROW for https://www.searates.com//port/darwin_nt_au.htm
Tasmanian Ports Corporation Pty Ltd,61 3 6421 4911,61 3 6421 4988,,secretary@tasports.com.au,www.tasports.com.au,-41º -10' -10'' S,146º 21' 10'' E,,Harbor,Small, m,"['48 Formby Road', 'PO Box 478', 'Devonport, Tasmania 7310', 'Australia']",PO Box 478,"Devonport, Tasmania 7310",Australia,
NSW Maritime Authority,61 2 6496 1719,61 2 6496 3024,,edenpilot@maritime.nsw.gov.au,www.eden.nsw.gov.au,-37º -4' 0'' S,149º 53' 1'' E,,Off-Shore Terminal,Small, m,"['PO Box 137', 'Eden, New South Wales 2551', 'Australia']",PO Box 137,"Eden, New South Wales 2551",Australia,
Esperance Port Authority,(08) 9071 2111,(08) 9071 1312,,esppa@esperanceport.com.au,www.esperanceport.com.au,-33º -52' 0'' S,121º 52' 59'' E,,Seaport,Small, m,"['PO Box 35', 'Esperance, Western Australia 6450', 'Australia']",PO Box 35,"Esperance, Western Australia 6450",Australia,
,,,,,,-22º -19' -59'' S,114º 10' 0'' E,,,, m,,,,Australia,
Fremantle Port Authority,61 (08) 9430 3555,61 (08) 9336 1391,,mail@fremantleports.com.au,www.fremantleports.com.au,-32º -2' -14'' S,115º 45' 7'' E,,Seaport,Medium, m,"['PO Box 95', 'Fremantle, Western Australia 6959', 'Australia']",PO Box 95,"Fremantle, Western Australia 6959",Australia,
GeelongPort,03 52470206,03 52470203,,l.ward@patrick.com.au,www.geelongport.com.au,-38º -8' -60'' S,144º 22' 0'' E,,Seaport,Medium, m,"['Geelong', 'Australia']",,,Australia,Geelong
Central Queensland Ports Authority,+61 7 4976 1333,+61 7 4972 3045,,info@gpa.org.au,www.cqpa.com.au,-23º -50' -32'' S,151º 15' 34'' E,,Seaport,Medium, m,"['19 Yarroon Street (Street)', 'PO Box 259 (Mailing)', 'Gladstone, Queensland 4680', 'Australia']",PO Box 259 (Mailing),"Gladstone, Queensland 4680",Australia,
,,,,,,-12º -13' -7'' S,136º 34' 53'' E,,,, m,,,,Australia,
,,,,,,-21º -12' -59'' S,114º 37' 59'' E,,,, m,,,,Australia,
Geraldton Port Authority,61 8 99 640 520,61 8 99 640 555,,mail@gpa.wa.gov.au,www.gpa.wa.gov.au,-28º -45' 0'' S,114º 38' 37'' E,,Seaport,Small, m,"['298 Marine Terrace', 'Geraldton, WA 6530', 'Australia']",298 Marine Terrace,"Geraldton, WA 6530",Australia,
,,,,,,-38º -17' -60'' S,145º 13' 0'' E,,,, m,,,,Australia,
,,,,,,-21º -17' -59'' S,149º 16' 16'' E,,,, m,,,,Australia,
Tasmanian Ports Corporation Pty Ltd,+61 3 6235 1000,+61 3 6231 0693,,hobart@tasports.com.au,www.tasports.com.au,-42º -52' -59'' S,147º 19' 59'' E,,Harbor,Small, m,"['GPO Box 202', 'Hobart, Tasmania 7001', 'Australia']",GPO Box 202,"Hobart, Tasmania 7001",Australia,
,,,,,,-11º -55' 0'' S,125º 0' 0'' E,,,, m,,,,Australia,
Ports Corporation of Queensland,+ 61 7 3224 7088,+ 61 7 3224 7234,,info@pcq.com.au,www.pcq.com.au,-17º -31' -8'' S,140º 48' 1'' E,,River Port,Small, m,"['GPO Box 409', 'Brisbane, Queensland 4001', 'Australia']",GPO Box 409,"Brisbane, Queensland 4001",Australia,
,,,,,,-35º -39' 0'' S,137º 36' 21'' E,,,, m,,,,Australia,
,,,,,,-42º -57' -59'' S,147º 18' 59'' E,,,, m,,,,Australia,
Flinders Ports Pty Ltd,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au,-34º -56' -38'' S,137º 45' 40'' E,,"Pier, Jetty or Wharf",Very Small, m,"['296 St Vincent Street', 'Port Adelaide, South Australia 5015', 'Australia']",296 St Vincent Street,"Port Adelaide, South Australia 5015",Australia,
,,,,,,-32º -13' -59'' S,115º 46' 0'' E,,,, m,,,,Australia,
,,,,,,-41º -23' -4'' S,147º 6' 15'' E,,,, m,,,,Australia,
,,,,,,-41º -8' -4'' S,146º 54' 7'' E,,,, m,,,,Australia,
Ports Corporation of Queensland,,,,info@pcq.com.au,www.pcq.com.au,-18º -31' -59'' S,146º 19' 59'' E,,"Pier, Jetty or Wharf",Very Small, m,"['GPO Box 409', 'Brisbane, Queensland 4001', 'Australia']",GPO Box 409,"Brisbane, Queensland 4001",Australia,
Mackay Port Authority,61 7 4955 8155,61 7 4955 2868,,mpa@mackayports.com,www.mackayports.com,-21º -4' -59'' S,149º 13' 0'' E,,Harbor,Small, m,"['PO Box 3340', 'North Mackay, Queensland 4740', 'Australia']",PO Box 3340,"North Mackay, Queensland 4740",Australia,
,,,,,,-37º -17' -60'' S,143º 26' 60'' E,,,, m,,,,Australia,
Port of Melbourne Corporation,+61 3 9628 7555,+61 3 9628 7550,,information@portofmelbourne.com,www.portofmelbourne.com,-37º -50' -22'' S,144º 56' 39'' E,,Deepwater Seaport,Very Large, m,"['GPO Box 261', 'Melbourne, Victoria 3001', 'Australia']",GPO Box 261,"Melbourne, Victoria 3001",Australia,
Groote Eylandt Mining Co,61 08 8987 4444,61 08 8987 4499,,info@gemco.com.au,www.gemco.com.au,-13º -53' -55'' S,136º 27' 38'' E,,"Pier, Jetty or Wharf",Small, m,"['Rowell Highway', 'Alyangula, NT 0885', 'Australia']",Rowell Highway,"Alyangula, NT 0885",Australia,
Ports Corporation of Queensland,,,,info@pcq.com.au,www.pcq.com.au,-17º -36' -47'' S,146º 7' 55'' E,,Harbor,Very Small, m,"['GPO Box 409', 'Brisbane, Queensland 4001', 'Australia']",GPO Box 409,"Brisbane, Queensland 4001",Australia,
Newcastle Port Corporation,02 - 4985 8222,,1800 048 205,mail@newportcorp.com,www.newportcorp.com.au,-32º -56' 0'' S,151º 45' 0'' E,,Seaport,Medium, m,"['PO Box 663', 'Newcastle, NSW 2300', 'Australia']",PO Box 663,"Newcastle, NSW 2300",Australia,
,,,,,,-35º -44' -4'' S,137º 56' 40'' E,,,, m,,,,Australia,
,,,,,,-31º -57' -59'' S,115º 48' 59'' E,,,, m,,,,Australia,
Central Queensland Ports Authority,61 7 4934 6931,61 7 4934 6928,,,www.cqpa.com.au,-23º -34' -46'' S,150º 51' 30'' E,,"Pier, Jetty or Wharf",Very Small, m,"['Bajool-Port Alma Rd via BAJOOL', 'Port Alma, Queensland 4699', 'Australia']",Bajool-Port Alma Rd via BAJOOL,"Port Alma, Queensland 4699",Australia,
Santos Ltd,61 8 8116 5000,61 8 8116 5050,,,www.santos.com,-32º -57' -40'' S,137º 44' 40'' E,,"Pier, Jetty or Wharf",Small, m,"['60 Flinders Street', 'Adelaide, South Australia 5000', 'Australia']",60 Flinders Street,"Adelaide, South Australia 5000",Australia,
Flinders Ports Pty Ltd,+61 8 8447 0611,+61 8 8447 0606,,flindersports@flindersports.com.au,www.flindersports.com.au,-35º -1' -43'' S,137º 44' 40'' E,,"Pier, Jetty or Wharf",Very Small, m,"['296 St Vincent Street', 'Port Adelaide, South Australia 5015', 'Australia']",296 St Vincent Street,"Port Adelaide, South Australia 5015",Australia,
Port Hedland Port Authority,61 8 9173 0000,61 8 9173 0060,,phpa@phpa.com.au,www.phpa.com.au,-20º -19' -27'' S,118º 32' 32'' E,,Seaport,Small, m,"['PO Box 2', 'Port Hedland, WA 6721', 'Australia']",PO Box 2,"Port Hedland, WA 6721",Australia,
,,,,,,-43º -10' 0'' S,146º 58' 0'' E,,,, m,,,,Australia,
Port Kembla Port Corporation,61 2 4275 0100,61 2 4274 0643,,enquiries@kemblaport.com.au,www.kemblaport.com.au,-34º -28' -24'' S,150º 53' 50'' E,,Seaport,Medium, m,"['PO Box 89', 'Port Kembla, NSW 2505', 'Australia']",PO Box 89,"Port Kembla, NSW 2505",Australia,
