Leg Schedule Key,Leg Key,Origin Port Scheduled Departure Date,Destination Port Scheduled Arrival Date,Origin Port Actual Departure Date,Destination Port Actual Arrival Date
47,27,2018-06-13,2018-06-13,2018-06-18,2018-06-22
48,28,2018-06-18,2018-06-17,2018-06-23,2018-06-26
49,29,2018-06-23,2018-06-21,2018-06-27,2018-06-29
50,25,2018-07-13,2018-08-04,2018-07-15,2018-08-06
51,26,2018-08-08,2018-08-04,2018-08-08,2018-08-26
52,27,2018-08-20,2018-08-18,2018-08-28,2018-09-01
53,28,2018-08-24,2018-08-24,2018-09-03,2018-09-06
54,29,2018-08-28,2018-08-27,2018-09-08,2018-09-23
55,30,2018-07-20,2018-07-23,2018-07-21,2018-07-24
56,31,2018-07-24,2018-07-23,2018-07-27,2018-08-06
57,32,2018-08-06,2018-08-03,2018-08-08,2018-08-18
58,33,2018-08-17,2018-08-16,2018-08-20,2018-08-24
59,30,2018-07-28,2018-08-02,2018-07-30,2018-08-04
60,31,2018-08-03,2018-08-02,2018-08-05,2018-09-01
61,32,2018-08-19,2018-08-18,2018-09-01,2018-09-16
62,33,2018-09-06,2018-09-03,2018-09-17,2018-09-23
63,34,2018-02-08,2018-04-19,2018-02-12,2018-04-23
64,35,2018-04-20,2018-04-19,2018-04-25,2018-05-06
65,36,2018-05-03,2018-05-01,2018-05-07,2018-05-26
66,37,2018-05-23,2018-05-22,2018-05-28,2018-06-26
67,34,2018-07-14,2018-08-12,2018-07-16,2018-08-14
68,35,2018-08-12,2018-08-12,2018-08-16,2018-08-20
69,36,2018-08-17,2018-08-16,2018-08-21,2018-08-29
70,37,2018-08-30,2018-08-25,2018-08-30,2018-09-11
71,38,2018-07-04,2018-08-08,2018-07-05,2018-08-09
72,39,2018-08-09,2018-08-08,2018-08-11,2018-08-18
73,40,2018-08-19,2018-08-16,2018-08-24,2018-08-25
74,41,2018-08-24,2018-08-20,2018-08-29,2018-08-30
75,42,2018-08-26,2018-08-25,2018-08-30,2018-09-10
76,38,2018-09-01,2018-09-23,2018-09-02,2018-09-24
77,39,2018-09-24,2018-09-23,2018-09-27,2018-10-01
78,40,2018-09-28,2018-09-28,2018-10-01,2018-10-01
79,41,2018-09-29,2018-09-28,2018-10-01,2018-10-02
80,42,2018-10-02,2018-09-30,2018-10-03,2018-10-10
81,45,2018-07-24,2018-08-04,2018-07-29,2018-08-09
82,46,2018-08-06,2018-08-04,2018-08-11,2018-08-12
83,47,2018-08-09,2018-08-07,2018-08-13,2018-08-27
84,48,2018-08-27,2018-08-23,2018-08-28,2018-09-01
85,49,2018-08-31,2018-08-31,2018-09-02,2018-09-11
86,45,2018-08-15,2018-08-25,2018-08-15,2018-08-25
87,46,2018-08-26,2018-08-25,2018-08-25,2018-08-26
88,47,2018-08-31,2018-08-27,2018-08-31,2018-09-14
89,48,2018-09-14,2018-09-14,2018-09-16,2018-09-19
90,49,2018-09-17,2018-09-17,2018-09-22,2018-10-01
91,50,2018-04-19,2018-04-27,2018-04-19,2018-04-27
92,51,2018-04-28,2018-04-27,2018-04-29,2018-05-16
93,52,2018-05-16,2018-05-15,2018-05-19,2018-05-26
94,50,2018-10-01,2018-10-06,2018-10-07,2018-10-21
95,51,2018-10-12,2018-10-06,2018-10-23,2018-11-02
96,52,2018-10-22,2018-10-22,2018-11-03,2018-11-07
97,53,2018-02-18,2018-02-25,2018-02-21,2018-02-28
98,54,2018-02-26,2018-02-25,2018-03-01,2018-03-09
99,55,2018-03-06,2018-03-06,2018-03-09,2018-03-16
100,56,2018-03-17,2018-03-13,2018-03-20,2018-03-25
101,53,2018-04-01,2018-04-10,2018-04-01,2018-04-10
102,54,2018-04-12,2018-04-10,2018-04-13,2018-04-23
103,55,2018-04-24,2018-04-22,2018-04-24,2018-05-02
104,56,2018-05-02,2018-05-02,2018-05-02,2018-05-08
105,57,2018-06-20,2018-06-23,2018-06-22,2018-06-25
106,58,2018-06-23,2018-06-23,2018-06-26,2018-07-03
107,59,2018-07-01,2018-06-30,2018-07-04,2018-07-11
108,60,2018-07-09,2018-07-08,2018-07-11,2018-07-26
109,61,2018-07-26,2018-07-24,2018-07-26,2018-08-20
110,57,2018-06-26,2018-07-03,2018-06-27,2018-07-04
111,58,2018-07-05,2018-07-03,2018-07-14,2018-07-30
112,59,2018-07-22,2018-07-21,2018-08-01,2018-08-27
113,60,2018-08-10,2018-08-08,2018-08-28,2018-10-01
114,61,2018-09-17,2018-09-13,2018-10-02,2018-11-28
115,62,2018-06-29,2018-07-11,2018-06-30,2018-07-12
116,63,2018-07-11,2018-07-11,2018-07-14,2018-07-26
117,64,2018-07-24,2018-07-23,2018-07-27,2018-07-30
118,65,2018-07-29,2018-07-27,2018-07-30,2018-08-19
119,66,2018-08-21,2018-08-18,2018-08-19,2018-08-21
120,62,2018-03-18,2018-03-28,2018-03-20,2018-03-30
121,63,2018-03-31,2018-03-28,2018-03-30,2018-04-09
122,64,2018-04-11,2018-04-10,2018-04-10,2018-04-12
123,65,2018-04-14,2018-04-13,2018-04-13,2018-04-29
124,66,2018-05-01,2018-04-30,2018-05-02,2018-05-04
125,67,2018-07-11,2018-08-04,2018-07-11,2018-08-04
126,68,2018-08-05,2018-08-04,2018-08-04,2018-08-06
127,69,2018-08-07,2018-08-07,2018-08-12,2018-08-18
128,70,2018-08-15,2018-08-13,2018-08-18,2018-08-26
129,67,2018-05-28,2018-06-16,2018-05-29,2018-06-17
130,68,2018-06-18,2018-06-16,2018-06-21,2018-06-22
131,69,2018-06-20,2018-06-19,2018-06-23,2018-06-28
132,70,2018-06-26,2018-06-25,2018-06-28,2018-07-04
133,71,2018-05-25,2018-06-28,2018-05-28,2018-07-01
134,72,2018-06-29,2018-06-28,2018-07-04,2018-08-01
135,73,2018-07-29,2018-07-27,2018-08-03,2018-09-18
136,71,2018-03-29,2018-04-21,2018-03-30,2018-04-22
137,72,2018-04-23,2018-04-21,2018-04-22,2018-05-11
138,73,2018-05-14,2018-05-12,2018-05-15,2018-06-14
139,74,2018-02-10,2018-03-07,2018-02-11,2018-03-08
140,75,2018-03-09,2018-03-07,2018-03-11,2018-03-12
141,76,2018-03-11,2018-03-10,2018-03-14,2018-04-01
142,77,2018-03-30,2018-03-29,2018-04-02,2018-04-09
143,78,2018-04-07,2018-04-06,2018-04-12,2018-04-18
144,74,2018-07-13,2018-08-15,2018-07-17,2018-08-19
145,75,2018-08-19,2018-08-15,2018-08-22,2018-08-23
146,76,2018-08-22,2018-08-20,2018-08-26,2018-09-19
147,77,2018-09-16,2018-09-15,2018-09-22,2018-10-01
148,78,2018-09-27,2018-09-25,2018-10-01,2018-10-09
149,79,2018-06-16,2018-06-29,2018-06-17,2018-06-30
150,80,2018-06-30,2018-06-29,2018-06-30,2018-07-05
151,81,2018-07-06,2018-07-05,2018-07-12,2018-07-13
152,82,2018-07-11,2018-07-07,2018-07-14,2018-08-02
153,83,2018-07-20,2018-07-18,2018-08-04,2018-08-10
154,79,2018-05-18,2018-06-04,2018-05-19,2018-06-05
155,80,2018-06-04,2018-06-04,2018-06-05,2018-06-12
156,81,2018-06-12,2018-06-11,2018-06-14,2018-06-15
157,82,2018-06-16,2018-06-13,2018-06-15,2018-06-23
158,83,2018-06-25,2018-06-24,2018-06-28,2018-07-05
159,84,2018-02-19,2018-02-27,2018-02-20,2018-03-05
160,85,2018-02-28,2018-02-27,2018-03-06,2018-03-10
161,86,2018-03-04,2018-03-04,2018-03-11,2018-03-28
162,87,2018-03-07,2018-03-06,2018-03-31,2018-04-10
163,88,2018-03-16,2018-03-14,2018-04-13,2018-04-17
164,84,2018-05-23,2018-06-01,2018-05-23,2018-06-06
165,85,2018-06-03,2018-06-01,2018-06-06,2018-06-10
166,86,2018-06-08,2018-06-07,2018-06-12,2018-06-30
167,87,2018-06-10,2018-06-10,2018-07-01,2018-07-09
168,88,2018-06-20,2018-06-18,2018-07-14,2018-07-18
169,89,2018-04-04,2018-04-23,2018-04-06,2018-04-25
170,90,2018-04-26,2018-04-23,2018-04-26,2018-05-09
171,91,2018-05-02,2018-04-29,2018-05-10,2018-06-03
172,92,2018-05-26,2018-05-26,2018-06-05,2018-06-24
173,93,2018-06-15,2018-06-14,2018-06-26,2018-07-23
174,89,2018-03-15,2018-03-29,2018-03-21,2018-04-04
175,90,2018-03-31,2018-03-29,2018-04-06,2018-04-16
176,91,2018-04-02,2018-04-02,2018-04-17,2018-05-05
177,92,2018-04-20,2018-04-20,2018-05-06,2018-05-20
178,93,2018-05-04,2018-05-04,2018-05-20,2018-06-03
179,94,2018-04-27,2018-04-28,2018-04-30,2018-05-01
180,95,2018-04-30,2018-04-28,2018-05-01,2018-05-09
181,96,2018-05-11,2018-05-08,2018-05-09,2018-05-21
182,97,2018-05-26,2018-05-23,2018-05-25,2018-06-10
183,98,2018-05-29,2018-05-27,2018-06-12,2018-06-12
184,94,2018-06-10,2018-06-11,2018-06-11,2018-06-12
185,95,2018-06-11,2018-06-11,2018-06-13,2018-06-24
186,96,2018-06-23,2018-06-22,2018-07-01,2018-07-18
187,97,2018-07-11,2018-07-10,2018-07-18,2018-07-19
188,98,2018-07-14,2018-07-12,2018-07-22,2018-07-23
189,101,2018-05-01,2018-06-05,2018-05-07,2018-06-11
190,102,2018-06-07,2018-06-05,2018-06-11,2018-07-14
191,101,2018-03-13,2018-03-31,2018-03-14,2018-04-01
192,102,2018-04-02,2018-03-31,2018-04-08,2018-04-25
193,105,2018-07-30,2018-08-05,2018-08-03,2018-08-09
194,106,2018-08-07,2018-08-05,2018-08-11,2018-08-22
195,107,2018-08-18,2018-08-18,2018-08-22,2018-08-26
196,108,2018-08-23,2018-08-22,2018-08-29,2018-09-07
197,105,2018-09-27,2018-10-02,2018-09-29,2018-10-04
198,106,2018-10-02,2018-10-02,2018-10-05,2018-10-13
199,107,2018-10-10,2018-10-10,2018-10-17,2018-10-20
200,108,2018-10-16,2018-10-13,2018-10-22,2018-11-09
201,111,2018-07-05,2018-07-21,2018-07-05,2018-07-21
202,112,2018-07-23,2018-07-21,2018-07-22,2018-08-14
203,113,2018-08-16,2018-08-15,2018-08-15,2018-08-29
204,114,2018-08-31,2018-08-30,2018-08-30,2018-09-07
205,115,2018-09-11,2018-09-08,2018-09-07,2018-10-14
206,111,2018-02-06,2018-02-18,2018-02-06,2018-02-18
207,112,2018-02-20,2018-02-18,2018-02-19,2018-03-09
208,113,2018-03-13,2018-03-10,2018-03-13,2018-03-24
209,114,2018-03-26,2018-03-24,2018-03-26,2018-04-01
210,115,2018-04-04,2018-04-01,2018-04-01,2018-04-30
211,116,2018-08-30,2018-09-21,2018-09-02,2018-09-24
212,117,2018-09-24,2018-09-21,2018-09-27,2018-10-08
213,116,2018-04-06,2018-04-25,2018-04-07,2018-04-26
214,117,2018-04-28,2018-04-25,2018-04-28,2018-05-07
215,118,2018-08-29,2018-09-21,2018-08-30,2018-09-22
216,119,2018-09-21,2018-09-21,2018-09-28,2018-10-23
217,120,2018-10-17,2018-10-16,2018-10-24,2018-11-02
218,121,2018-10-27,2018-10-26,2018-11-05,2018-11-20
219,122,2018-11-13,2018-11-11,2018-11-20,2019-01-06
220,118,2018-03-29,2018-04-06,2018-03-29,2018-04-06
221,119,2018-04-07,2018-04-06,2018-04-07,2018-04-16
222,120,2018-04-17,2018-04-16,2018-04-18,2018-04-21
223,121,2018-04-21,2018-04-20,2018-04-22,2018-04-27
224,122,2018-04-27,2018-04-26,2018-04-29,2018-05-16
225,123,2018-08-06,2018-08-14,2018-08-08,2018-08-16
226,124,2018-08-15,2018-08-14,2018-08-18,2018-09-03
227,123,2018-09-19,2018-09-23,2018-09-22,2018-09-26
228,124,2018-09-24,2018-09-23,2018-10-01,2018-10-09
229,125,2018-05-19,2018-05-19,2018-05-21,2018-05-21
230,126,2018-05-22,2018-05-19,2018-05-22,2018-05-30
231,127,2018-05-31,2018-05-30,2018-06-01,2018-06-04
232,128,2018-06-03,2018-06-03,2018-06-05,2018-06-13
233,129,2018-06-13,2018-06-11,2018-06-13,2018-06-20
234,125,2018-09-17,2018-09-17,2018-09-21,2018-09-21
235,126,2018-09-19,2018-09-17,2018-09-23,2018-09-30
236,127,2018-09-27,2018-09-26,2018-10-01,2018-10-04
237,128,2018-09-30,2018-09-30,2018-10-06,2018-10-13
238,129,2018-10-07,2018-10-07,2018-10-18,2018-10-24
239,130,2018-06-03,2018-06-17,2018-06-05,2018-06-19
240,131,2018-06-19,2018-06-17,2018-06-23,2018-07-14
241,132,2018-07-11,2018-07-10,2018-07-15,2018-07-27
242,130,2018-07-05,2018-07-28,2018-07-06,2018-07-29
243,131,2018-07-30,2018-07-28,2018-07-29,2018-09-02
244,132,2018-09-03,2018-09-03,2018-09-05,2018-09-25
245,133,2018-06-01,2018-06-23,2018-06-02,2018-06-24
246,134,2018-06-25,2018-06-23,2018-06-24,2018-07-07
247,135,2018-07-10,2018-07-08,2018-07-12,2018-07-15
248,136,2018-07-15,2018-07-13,2018-07-19,2018-07-25
249,133,2018-01-14,2018-01-28,2018-01-16,2018-01-30
250,134,2018-01-30,2018-01-28,2018-02-02,2018-02-10
251,135,2018-02-10,2018-02-07,2018-02-11,2018-02-13
252,136,2018-02-14,2018-02-12,2018-02-13,2018-02-17
253,137,2018-01-11,2018-01-22,2018-01-16,2018-01-27
254,138,2018-01-23,2018-01-22,2018-01-27,2018-02-15
255,139,2018-02-13,2018-02-11,2018-02-16,2018-02-23
256,140,2018-02-21,2018-02-20,2018-02-25,2018-03-01
257,137,2018-04-11,2018-04-23,2018-04-11,2018-04-23
258,138,2018-04-25,2018-04-23,2018-04-24,2018-05-25
259,139,2018-05-18,2018-05-16,2018-05-29,2018-06-06
260,140,2018-05-26,2018-05-26,2018-06-08,2018-06-12
261,141,2018-05-21,2018-06-27,2018-05-24,2018-06-30
262,142,2018-06-30,2018-06-27,2018-07-02,2018-07-27
263,143,2018-07-26,2018-07-25,2018-07-29,2018-08-02
264,141,2018-09-22,2018-10-10,2018-09-22,2018-10-10
265,142,2018-10-12,2018-10-10,2018-10-12,2018-10-24
266,143,2018-10-27,2018-10-24,2018-10-25,2018-10-27
267,144,2018-09-05,2018-09-23,2018-09-07,2018-09-25
268,145,2018-09-25,2018-09-23,2018-09-27,2018-10-03
269,146,2018-10-02,2018-10-01,2018-10-04,2018-11-03
270,144,2018-06-08,2018-06-25,2018-06-11,2018-06-28
271,145,2018-06-25,2018-06-25,2018-07-01,2018-07-07
272,146,2018-07-04,2018-07-01,2018-07-07,2018-08-03
273,147,2018-08-01,2018-08-03,2018-08-04,2018-08-06
274,148,2018-08-03,2018-08-03,2018-08-09,2018-08-15
275,149,2018-08-11,2018-08-09,2018-08-17,2018-09-07
276,147,2018-07-02,2018-07-06,2018-07-06,2018-07-10
277,148,2018-07-07,2018-07-06,2018-07-11,2018-07-21
278,149,2018-07-19,2018-07-17,2018-07-22,2018-08-22
279,150,2018-05-14,2018-05-24,2018-05-24,2018-06-03
280,151,2018-05-24,2018-05-24,2018-06-05,2018-06-28
281,152,2018-06-18,2018-06-16,2018-06-29,2018-07-09
282,153,2018-07-01,2018-06-28,2018-07-14,2018-07-18
283,154,2018-07-05,2018-07-05,2018-07-18,2018-07-27
284,150,2018-01-07,2018-01-14,2018-01-13,2018-01-20
285,151,2018-01-16,2018-01-14,2018-01-21,2018-02-06
286,152,2018-02-01,2018-02-01,2018-02-06,2018-02-13
287,153,2018-02-10,2018-02-08,2018-02-13,2018-02-16
288,154,2018-02-13,2018-02-13,2018-02-19,2018-02-26
289,155,2018-03-29,2018-04-04,2018-03-29,2018-04-04
290,156,2018-04-06,2018-04-04,2018-04-05,2018-04-20
291,157,2018-04-22,2018-04-21,2018-04-21,2018-04-27
292,158,2018-05-01,2018-04-28,2018-04-30,2018-05-06
293,159,2018-05-07,2018-05-07,2018-05-08,2018-05-09
294,155,2018-02-26,2018-03-03,2018-02-28,2018-03-05
295,156,2018-03-04,2018-03-03,2018-03-06,2018-03-19
296,157,2018-03-20,2018-03-17,2018-03-21,2018-03-26
297,158,2018-03-26,2018-03-25,2018-03-28,2018-04-02
298,159,2018-04-03,2018-03-31,2018-04-04,2018-04-05
299,160,2018-06-07,2018-06-27,2018-06-09,2018-06-29
300,161,2018-06-28,2018-06-27,2018-07-01,2018-07-30
301,162,2018-07-27,2018-07-27,2018-08-02,2018-08-09
302,163,2018-08-03,2018-08-03,2018-08-12,2018-08-14
303,164,2018-08-07,2018-08-05,2018-08-14,2018-08-17
304,160,2018-06-25,2018-07-10,2018-06-25,2018-07-10
305,161,2018-07-11,2018-07-10,2018-07-11,2018-08-01
306,162,2018-08-01,2018-08-01,2018-08-02,2018-08-07
307,163,2018-08-07,2018-08-06,2018-08-07,2018-08-08
308,164,2018-08-10,2018-08-08,2018-08-08,2018-08-10
309,165,2018-06-19,2018-07-02,2018-06-21,2018-07-04
310,166,2018-07-06,2018-07-02,2018-07-04,2018-07-17
311,165,2018-03-08,2018-03-18,2018-03-11,2018-03-21
312,166,2018-03-18,2018-03-18,2018-03-22,2018-04-01
313,167,2018-07-09,2018-07-12,2018-07-09,2018-07-12
314,168,2018-07-14,2018-07-12,2018-07-13,2018-07-20
315,169,2018-07-21,2018-07-21,2018-07-21,2018-08-20
316,167,2018-07-11,2018-07-20,2018-07-12,2018-07-21
317,168,2018-07-22,2018-07-20,2018-07-24,2018-08-09
318,169,2018-08-10,2018-08-07,2018-08-11,2018-09-28
319,170,2018-08-22,2018-09-01,2018-08-22,2018-09-01
320,171,2018-09-03,2018-09-01,2018-09-05,2018-09-24
321,172,2018-09-16,2018-09-16,2018-09-25,2018-10-16
322,173,2018-10-10,2018-10-07,2018-10-18,2018-11-11
323,174,2018-10-27,2018-10-27,2018-11-13,2018-12-13
324,170,2018-01-27,2018-02-05,2018-01-29,2018-02-07
325,171,2018-02-06,2018-02-05,2018-02-11,2018-02-23
326,172,2018-02-20,2018-02-18,2018-02-24,2018-03-15
327,173,2018-03-16,2018-03-11,2018-03-21,2018-04-06
328,174,2018-04-03,2018-04-01,2018-04-07,2018-05-04
329,175,2018-03-07,2018-03-22,2018-03-07,2018-03-22
330,176,2018-03-24,2018-03-22,2018-03-28,2018-03-28
331,177,2018-03-25,2018-03-24,2018-03-30,2018-04-10
332,175,2018-04-13,2018-05-17,2018-04-13,2018-05-17
333,176,2018-05-18,2018-05-17,2018-05-18,2018-05-18
334,177,2018-05-20,2018-05-18,2018-05-20,2018-06-15
335,180,2018-09-24,2018-10-11,2018-09-27,2018-10-14
336,181,2018-10-12,2018-10-11,2018-10-17,2018-11-01
337,182,2018-10-31,2018-10-27,2018-11-02,2018-11-12
338,183,2018-11-10,2018-11-10,2018-11-12,2018-11-14
339,184,2018-11-14,2018-11-12,2018-11-17,2018-12-03
340,180,2018-09-22,2018-10-22,2018-09-22,2018-10-22
341,181,2018-10-23,2018-10-22,2018-11-03,2018-12-08
342,182,2018-11-20,2018-11-19,2018-12-12,2018-12-31
343,183,2018-12-10,2018-12-09,2019-01-01,2019-01-05
344,184,2018-12-16,2018-12-14,2019-01-06,2019-02-03
345,187,2018-06-23,2018-06-24,2018-06-24,2018-06-25
346,188,2018-06-26,2018-06-24,2018-06-25,2018-07-17
347,189,2018-07-19,2018-07-18,2018-07-19,2018-07-27
348,190,2018-07-30,2018-07-27,2018-07-28,2018-07-28
349,191,2018-07-31,2018-07-30,2018-07-30,2018-07-31
350,187,2018-08-09,2018-08-11,2018-08-09,2018-08-11
351,188,2018-08-14,2018-08-11,2018-08-18,2018-09-16
352,189,2018-09-13,2018-09-12,2018-09-17,2018-10-05
353,190,2018-09-24,2018-09-23,2018-10-06,2018-10-06
354,191,2018-09-25,2018-09-24,2018-10-06,2018-10-08
355,192,2018-08-19,2018-08-20,2018-08-21,2018-08-22
356,193,2018-08-22,2018-08-20,2018-08-24,2018-09-07
357,194,2018-09-06,2018-09-05,2018-09-09,2018-09-15
358,192,2018-01-12,2018-01-13,2018-01-15,2018-01-16
359,193,2018-01-15,2018-01-13,2018-01-16,2018-01-28
360,194,2018-01-30,2018-01-27,2018-01-28,2018-02-02
361,195,2018-05-08,2018-05-17,2018-05-10,2018-05-19
362,196,2018-05-18,2018-05-17,2018-05-19,2018-06-01
363,197,2018-06-02,2018-05-31,2018-06-05,2018-07-02
364,198,2018-06-29,2018-06-29,2018-07-03,2018-07-16
365,195,2018-07-11,2018-07-14,2018-07-12,2018-07-15
366,196,2018-07-17,2018-07-14,2018-07-17,2018-07-22
367,197,2018-07-26,2018-07-22,2018-07-25,2018-08-04
368,198,2018-08-05,2018-08-05,2018-08-05,2018-08-10
369,201,2018-08-13,2018-08-27,2018-08-14,2018-08-28
370,202,2018-08-29,2018-08-27,2018-08-29,2018-09-20
371,203,2018-09-22,2018-09-20,2018-09-23,2018-10-03
372,201,2018-07-05,2018-07-13,2018-07-05,2018-07-13
373,202,2018-07-14,2018-07-13,2018-07-14,2018-07-27
374,203,2018-07-27,2018-07-27,2018-07-28,2018-08-13
375,204,2018-06-25,2018-07-10,2018-06-27,2018-07-25
376,205,2018-07-12,2018-07-10,2018-07-25,2018-08-01
377,206,2018-07-22,2018-07-19,2018-08-05,2018-08-20
378,207,2018-08-09,2018-08-06,2018-08-22,2018-10-02
379,208,2018-09-19,2018-09-19,2018-10-04,2018-11-05
380,204,2018-06-27,2018-07-05,2018-06-27,2018-07-05
381,205,2018-07-06,2018-07-05,2018-07-08,2018-07-11
382,206,2018-07-10,2018-07-09,2018-07-12,2018-07-19
383,207,2018-07-17,2018-07-17,2018-07-22,2018-08-12
384,208,2018-08-07,2018-08-07,2018-08-15,2018-08-31
385,209,2018-04-09,2018-04-18,2018-04-12,2018-04-21
386,204,2018-04-21,2018-04-18,2018-04-21,2018-04-28
387,210,2018-04-30,2018-04-28,2018-04-30,2018-05-05
388,211,2018-05-07,2018-05-05,2018-05-10,2018-05-23
389,209,2018-08-09,2018-08-22,2018-08-09,2018-08-22
390,204,2018-08-23,2018-08-22,2018-08-24,2018-09-02
391,210,2018-09-01,2018-09-01,2018-09-05,2018-09-13
392,211,2018-09-11,2018-09-09,2018-09-13,2018-10-01
393,212,2018-06-12,2018-06-12,2018-06-13,2018-06-13
394,213,2018-06-13,2018-06-12,2018-06-16,2018-07-06
395,212,2018-01-16,2018-01-16,2018-01-19,2018-01-19
396,213,2018-01-18,2018-01-16,2018-01-19,2018-02-03
397,214,2018-03-31,2018-04-19,2018-04-01,2018-04-20
398,215,2018-04-19,2018-04-19,2018-04-25,2018-04-27
399,216,2018-04-21,2018-04-21,2018-04-29,2018-05-16
400,217,2018-05-09,2018-05-08,2018-05-17,2018-05-25
401,218,2018-05-18,2018-05-17,2018-05-28,2018-05-31
402,214,2018-05-04,2018-05-25,2018-05-05,2018-05-26
403,215,2018-05-25,2018-05-25,2018-05-26,2018-05-28
404,216,2018-05-27,2018-05-27,2018-05-29,2018-06-17
405,217,2018-06-18,2018-06-15,2018-06-19,2018-06-28
406,218,2018-07-01,2018-06-27,2018-07-01,2018-07-05
407,219,2018-08-07,2018-08-19,2018-08-11,2018-08-23
408,220,2018-08-20,2018-08-19,2018-08-24,2018-08-26
409,219,2018-03-02,2018-04-02,2018-03-04,2018-04-04
410,220,2018-04-02,2018-04-02,2018-04-06,2018-04-11
411,221,2018-09-12,2018-10-09,2018-09-14,2018-10-11
412,222,2018-10-09,2018-10-09,2018-10-13,2018-10-30
413,223,2018-10-27,2018-10-26,2018-11-02,2018-11-05
414,224,2018-10-30,2018-10-30,2018-11-07,2018-11-22
415,164,2018-11-16,2018-11-14,2018-11-22,2018-11-24
416,221,2018-07-30,2018-09-12,2018-08-01,2018-09-14
417,222,2018-09-15,2018-09-12,2018-09-15,2018-10-13
418,223,2018-10-13,2018-10-13,2018-10-13,2018-10-18
419,224,2018-10-19,2018-10-18,2018-10-20,2018-11-14
420,164,2018-11-16,2018-11-13,2018-11-15,2018-11-19
421,225,2018-04-12,2018-05-30,2018-04-15,2018-06-02
422,226,2018-06-02,2018-05-30,2018-06-02,2018-06-25
423,227,2018-06-26,2018-06-25,2018-06-26,2018-07-09
424,228,2018-07-10,2018-07-09,2018-07-14,2018-08-07
425,225,2018-01-25,2018-02-14,2018-01-29,2018-02-18
426,226,2018-02-17,2018-02-14,2018-02-20,2018-03-02
427,227,2018-03-01,2018-02-27,2018-03-04,2018-03-09
428,228,2018-03-08,2018-03-06,2018-03-11,2018-03-21
429,229,2018-03-24,2018-04-18,2018-03-24,2018-04-18
430,230,2018-04-19,2018-04-18,2018-04-20,2018-04-30
431,231,2018-05-02,2018-04-29,2018-04-30,2018-05-10
432,232,2018-05-08,2018-05-06,2018-05-12,2018-06-04
