Shipment Key,Voyage Schedule Key,Vehicle Key,Bill-of-Lading Key,Shipment Fees
136,66,68,5927,1239168.0
137,67,10,5879,604260.0
138,68,601,5034,1519100.0
139,68,601,6865,1519100.0
140,69,763,608,603142.0
141,70,620,6015,1183230.0
142,70,620,3456,1183230.0
143,71,994,3363,838320.0
144,71,994,3595,838320.0
145,72,262,2770,1347200.0
146,72,262,523,1347200.0
147,72,262,9239,1347200.0
148,73,848,2343,617168.0
149,73,848,4803,617168.0
150,74,824,3259,830212.0
151,74,824,241,830212.0
152,74,824,5783,830212.0
153,75,1001,3631,1065792.0
154,75,1001,3790,1065792.0
155,76,471,6176,1336368.0
156,76,471,8190,1336368.0
157,76,471,5098,1336368.0
158,77,732,9798,844844.0
159,78,1052,6553,488520.0
160,79,351,5297,1341040.0
161,80,662,360,1689658.0
162,80,662,6551,1689658.0
163,81,495,4718,2812576.0
164,81,495,4319,2812576.0
165,82,332,5494,2369152.0
166,82,332,1612,2369152.0
167,82,332,9493,2369152.0
168,83,918,1677,457184.0
169,84,602,3262,1470240.0
170,84,602,5781,1470240.0
171,85,200,8436,1821000.0
172,85,200,937,1821000.0
173,86,143,2203,2174768.0
174,86,143,9781,2174768.0
175,86,143,3376,2174768.0
176,87,929,3338,691584.0
177,87,929,661,691584.0
178,88,1044,7192,1016532.0
179,88,1044,9422,1016532.0
180,88,1044,3933,1016532.0
181,89,1042,3857,437724.0
182,90,878,2741,410076.0
183,90,878,8311,410076.0
184,91,514,4203,1466920.0
185,91,514,8832,1466920.0
186,92,1165,774,435666.0
187,92,1165,4488,435666.0
188,93,960,1418,845572.0
189,94,843,8147,918858.0
190,94,843,3623,918858.0
191,95,838,494,2176362.0
192,95,838,7005,2176362.0
193,96,671,5167,1838320.0
194,96,671,6470,1838320.0
195,96,671,9728,1838320.0
196,97,765,4426,744396.0
197,97,765,7936,744396.0
198,98,1118,9576,747936.0
199,98,1118,1085,747936.0
200,99,376,9291,642240.0
201,100,782,5022,378090.0
202,101,1116,9426,735392.0
203,101,1116,585,735392.0
204,102,110,4632,1151920.0
205,102,110,1836,1151920.0
206,102,110,1416,1151920.0
207,103,431,6405,504420.0
208,104,2,5426,1174464.0
209,105,783,739,1320192.0
210,105,783,6424,1320192.0
211,106,869,8527,2537428.0
212,106,869,5961,2537428.0
213,106,869,6076,2537428.0
214,107,596,1281,2543184.0
215,107,596,9718,2543184.0
216,108,198,9073,1085130.0
217,108,198,5250,1085130.0
218,109,140,878,1697960.0
219,109,140,4180,1697960.0
220,110,1195,800,1024492.0
221,110,1195,3119,1024492.0
222,111,682,7129,2452968.0
223,111,682,2656,2452968.0
224,112,1102,2960,731768.0
225,112,1102,3075,731768.0
226,112,1102,9510,731768.0
227,113,535,8099,1214488.0
228,113,535,5337,1214488.0
229,114,371,6151,1185810.0
230,114,371,5626,1185810.0
231,115,278,8599,2705352.0
232,115,278,1897,2705352.0
233,116,346,6242,1515240.0
234,116,346,673,1515240.0
235,116,346,4461,1515240.0
236,117,331,9186,2106780.0
237,117,331,1843,2106780.0
238,118,361,3770,2417400.0
239,118,361,4924,2417400.0
240,118,361,894,2417400.0
241,119,52,4029,1145340.0
242,119,52,3680,1145340.0
243,120,554,217,1838452.0
244,120,554,3299,1838452.0
245,121,240,3309,1049598.0
246,122,27,7954,708120.0
247,123,98,3653,1296060.0
248,123,98,3881,1296060.0
249,124,904,4634,331520.0
250,124,904,2740,331520.0
251,125,975,6361,1181348.0
252,125,975,5039,1181348.0
253,126,947,3633,1103142.0
254,126,947,3147,1103142.0
255,126,947,4650,1103142.0
256,127,504,9006,2936748.0
257,128,829,8840,1233336.0
258,128,829,3803,1233336.0
259,129,58,3695,1899066.0
260,129,58,758,1899066.0
261,130,850,3620,1036600.0
262,130,850,3350,1036600.0
263,131,942,4756,625464.0
264,131,942,6574,625464.0
265,132,780,5904,1076760.0
266,132,780,7164,1076760.0
267,132,780,3306,1076760.0
268,133,394,5467,3096750.0
269,133,394,2458,3096750.0
270,134,123,9519,1278708.0
271,134,123,9162,1278708.0
272,134,123,2720,1278708.0
273,135,1022,2780,649636.0
274,135,1022,575,649636.0
275,136,246,1293,1813296.0
276,136,246,873,1813296.0
277,137,183,5256,702060.0
278,137,183,7133,702060.0
279,138,46,3894,771962.0
280,138,46,2212,771962.0
281,139,561,7113,1666000.0
282,139,561,5212,1666000.0
283,140,162,4646,658548.0
284,140,162,8730,658548.0
285,140,162,4282,658548.0
286,141,524,8345,1971048.0
287,141,524,4551,1971048.0
288,142,1093,7444,1067220.0
289,142,1093,7051,1067220.0
290,142,1093,3908,1067220.0
291,143,291,5347,1361724.0
292,144,268,6715,997808.0
293,145,503,9944,1112324.0
294,145,503,8492,1112324.0
295,146,106,688,1888128.0
296,146,106,4272,1888128.0
297,147,1128,8001,1723104.0
298,147,1128,8286,1723104.0
299,148,949,9752,838728.0
300,148,949,2721,838728.0
301,148,949,5422,838728.0
302,149,710,722,2410712.0
303,149,710,8866,2410712.0
304,150,1115,8571,1699060.0
305,150,1115,6588,1699060.0
306,151,390,7353,1124574.0
307,152,520,4161,1147904.0
308,153,222,7255,697476.0
309,154,57,8031,671336.0
310,154,57,8018,671336.0
311,155,1082,347,891520.0
312,156,513,7330,946260.0
313,156,513,826,946260.0
