Shipment Key,Voyage Schedule Key,Vehicle Key,Bill-of-Lading Key,Shipment Fees
145,78,,6537,
146,79,,7388,
147,80,,1325,
148,81,,7114,
149,81,,8225,
150,82,,3727,
151,82,,3649,
152,82,,2279,
153,83,,2076,
154,84,,690,
155,84,,5021,
156,85,,9780,
157,86,,7489,
158,87,,1903,
159,87,,8850,
160,88,,4682,
161,88,,7928,
162,89,,8645,
163,90,,2284,
164,90,,7224,
165,91,,9462,
166,91,,7348,
167,92,,2893,
168,92,,7359,
169,92,,8864,
170,93,,4705,
171,94,,2878,
172,94,,1065,
173,95,,5962,
174,96,,797,
175,96,,8242,
176,97,,4582,
177,98,,6203,
178,99,,4855,
179,99,,4603,
180,100,,3247,
181,100,,5467,
182,101,,8141,
183,102,,4676,
184,103,,9764,
185,103,,7108,
186,104,,7645,
187,104,,8511,
188,105,,8771,
189,105,,4608,
190,106,,1162,
191,106,,696,
192,107,,5489,
193,107,,2485,
194,108,,200,
195,108,,6709,
196,108,,6133,
197,109,,1516,
198,110,,7306,
199,111,,197,
200,111,,4332,
201,112,,5444,
202,112,,9392,
203,113,,3240,
204,114,,3552,
205,114,,5468,
206,115,,5600,
207,116,,3001,
208,116,,3059,
209,117,,9255,
210,117,,2262,
211,118,,6232,
212,118,,1360,
213,118,,2964,
214,119,,3866,
215,119,,4398,
216,120,,3801,
217,120,,5934,
218,120,,9168,
219,121,,8948,
220,122,,1947,
221,123,,2591,
222,123,,6775,
223,124,,8894,
224,124,,1251,
225,124,,17,
226,125,,8713,
227,126,,3161,
228,126,,8414,
229,127,,8688,
230,127,,3979,
231,128,,6082,
232,128,,8337,
233,129,,6517,
234,130,,4525,
235,130,,419,
236,131,,4268,
237,131,,5210,
238,132,,1748,
239,132,,7597,
240,132,,3277,
241,133,,3017,
242,133,,207,
243,134,,3540,
244,134,,7136,
245,135,,8012,
246,136,,60,
247,136,,7299,
248,137,,7526,
249,137,,2584,
250,138,,1826,
251,138,,968,
252,139,,2331,
253,139,,5912,
254,140,,8891,
255,140,,8430,
256,141,,2966,
257,141,,2535,
258,142,,6256,
259,142,,7519,
260,142,,1641,
261,143,,1223,
262,143,,2169,
263,144,,7125,
264,144,,3555,
265,145,,781,
266,146,,7013,
267,147,,4121,
268,148,,8917,
269,149,,8201,
270,150,,930,
271,151,,5373,
272,152,,1416,
273,152,,1834,
274,153,,9882,
275,154,,2024,
276,154,,9522,
277,155,,5654,
278,156,,5191,
279,157,,7975,
280,157,,6607,
281,158,,1094,
282,158,,9879,
283,159,,5374,
284,160,,7801,
285,160,,1085,
286,161,,8658,
287,162,,3411,
288,163,,5208,
289,164,,2834,
290,164,,3580,
291,165,,5978,
292,165,,3831,
293,165,,6263,
294,166,,7932,
295,166,,4441,
296,166,,4789,
297,167,,1889,
298,168,,2938,
299,169,,625,
300,169,,7243,
301,170,,1963,
302,170,,4612,
303,170,,407,
304,171,,9792,
305,171,,779,
306,172,,3297,
307,172,,3929,
308,173,,8472,
309,173,,1989,
310,174,,4405,
311,174,,2185,
312,174,,1232,
313,175,,7295,
314,175,,376,
315,176,,1901,
316,176,,3880,
317,177,,5033,
318,178,,842,
319,178,,6633,
320,179,,5989,
321,180,,7920,
322,181,,7175,
323,182,,5648,
324,183,,7085,
325,183,,5783,
326,184,,451,
327,184,,2664,
328,185,,8427,
329,185,,4976,
330,186,,3506,
331,186,,7478,
332,186,,5823,
333,187,,5849,
334,187,,2153,
335,188,,8724,
336,188,,9369,
337,189,,5664,
338,190,,3996,
339,191,,8726,
340,192,,1076,
341,193,,4217,
342,193,,521,
343,194,,8425,
344,194,,5947,
345,195,,3879,
346,196,,6307,
347,197,,8583,
348,198,,4627,
349,199,,8951,
350,199,,9520,
351,200,,9863,
352,200,,9696,
353,200,,3075,
354,201,,9589,
355,202,,9966,
356,202,,954,
357,203,,487,
358,204,,9804,
359,204,,3146,
360,205,,9701,
361,205,,3036,
362,206,,6638,
363,206,,2351,
364,206,,5279,
365,207,,7420,
366,208,,5814,
367,208,,1410,
368,209,,2612,
369,209,,6859,
370,210,,2504,
371,210,,3747,
372,211,,5380,
373,211,,9972,
374,212,,7842,
375,212,,3897,
376,212,,5965,
377,213,,8628,
378,214,,5523,
379,215,,1389,
380,215,,1791,
381,216,,9069,
382,216,,7598,
383,216,,9660,
384,217,,2083,
385,218,,2460,
386,218,,1218,
387,219,,9102,
388,219,,450,
389,220,,2415,
390,220,,4934,
391,220,,2199,
392,221,,6239,
393,222,,4634,
394,223,,3986,
395,223,,9914,
396,224,,1749,
397,224,,5534,
398,225,,2809,
399,226,,3110,
400,226,,1056,
401,227,,7446,
402,227,,1561,
403,228,,3795,
404,228,,2197,
405,229,,527,
406,230,,8601,
407,230,,1575,
408,231,,9342,
409,232,,3756,
410,232,,6444,
411,233,,5816,
412,234,,6663,
413,234,,1330,
414,235,,6875,
415,235,,1909,
416,236,,9667,
417,236,,8046,
418,236,,6458,
419,237,,6794,
420,238,,2488,
421,238,,5277,
422,239,,8673,
423,239,,8189,
424,240,,9459,
425,240,,4879,
426,241,,7034,
427,241,,3538,
428,242,,8773,
429,242,,3232,
430,243,,5723,
431,243,,7635,
432,244,,9516,
433,244,,8117,
434,244,,5213,
435,245,,5643,
436,245,,2924,
437,246,,7084,
438,246,,885,
439,247,,8899,
440,247,,7156,
441,248,,6084,
442,248,,4685,
443,249,,4233,
444,250,,3688,
445,251,,904,
446,251,,7452,
447,252,,3413,
448,252,,9887,
449,252,,5893,
450,253,,5543,
451,253,,1078,
452,254,,9756,
453,254,,2807,
454,255,,5319,
455,256,,5824,
456,256,,888,
457,257,,4856,
458,258,,296,
459,259,,5827,
460,260,,70,
461,260,,1656,
462,261,,1562,
463,261,,1692,
464,262,,9486,
465,262,,4421,
466,262,,3853,
467,263,,3072,
468,264,,6844,
469,265,,6056,
470,266,,2230,
471,266,,9693,
472,267,,5224,
473,267,,9437,
474,268,,3602,
475,268,,659,
476,269,,4484,
477,270,,8223,
478,270,,7919,
479,271,,8462,
480,272,,458,
481,272,,935,
482,273,,8888,
483,274,,7410,
484,275,,5396,
485,275,,9866,
486,276,,6781,
487,276,,2072,
488,277,,7479,
489,277,,7590,
490,278,,4364,
491,278,,8363,
492,279,,9542,
493,280,,1888,
494,280,,7143,
495,281,,8148,
496,282,,7276,
497,283,,3127,
498,284,,921,
499,285,,9303,
500,286,,1250,
501,286,,4184,
502,287,,8106,
503,288,,1246,
504,289,,3769,
505,289,,8812,
506,290,,1295,
507,290,,3942,
508,290,,4605,
509,291,,7612,
510,291,,7988,
511,292,,6733,
512,292,,2108,
513,293,,7651,
514,294,,3500,
515,295,,2830,
516,296,,8219,
517,296,,4802,
518,297,,791,
519,297,,1894,
520,298,,8954,
521,298,,5308,
522,299,,6042,
523,299,,1039,
524,300,,6829,
525,300,,9950,
526,300,,1324,
527,301,,4335,
528,301,,1418,
529,302,,4467,
530,302,,1549,
531,303,,5897,
532,304,,9105,
533,304,,9689,
534,305,,5623,
535,306,,5973,
536,306,,7892,
537,307,,6140,
538,308,,6884,
539,309,,7516,
540,309,,1640,
541,310,,7289,
542,310,,5158,
543,311,,1449,
544,312,,3920,
545,313,,4830,
546,314,,7219,
547,314,,3139,
548,315,,7290,
549,316,,6714,
550,316,,259,
551,317,,6792,
552,317,,6333,
553,318,,5181,
554,318,,3267,
555,318,,4621,
556,319,,8231,
557,319,,6482,
558,320,,9670,
559,320,,6003,
560,321,,8275,
561,321,,2925,
562,322,,4766,
563,322,,6213,
564,323,,7070,
565,323,,1799,
566,324,,5701,
567,324,,3556,
568,324,,2205,
569,325,,2370,
570,326,,1795,
571,327,,6399,
572,328,,2796,
573,328,,3157,
574,329,,9209,
575,330,,7583,
576,331,,6247,
577,331,,9210,
578,332,,4910,
579,332,,5937,
580,333,,7869,
581,334,,82,
582,335,,9186,
583,335,,168,
584,336,,8407,
585,336,,759,
586,336,,4371,
587,337,,681,
588,337,,3221,
589,338,,9104,
590,338,,4762,
591,339,,8970,
592,340,,9658,
593,340,,7765,
594,341,,3764,
595,341,,9605,
596,342,,4008,
597,342,,2493,
598,343,,6776,
599,343,,7673,
600,344,,2229,
601,344,,9852,
602,344,,7297,
603,345,,3699,
604,345,,7373,
605,346,,4784,
606,346,,9429,
607,346,,3981,
608,347,,8011,
609,348,,3896,
610,348,,3191,
611,349,,7555,
612,349,,9079,
613,350,,4500,
614,350,,8320,
615,351,,9374,
616,352,,557,
617,353,,2531,
618,353,,1678,
619,354,,1369,
620,354,,3617,
621,354,,7218,
622,355,,8495,
623,356,,5549,
624,357,,2182,
625,357,,3373,
626,358,,80,
627,358,,2873,
628,359,,8439,
629,359,,7983,
630,360,,6564,
631,360,,5101,
632,361,,3656,
633,361,,5326,
634,362,,4955,
635,362,,3604,
636,362,,4384,
637,363,,7968,
638,364,,7495,
639,365,,6659,
640,365,,2723,
641,366,,4674,
642,366,,8690,
643,366,,1558,
644,367,,4975,
645,368,,2011,
646,368,,9850,
647,369,,8744,
648,369,,9012,
649,370,,2325,
650,370,,9494,
651,370,,6115,
652,371,,6046,
653,372,,1846,
654,372,,3341,
655,373,,3024,
656,373,,7753,
657,374,,5445,
658,374,,3631,
659,374,,6929,
660,375,,8701,
661,375,,3141,
662,376,,2406,
663,376,,3224,
664,377,,5976,
665,377,,4749,
666,378,,3145,
667,378,,1995,
668,378,,7859,
669,379,,1980,
670,379,,3423,
671,380,,4559,
672,380,,9222,
673,381,,4978,
674,382,,3881,
675,382,,7761,
676,383,,4731,
677,383,,2876,
678,384,,3724,
679,384,,8585,
680,384,,7690,
681,385,,6488,
682,385,,6894,
683,386,,2360,
684,386,,756,
685,386,,5714,
686,387,,9948,
687,388,,5661,
688,388,,5991,
689,389,,7856,
690,390,,6480,
691,391,,6093,
692,391,,6974,
693,392,,1042,
694,392,,2619,
695,393,,1312,
696,393,,2019,
697,394,,7328,
698,394,,6144,
699,394,,6761,
700,395,,439,
701,395,,3162,
702,396,,8203,
703,396,,2941,
704,396,,7593,
705,397,,4611,
706,398,,5527,
707,399,,7132,
708,399,,1230,
709,400,,7497,
710,400,,5336,
711,400,,1570,
712,401,,148,
713,401,,4294,
714,402,,2564,
715,402,,1929,
716,402,,8386,
717,403,,4622,
718,404,,5054,
719,404,,7464,
720,405,,5848,
721,405,,8221,
722,406,,2972,
723,406,,8424,
724,406,,9488,
725,407,,1693,
726,407,,5740,
727,408,,5894,
728,408,,4630,
729,409,,8040,
730,410,,7051,
731,410,,9742,
732,411,,1072,
733,411,,1721,
734,412,,7881,
735,412,,7339,
736,412,,4670,
737,413,,2519,
738,414,,8193,
739,414,,8154,
740,415,,3478,
741,415,,8284,
742,416,,7245,
743,416,,4545,
744,416,,1840,
745,417,,5911,
746,418,,2644,
747,418,,3906,
748,419,,5872,
749,420,,1998,
750,421,,8390,
751,421,,9377,
752,422,,7367,
753,422,,549,
754,422,,2960,
755,423,,3351,
756,423,,3195,
757,424,,1928,
758,424,,5143,
759,424,,9934,
760,425,,7742,
761,425,,6722,
762,426,,4488,
763,426,,5036,
764,426,,6125,
765,427,,5077,
766,428,,4190,
767,428,,4896,
768,429,,1405,
769,429,,7184,
770,430,,4442,
771,430,,9004,
772,430,,3567,
773,431,,9918,
774,431,,7182,
775,432,,9173,
776,432,,7587,
777,432,,5009,
778,433,,5476,
779,434,,9249,
780,434,,3566,
781,435,,2020,
782,435,,9353,
783,436,,4815,
784,436,,5103,
785,436,,6201,
786,437,,8933,
787,437,,9050,
788,438,,8964,
789,438,,2788,
790,438,,626,
791,439,,6106,
792,440,,5695,
793,441,,8546,
794,441,,8123,
795,441,,7159,
796,442,,7785,
797,442,,4300,
798,442,,4924,
799,443,,5169,
800,444,,3,
801,444,,6121,
802,445,,2946,
803,446,,9990,
804,447,,1451,
805,447,,772,
806,448,,4618,
807,448,,1557,
808,448,,4656,
809,449,,6982,
810,449,,4296,
811,450,,8516,
812,450,,4498,
813,451,,3026,
814,452,,6793,
815,453,,8209,
816,453,,5020,
817,454,,6770,
818,454,,2849,
819,454,,8421,
820,455,,7887,
821,456,,505,
822,457,,3503,
823,458,,8735,
824,459,,3450,
825,459,,9543,
826,460,,799,
827,460,,7521,
828,461,,2645,
829,461,,1163,
830,462,,4359,
831,462,,3374,
832,463,,9047,
833,463,,9578,
834,464,,9648,
835,464,,4089,
836,465,,8195,
837,466,,1836,
838,467,,309,
839,467,,3269,
840,468,,65,
841,468,,5792,
842,469,,5599,
843,469,,267,
844,470,,3086,
845,470,,5237,
846,470,,7860,
847,471,,9929,
848,472,,5728,
849,473,,4615,
850,474,,6971,
851,475,,4895,
852,475,,2939,
853,476,,375,
854,476,,3755,
855,477,,9529,
856,477,,9343,
857,478,,6342,
858,478,,1847,
859,479,,5677,
860,479,,1423,
861,480,,7831,
862,480,,2738,
863,481,,7454,
864,481,,7176,
865,482,,3289,
866,482,,8481,
867,483,,2194,
868,483,,5012,
869,484,,701,
870,484,,835,
871,485,,8137,
872,486,,9857,
873,486,,3704,
874,487,,1931,
875,487,,3970,
876,488,,3748,
877,488,,6441,
878,489,,3772,
879,489,,2930,
880,490,,8906,
881,490,,8051,
882,490,,1398,
883,491,,6693,
884,491,,1893,
885,492,,4565,
886,492,,9985,
887,493,,1472,
888,493,,1240,
889,494,,4711,
890,494,,4396,
891,495,,4854,
892,495,,1774,
893,496,,4921,
894,496,,6858,
895,497,,7671,
896,498,,8826,
897,499,,3791,
898,500,,9153,
899,501,,4015,
900,501,,5391,
901,502,,9454,
902,502,,139,
903,502,,4073,
904,503,,2647,
905,503,,1540,
906,504,,2308,
907,504,,8002,
908,504,,6913,
909,505,,3078,
910,505,,7403,
911,506,,8592,
912,506,,2842,
913,507,,5721,
914,507,,4309,
915,507,,782,
916,508,,2085,
917,508,,5371,
918,508,,2721,
919,509,,8112,
920,509,,9577,
921,510,,2094,
922,510,,6706,
923,511,,337,
924,511,,4688,
925,512,,3562,
926,512,,1969,
927,512,,240,
928,513,,140,
929,513,,9254,
930,514,,8405,
931,514,,1902,
932,515,,4020,
933,515,,1174,
934,516,,1512,
935,516,,6028,
936,516,,601,
937,517,,4945,
938,518,,4152,
939,518,,1479,
940,519,,3931,
941,520,,1457,
942,520,,8654,
943,521,,6830,
944,521,,4548,
945,522,,1420,
946,522,,1336,
947,522,,8257,
948,523,,4852,
949,523,,7874,
950,524,,2916,
951,524,,9617,
952,525,,8204,
953,525,,8567,
954,526,,7619,
955,526,,846,
956,527,,2206,
957,528,,6194,
958,528,,8399,
959,529,,4024,
960,529,,6986,
961,530,,7633,
962,530,,8622,
963,531,,196,
964,531,,5774,
965,532,,7970,
966,532,,8828,
967,532,,5261,
968,533,,7082,
969,533,,6993,
970,534,,6985,
971,534,,5967,
972,534,,8932,
973,535,,595,
974,535,,3276,
975,536,,8529,
976,536,,4103,
977,537,,3082,
978,537,,9747,
979,538,,8083,
980,538,,1500,
981,538,,9430,
982,539,,8928,
983,539,,8149,
984,540,,6255,
985,540,,2579,
986,540,,3597,
987,541,,7792,
988,541,,3561,
989,542,,1871,
990,542,,3469,
991,542,,2129,
992,543,,5045,
993,543,,9003,
994,544,,3967,
995,544,,4919,
996,544,,5287,
997,545,,3236,
998,545,,7985,
999,545,,7003,
1000,546,,526,
1001,546,,9896,
1002,546,,8104,
1003,547,,874,
1004,547,,8544,
1005,548,,3582,
1006,548,,1456,
1007,549,,6719,
1008,549,,2551,
1009,550,,752,
1010,550,,9906,
1011,550,,2940,
1012,551,,6501,
1013,552,,4308,
1014,553,,2004,
1015,553,,6888,
1016,554,,8579,
1017,554,,7239,
1018,554,,2253,
1019,555,,44,
1020,555,,7993,
1021,556,,956,
1022,556,,8265,
1023,556,,1214,
1024,557,,7052,
1025,557,,3048,
1026,558,,3462,
1027,558,,5337,
1028,558,,4915,
1029,559,,8659,
1030,560,,3695,
1031,561,,2502,
1032,562,,7760,
1033,562,,2200,
1034,563,,964,
1035,564,,2955,
1036,564,,7588,
1037,565,,6163,
1038,565,,3509,
1039,566,,8243,
1040,566,,62,
1041,566,,4562,
1042,567,,5722,
1043,567,,6610,
1044,568,,1646,
1045,568,,3516,
1046,569,,2616,
1047,569,,71,
1048,570,,1141,
1049,570,,1433,
1050,570,,4473,
1051,571,,9627,
1052,571,,853,
1053,572,,8513,
1054,572,,7179,
1055,572,,3841,
1056,573,,8374,
1057,573,,5273,
1058,574,,5533,
1059,574,,8018,
1060,574,,4890,
1061,575,,51,
1062,575,,2817,
1063,576,,1478,
1064,576,,1491,
1065,576,,1414,
1066,577,,795,
1067,577,,9776,
1068,578,,4668,
1069,578,,6219,
1070,579,,1294,
1071,579,,39,
1072,580,,5484,
1073,580,,1015,
1074,580,,5295,
1075,581,,4486,
1076,581,,7992,
1077,582,,5035,
1078,582,,6216,
1079,582,,8443,
1080,583,,9411,
1081,583,,6668,
1082,584,,3443,
1083,584,,1268,
1084,585,,8791,
1085,585,,7309,
1086,586,,8786,
1087,586,,1136,
1088,587,,7058,
1089,587,,5075,
1090,587,,9874,
1091,588,,5051,
1092,588,,9367,
1093,588,,203,
1094,589,,3099,
1095,589,,7157,
1096,590,,8855,
1097,590,,5553,
1098,591,,6490,
1099,592,,6450,
1100,593,,8694,
1101,593,,318,
1102,594,,6851,
1103,594,,2456,
1104,594,,1622,
1105,595,,6552,
1106,595,,8531,
1107,596,,9389,
1108,596,,1787,
1109,596,,9653,
1110,597,,3352,
1111,598,,5189,
1112,598,,8079,
1113,599,,1682,
1114,599,,4206,
1115,600,,5878,
1116,600,,555,
1117,601,,3369,
1118,601,,8639,
1119,602,,4597,
1120,602,,3498,
1121,602,,3978,
1122,603,,1055,
1123,604,,4162,
1124,605,,1382,
1125,605,,1993,
1126,606,,4782,
1127,606,,265,
1128,606,,3334,
1129,607,,1895,
1130,608,,3108,
1131,608,,3367,
1132,609,,2743,
1133,610,,9339,
1134,610,,2610,
1135,611,,4937,
1136,612,,2754,
1137,612,,9908,
1138,613,,4022,
1139,613,,277,
1140,614,,6681,
1141,614,,321,
1142,615,,8110,
1143,615,,350,
1144,616,,4514,
1145,616,,2066,
1146,616,,6801,
1147,617,,3485,
1148,617,,7657,
1149,618,,9216,
1150,618,,1502,
1151,618,,4744,
1152,619,,2430,
1153,620,,9130,
1154,620,,2393,
1155,621,,7255,
1156,621,,6602,
1157,621,,8723,
1158,622,,7741,
1159,622,,6505,
1160,622,,9960,
1161,623,,5679,
1162,623,,3079,
1163,624,,92,
1164,624,,3343,
1165,624,,6753,
1166,625,,8605,
1167,625,,2120,
1168,626,,443,
1169,626,,8372,
1170,626,,9794,
1171,627,,692,
1172,627,,1662,
1173,628,,3912,
1174,628,,7095,
1175,628,,8350,
1176,629,,1463,
1177,630,,1004,
1178,630,,9541,
1179,631,,6177,
1180,631,,6947,
1181,632,,4589,
1182,632,,3574,
1183,632,,6341,
1184,633,,6648,
1185,633,,2150,
1186,634,,8095,
1187,634,,4119,
1188,634,,1593,
1189,635,,4637,
1190,635,,7278,
1191,636,,1432,
1192,636,,1937,
1193,637,,1034,
1194,638,,8931,
1195,638,,4821,
1196,639,,4282,
1197,639,,2673,
1198,640,,651,
1199,640,,7365,
1200,640,,8236,
1201,641,,5206,
1202,641,,4566,
1203,642,,7253,
1204,642,,4145,
1205,642,,6347,
1206,643,,6833,
1207,643,,8563,
1208,644,,6594,
1209,644,,4641,
1210,645,,825,
1211,646,,1492,
1212,646,,8808,
1213,647,,8979,
1214,648,,6039,
1215,648,,409,
1216,649,,9521,
1217,649,,8071,
1218,650,,2802,
1219,650,,6976,
1220,651,,1698,
1221,651,,7822,
1222,652,,9365,
1223,652,,6526,
1224,653,,9333,
1225,654,,8839,
1226,654,,4285,
1227,655,,1736,
1228,655,,1007,
1229,656,,5404,
1230,656,,3507,
1231,656,,8294,
1232,657,,2969,
1233,657,,9420,
1234,658,,4758,
1235,658,,694,
1236,658,,8602,
1237,659,,9958,
1238,659,,9998,
1239,660,,118,
1240,660,,9805,
1241,661,,4984,
1242,662,,5514,
1243,663,,6492,
1244,663,,1699,
1245,664,,6092,
1246,664,,3069,
1247,665,,4717,
1248,665,,5350,
1249,666,,8126,
1250,666,,2561,
1251,666,,4813,
1252,667,,2577,
1253,667,,512,
1254,668,,9136,
1255,668,,2728,
1256,669,,492,
1257,669,,2813,
1258,670,,9391,
1259,670,,2852,
1260,671,,1303,
1261,671,,5923,
1262,672,,9676,
1263,672,,9128,
1264,672,,2445,
1265,673,,6803,
1266,673,,4362,
1267,674,,2534,
1268,674,,4235,
1269,674,,2476,
1270,675,,8459,
1271,675,,3151,
1272,676,,7002,
1273,676,,5031,
1274,676,,957,
1275,677,,16,
1276,677,,7533,
1277,678,,7357,
1278,678,,3707,
1279,679,,991,
1280,679,,7189,
1281,680,,1559,
1282,680,,637,
1283,680,,9820,
1284,681,,8840,
1285,682,,778,
1286,683,,3746,
1287,683,,4957,
1288,684,,8415,
1289,684,,5870,
1290,684,,3350,
1291,685,,2814,
1292,685,,9378,
1293,686,,8358,
1294,686,,4775,
1295,686,,495,
1296,687,,7624,
1297,688,,4301,
1298,688,,1265,
1299,689,,9368,
1300,689,,178,
1301,690,,5869,
1302,690,,3449,
1303,691,,3018,
1304,692,,6994,
1305,692,,381,
1306,693,,8437,
1307,693,,4025,
1308,694,,6103,
1309,694,,2874,
1310,694,,8412,
1311,695,,5808,
1312,695,,9809,
1313,696,,9182,
1314,696,,9317,
1315,697,,8856,
1316,697,,4480,
1317,698,,3914,
1318,698,,3250,
1319,698,,1525,
1320,699,,7682,
1321,700,,322,
1322,700,,1012,
1323,701,,4021,
1324,701,,7233,
1325,702,,5673,
1326,702,,7378,
1327,702,,5603,
1328,703,,1767,
1329,703,,3007,
1330,703,,4049,
1331,704,,4925,
1332,704,,7185,
1333,704,,8600,
1334,705,,6568,
1335,705,,634,
1336,706,,9427,
1337,706,,9241,
1338,706,,8304,
1339,707,,7637,
1340,707,,7030,
1341,708,,3420,
1342,708,,7594,
1343,708,,4560,
1344,709,,632,
1345,709,,5055,
1346,710,,2760,
1347,710,,7439,
1348,710,,4687,
1349,711,,4219,
1350,711,,8036,
1351,712,,9988,
1352,712,,4243,
1353,713,,4307,
1354,713,,8816,
1355,713,,6679,
1356,714,,5251,
1357,714,,3671,
1358,714,,760,
1359,715,,1404,
1360,715,,8739,
1361,716,,1919,
1362,716,,5422,
1363,717,,9844,
1364,718,,4675,
1365,718,,3993,
1366,719,,8657,
1367,720,,6597,
1368,720,,4076,
1369,721,,1564,
1370,721,,5697,
1371,722,,2675,
1372,722,,6906,
1373,722,,905,
1374,723,,314,
1375,723,,5382,
1376,724,,7256,
1377,724,,2871,
1378,724,,8165,
1379,725,,6413,
1380,726,,150,
1381,726,,4848,
1382,727,,1462,
1383,728,,5294,
1384,729,,5819,
1385,729,,6566,
1386,730,,7025,
1387,730,,6259,
1388,730,,9970,
1389,731,,2733,
1390,731,,3380,
1391,732,,3877,
1392,732,,9217,
1393,733,,6145,
1394,733,,41,
1395,734,,3451,
1396,734,,3945,
1397,734,,9717,
1398,735,,7965,
1399,735,,2806,
1400,736,,2026,
1401,736,,7069,
1402,736,,5768,
1403,737,,816,
1404,737,,7784,
1405,738,,1122,
1406,738,,9928,
1407,738,,4631,
1408,739,,8977,
1409,739,,2762,
1410,740,,5890,
1411,740,,2729,
1412,741,,2681,
1413,741,,7963,
1414,742,,405,
1415,742,,2078,
1416,742,,2764,
1417,743,,963,
1418,743,,3863,
1419,744,,4679,
1420,744,,8803,
1421,744,,1498,
1422,745,,9230,
1423,745,,276,
1424,746,,9308,
1425,746,,2232,
1426,747,,4765,
1427,747,,7688,
1428,748,,2537,
1429,748,,3394,
1430,748,,6604,
1431,749,,6914,
1432,750,,18,
1433,750,,2116,
1434,751,,3174,
1435,751,,7458,
1436,752,,7431,
1437,752,,181,
1438,753,,4175,
1439,753,,8890,
1440,754,,1459,
1441,754,,4739,
1442,754,,151,
1443,755,,7879,
1444,755,,7606,
1445,756,,9568,
1446,756,,2250,
1447,756,,4594,
1448,757,,1228,
1449,757,,8765,
1450,758,,4538,
1451,758,,3548,
1452,758,,7428,
