Bill-of-Lading Key,Bill-of-Lading Number,Issued Date,Consignor Key,Consignee Key,Foreign Transporter Key,Foreign Consolidator Key,Courier Key,Domestic Transporter Key,Domestic Consolidator Key,Ship Mode,Place of Receipt Key,Place of Delivery Key,Port of Loading Key,Port of Discharge Key,Commodity Key,Container Key,Incoterm,Expected Tariffs,Actual Tariffs
23,,,3986,57,3265,4761,3351,4695,4797,,8256,57,1165,233,,,,,
24,,,1752,2218,4996,3090,3297,3428,4966,,1752,2218,1413,3826,,,,,
25,,,363,3235,4877,3717,3509,3677,4311,,363,7505,2653,233,,,,,
26,,,2360,1886,4509,4917,3552,4835,4535,,2360,1886,2042,1954,,,,,
27,,,2648,741,4701,3693,3693,4308,3349,,2648,741,2744,3833,,,,,
28,,,2363,1433,4305,4629,3801,3617,3263,,2363,1433,892,1481,,,,,
29,,,1539,948,3878,3679,4025,4425,4250,,1539,948,1692,670,,,,,
30,,,2363,2218,3640,3095,3415,3572,4940,,2363,2218,1413,1482,,,,,
31,,,4634,1429,3165,3888,4388,3133,4921,,8904,1429,192,1953,,,,,
32,,,731,1208,4317,4761,3506,3111,3667,,731,1208,1164,1952,,,,,
33,,,2363,1657,3145,3197,3533,3230,4179,,2363,1657,2256,1481,,,,,
34,,,3958,2218,3189,4248,3799,3625,4525,,8228,2218,1413,671,,,,,
35,,,1516,762,4022,3643,3484,4942,3850,,1516,762,4250,671,,,,,
36,,,146,4292,3027,3452,4417,4660,3675,,146,8562,802,671,,,,,
37,,,559,4970,4623,3910,3661,4702,3773,,559,9240,2744,1952,,,,,
38,,,2363,1265,4370,3443,3845,4261,3781,,2363,1265,4216,1482,,,,,
39,,,2436,215,3818,3393,4913,4159,4536,,2436,215,2235,3821,,,,,
40,,,4530,1497,4233,4986,3503,4149,3913,,8800,1497,1015,672,,,,,
41,,,1219,2955,3921,3983,3921,4635,3295,,1219,2955,1685,3825,,,,,
42,,,2363,948,3509,3209,3951,3133,4774,,2363,948,1692,1482,,,,,
43,,,4097,1348,4170,3242,4832,4888,3446,,8367,1348,3356,3824,,,,,
44,,,2156,3241,3444,4491,3297,4832,3349,,2156,7511,859,3825,,,,,
45,,,4243,4960,3500,4960,3912,3111,4535,,8513,9230,35,1952,,,,,
46,,,2491,22,4738,3759,3759,3618,3227,,2491,22,2369,2199,,,,,
47,,,2076,3814,3814,3386,4304,4902,4586,,2076,8084,2494,233,,,,,
48,,,3543,692,4384,4384,4384,4279,4368,,7813,692,2249,672,,,,,
49,,,942,928,3514,3514,3095,3418,3437,,942,928,999,3826,,,,,
50,,,2786,238,4328,4654,3035,3437,4424,,2786,238,3057,3831,,,,,
51,,,1524,117,3004,3126,4712,4408,4368,,1524,117,1795,673,,,,,
52,,,1371,17,3983,3983,3743,3446,3437,,1371,17,1685,3829,,,,,
53,,,3877,2448,4597,3955,3428,3111,3773,,8147,2448,3155,1952,,,,,
54,,,2363,3522,4418,4680,3172,4425,3267,,2363,7792,831,1482,,,,,
55,,,3703,3089,4986,4583,3729,3846,3396,,7973,7359,1015,669,,,,,
56,,,386,1711,4452,4595,4717,3428,3751,,386,1711,285,3824,,,,,
57,,,1307,4467,4467,4467,3738,4597,4763,,1307,8737,3100,671,,,,,
58,,,2477,2448,4085,3955,3713,4735,4735,,2477,2448,3156,669,,,,,
59,,,1223,2218,3084,4245,3469,3377,3164,,1223,2218,1413,672,,,,,
60,,,1042,2448,4456,3955,4289,4666,4232,,1042,2448,3155,1952,,,,,
61,,,4499,2614,4037,3314,3895,3501,3996,,8769,2614,2368,233,,,,,
62,,,1349,2925,3528,3545,4634,4388,3414,,1349,2925,3,1952,,,,,
63,,,3543,534,3089,4986,3503,4002,4425,,7813,534,1014,671,,,,,
64,,,2363,2621,3577,4583,3503,4192,3846,,2363,2621,1014,1481,,,,,
65,,,2149,115,4185,4938,3349,3437,4821,,2149,115,1857,3825,,,,,
66,,,4580,3330,3451,3122,3742,3001,3751,,8850,7600,63,3828,,,,,
67,,,616,2914,4793,3679,4288,4388,4232,,616,2914,4250,1951,,,,,
68,,,1813,3457,3177,4673,4040,3566,3352,,1813,7727,2744,673,,,,,
69,,,76,310,4399,4318,3766,3418,4287,,76,310,1261,3830,,,,,
70,,,2363,1442,4962,3182,3392,4426,3865,,2363,1442,2044,1482,,,,,
71,,,3644,2459,4514,4988,4536,4580,4424,,7914,2459,1164,3830,,,,,
72,,,3856,3241,3444,4491,4717,4455,3437,,8126,7511,859,3828,,,,,
73,,,2363,1468,3802,3330,4732,3808,4647,,2363,1468,63,1481,,,,,
74,,,825,769,4744,4642,4416,3052,3846,,825,769,2598,671,,,,,
75,,,3606,1055,4477,3821,4057,3774,4574,,7876,1055,1297,670,,,,,
76,,,2156,2876,3342,4376,4426,4287,4287,,2156,2876,2494,3824,,,,,
77,,,1445,918,3376,4778,4843,3878,4052,,1445,918,1327,671,,,,,
78,,,1146,355,3075,3075,3297,4308,3742,,1146,355,2796,3828,,,,,
79,,,2277,2915,3089,4986,3729,4159,3856,,2277,2915,1014,3828,,,,,
80,,,386,2221,4067,3359,4426,4635,3446,,386,2221,2494,3824,,,,,
81,,,761,2884,4226,4727,3464,3998,4923,,761,2884,2637,233,,,,,
82,,,1371,1408,3345,4062,3054,4717,3349,,1371,1408,3356,3830,,,,,
83,,,851,1490,4553,4616,4553,3642,3906,,851,1490,2840,669,,,,,
84,,,2866,948,3645,4444,3573,3446,4287,,2866,948,1692,3822,,,,,
85,,,4536,1066,3407,4386,3054,4308,3751,,8806,1066,3051,3826,,,,,
86,,,1842,3729,4233,4583,3503,3744,3611,,1842,7999,1015,672,,,,,
87,,,1709,3147,3621,4505,3349,4832,3297,,1709,7417,3085,3834,,,,,
88,,,2363,986,3011,3442,4364,3591,3459,,2363,986,1390,1481,,,,,
89,,,4310,1408,4170,4170,4957,4309,4281,,8580,1408,3354,233,,,,,
90,,,1462,2529,4025,4020,4025,4971,4090,,1462,2529,278,233,,,,,
91,,,2363,355,3075,3075,3075,4861,3731,,2363,355,2796,1482,,,,,
92,,,1284,4551,3357,4599,4116,3537,4760,,1284,8821,2745,671,,,,,
93,,,2261,3671,3621,4845,3147,3970,3111,,2261,7941,3086,1952,,,,,
94,,,76,653,3347,3983,4832,3418,3437,,76,653,1685,3829,,,,,
95,,,1032,2448,3822,3955,4708,4314,3375,,1032,2448,3155,2199,,,,,
96,,,1770,238,3745,4153,4952,3709,3517,,1770,238,3058,671,,,,,
97,,,2426,1643,4113,4216,3573,3437,3751,,2426,1643,2858,3832,,,,,
98,,,3792,4861,3788,3459,4363,4611,3043,,8062,9131,2743,671,,,,,
99,,,2429,810,3874,4166,4483,4149,4441,,2429,810,2744,672,,,,,
100,,,577,1481,3345,3157,3526,4538,4232,,577,1481,3356,1952,,,,,
101,,,859,4950,3173,3776,4900,4888,4580,,859,9220,2744,3828,,,,,
102,,,1283,889,4970,3826,4156,4580,4821,,1283,889,2744,3824,,,,,
103,,,2852,992,3908,3459,4424,4888,4287,,2852,992,2745,3825,,,,,
104,,,2097,3900,3276,4300,3295,4424,3418,,2097,8170,1599,3829,,,,,
105,,,2301,4214,4214,3391,4597,3065,4120,,2301,8484,524,672,,,,,
106,,,2819,1429,4176,4938,4776,3437,4424,,2819,1429,191,3825,,,,,
107,,,2363,265,4480,3255,4301,4580,3311,,2363,265,2073,1482,,,,,
108,,,1832,2256,3587,3183,4601,3645,3228,,1832,2256,392,669,,,,,
109,,,3828,1857,5000,5000,4933,4717,4821,,8098,1857,1415,3835,,,,,
110,,,2363,580,3122,3072,4547,4006,3086,,2363,580,63,1482,,,,,
111,,,3479,464,3528,3545,4136,3640,4486,,7749,464,4,673,,,,,
112,,,923,1729,3018,4618,3604,4323,3517,,923,1729,1386,672,,,,,
113,,,3771,991,3274,3759,4048,4691,4684,,8041,991,2369,672,,,,,
114,,,2786,2448,4287,3955,4536,4580,3054,,2786,2448,3155,3822,,,,,
115,,,675,3226,4524,3284,4976,3581,4746,,675,7496,2948,233,,,,,
116,,,424,2122,3745,4318,4431,4828,4740,,424,2122,1261,672,,,,,
117,,,3454,562,3089,4583,4976,4192,4632,,7724,562,1014,233,,,,,
118,,,2363,2448,4640,3955,4572,4195,4456,,2363,2448,3156,1481,,,,,
119,,,233,1987,3488,4482,3618,4480,3419,,233,1987,2369,2200,,,,,
120,,,2363,2265,3244,3432,3472,4416,3910,,2363,2265,127,1482,,,,,
121,,,1042,1685,3503,4583,3414,4702,3111,,1042,1685,1015,1953,,,,,
122,,,2363,1511,4482,3274,4840,4717,4540,,2363,1511,2368,1481,,,,,
123,,,4536,2621,3729,4986,3503,3001,3054,,8806,2621,1014,3827,,,,,
124,,,4902,1037,3002,4208,4028,3509,4586,,9172,1037,3051,233,,,,,
125,,,2156,1109,3814,4770,3054,3001,3054,,2156,1109,199,3828,,,,,
126,,,2363,3161,3936,4056,3122,4031,4157,,2363,7431,63,1482,,,,,
127,,,2363,1805,4546,3871,4242,3791,3448,,2363,1805,2552,1481,,,,,
128,,,2363,1265,3329,4789,3443,3175,4763,,2363,1265,4216,1482,,,,,
129,,,2500,4699,3597,3138,4412,4635,3297,,2500,8969,1600,3824,,,,,
130,,,4695,2448,3309,3955,3347,4587,3464,,8965,2448,3155,233,,,,,
131,,,3828,1883,3745,4318,3075,4426,4424,,8098,1883,1261,3830,,,,,
132,,,4580,1043,3478,3583,4950,4635,3349,,8850,1043,2744,3825,,,,,
133,,,3316,1055,3025,3092,3883,4441,3421,,7586,1055,1296,672,,,,,
134,,,284,429,4214,4757,4214,4813,3338,,284,429,524,670,,,,,
135,,,1576,638,4015,4105,4678,4676,4458,,1576,638,3200,672,,,,,
136,,,2363,2696,3115,3858,3278,3067,3316,,2363,2696,802,1482,,,,,
137,,,3644,1023,4216,4216,3317,4888,3446,,7914,1023,2858,3830,,,,,
138,,,4587,628,4370,3443,3987,4971,3761,,8857,628,4215,234,,,,,
139,,,774,2265,4441,4027,4323,4888,3751,,774,2265,127,3825,,,,,
140,,,2344,2265,4717,4667,4888,4536,4776,,2344,2265,126,3828,,,,,
141,,,76,2694,3745,4318,3403,3742,3349,,76,2694,1260,3827,,,,,
142,,,666,2991,3587,3917,4780,4159,3054,,666,2991,392,3834,,,,,
143,,,2380,4160,4218,3445,3428,4536,3751,,2380,8430,2257,3832,,,,,
144,,,76,2582,4852,3689,4970,3644,4455,,76,2582,2744,3825,,,,,
145,,,423,570,4767,4633,3342,3188,4691,,423,570,2494,672,,,,,
146,,,4010,332,4761,4837,4153,4086,3211,,8280,332,1164,233,,,,,
147,,,386,755,3692,3692,3450,3001,4580,,386,755,1685,3820,,,,,
148,,,4357,4399,3745,4318,4357,3441,3253,,8627,8669,1261,183,,,,,
149,,,2344,948,3286,4335,4112,4962,3856,,2344,948,1692,3827,,,,,
150,,,2149,803,4639,4546,4990,4580,3742,,2149,803,2552,3823,,,,,
151,,,1560,1401,3839,3839,4888,3807,3543,,1560,1401,2488,671,,,,,
152,,,610,2435,4351,4114,3252,3065,3520,,610,2435,1164,669,,,,,
153,,,1072,2798,4170,3345,3349,4455,4536,,1072,2798,3357,3827,,,,,
154,,,456,2265,3180,3083,4097,3418,4287,,456,2265,128,3824,,,,,
155,,,2436,4761,4351,3003,4097,3446,3742,,2436,9031,1165,3830,,,,,
156,,,2764,1803,4418,3522,4120,4704,4486,,2764,1803,831,672,,,,,
157,,,76,4045,4851,3992,4443,4635,3751,,76,8315,2841,3834,,,,,
158,,,3437,518,3357,4950,3317,3644,4962,,7707,518,2744,3835,,,,,
159,,,3682,4757,3391,4757,4214,4279,4222,,7952,9027,524,671,,,,,
160,,,2156,2353,3444,4491,4097,4962,3751,,2156,2353,858,3829,,,,,
161,,,4666,833,4084,4650,4835,3133,4702,,8936,833,1599,1952,,,,,
162,,,4441,2054,3075,3075,3075,4786,4120,,8711,2054,2796,673,,,,,
163,,,1665,1816,3810,4423,4423,4385,3886,,1665,1816,1714,233,,,,,
164,,,3579,2074,3526,4170,3082,3408,3923,,7849,2074,3355,2200,,,,,
165,,,4611,1973,3240,3344,3748,3381,4593,,8881,1973,1326,669,,,,,
166,,,806,53,4383,3663,3518,3774,4704,,806,53,803,670,,,,,
167,,,1223,2617,4048,4037,3272,4799,3164,,1223,2617,2369,671,,,,,
168,,,2363,2523,3941,4960,3110,3662,4303,,2363,2523,36,1481,,,,,
169,,,4234,2537,3513,3260,4836,4857,3333,,8504,2537,2142,672,,,,,
170,,,3853,1013,3858,3858,3518,3703,4516,,8123,1013,803,673,,,,,
171,,,1354,1925,3692,3692,3559,4766,4688,,1354,1925,1685,671,,,,,
172,,,3137,736,3075,3075,3075,3521,3404,,7407,736,2796,671,,,,,
173,,,2076,4399,4399,4318,3020,3509,3994,,2076,8669,1261,233,,,,,
174,,,2500,238,3061,4772,3035,3001,3828,,2500,238,3058,3832,,,,,
175,,,3828,3200,4371,3209,3428,3001,3828,,8098,7470,1599,3831,,,,,
176,,,546,3263,3263,3263,4919,4314,3419,,546,7533,2816,2199,,,,,
177,,,4285,1468,3118,4654,4708,3618,4155,,8555,1468,63,2200,,,,,
178,,,465,2807,3592,3890,3848,3421,4050,,465,2807,390,672,,,,,
179,,,3332,2239,4585,3087,3499,3404,3045,,7602,2239,988,674,,,,,
180,,,2363,1351,4617,3582,4537,4002,4312,,2363,1351,2536,1482,,,,,
181,,2018-02-12,1832,1324,4370,3443,3443,4425,3343,,1832,1324,4216,670,,,EXW,,
182,,,1488,2998,3481,3556,3948,4847,4301,,1488,2998,1028,671,,,,,
183,,,4894,1408,3345,3157,4957,3591,4691,,9164,1408,3355,670,,,,,
184,,,450,1199,3814,4633,3359,4314,4155,,450,1199,2494,2199,,,,,
185,,,533,1063,3260,4079,4424,4717,3856,,533,1063,2142,3822,,,,,
186,,,2363,1023,4915,4216,3998,4170,3770,,2363,1023,2859,1482,,,,,
187,,,2363,2123,3628,3900,4545,4550,4588,,2363,2123,1600,1482,,,,,
188,,,2363,4121,4246,4750,4819,3005,4475,,2363,8391,1685,1481,,,,,
189,,,2363,1543,4344,4045,3845,4388,3211,,2363,1543,2841,1481,,,,,
190,,,2380,1265,4370,3443,3743,3428,3295,,2380,1265,4216,3828,,,,,
191,,,2916,2074,3345,4062,3215,3472,4808,,2916,2074,3354,670,,,,,
192,,,2363,4473,3175,4693,4836,3633,3379,,2363,8743,1600,1482,,,,,
193,,,3799,176,3382,3309,4313,4047,3696,,8069,176,1410,673,,,,,
194,,,3748,1783,3597,3616,3578,3808,3417,,8018,1783,1600,672,,,,,
195,,,4684,2960,3870,4788,4769,4530,3352,,8954,2960,2333,671,,,,,
196,,,3111,1199,4767,3386,3723,4388,3414,,7381,1199,2494,1952,,,,,
197,,,383,3258,4990,4469,3607,3823,3823,,383,7528,2552,671,,,,,
198,,,666,1351,4617,3397,3794,4580,4966,,666,1351,2536,3836,,,,,
199,,,1146,2694,3745,4318,4900,3418,4580,,1146,2694,1261,3834,,,,,
200,,,4574,2447,4372,4519,4454,4279,4175,,8844,2447,2654,670,,,,,
201,,,4143,24,4299,4647,4304,3967,4797,,8413,24,2113,233,,,,,
202,,,1815,2448,4913,3955,3463,3411,3257,,1815,2448,3155,672,,,,,
203,,,4480,1711,4866,4965,3227,3408,3227,,8750,1711,284,2199,,,,,
204,,,1709,3207,4064,4851,4536,3001,3418,,1709,7477,2841,3833,,,,,
205,,,2137,1097,3523,3105,3105,4740,4691,,2137,1097,2636,669,,,,,
206,,,2380,1203,3511,4846,3743,4536,4962,,2380,1203,2636,3829,,,,,
207,,,753,4126,4126,4677,4330,3998,4311,,753,8396,2223,233,,,,,
208,,,859,1972,4675,4789,3349,3437,4536,,859,1972,4216,3828,,,,,
209,,,3967,1132,4025,3014,3060,3581,3092,,8237,1132,16,233,,,,,
210,,,2380,2265,4015,3713,4776,4832,4536,,2380,2265,128,3834,,,,,
211,,,2786,992,3632,4150,3638,4536,4424,,2786,992,2744,3824,,,,,
212,,,1078,2448,3326,3955,3558,3723,3773,,1078,2448,3154,1951,,,,,
213,,,561,2675,3115,3452,3998,4695,3677,,561,2675,803,233,,,,,
214,,,1313,2494,4317,4658,3846,4388,4829,,1313,2494,2678,1952,,,,,
215,,,4091,1685,3503,4986,4346,3517,4932,,8361,1685,1015,672,,,,,
216,,,419,2074,3526,3157,3275,4190,4175,,419,2074,3356,669,,,,,
217,,,2648,2346,4694,4114,3573,4426,4962,,2648,2346,1164,3827,,,,,
218,,,1291,2265,3693,3119,4559,3418,3297,,1291,2265,127,3827,,,,,
219,,,792,3369,3788,3594,4109,3377,4250,,792,7639,2744,671,,,,,
220,,,1571,2221,3143,3359,4458,4786,4593,,1571,2221,2494,671,,,,,
221,,,1078,3035,3462,4729,3141,3111,3773,,1078,7305,3057,1952,,,,,
222,,,2220,3732,4709,4709,4976,4309,3636,,2220,8002,2113,233,,,,,
223,,,1229,727,4724,3980,4050,3744,3943,,1229,727,388,672,,,,,
224,,,2363,2444,3072,4451,3436,3693,3445,,2363,2444,63,1482,,,,,
225,,,1219,238,3852,3106,4635,3437,3349,,1219,238,3057,3828,,,,,
226,,,2336,2915,4986,4986,4780,4308,4287,,2336,2915,1015,3833,,,,,
227,,,4580,594,3760,3865,4424,4424,3295,,8850,594,3200,3827,,,,,
228,,,1673,665,3857,4845,4758,3967,3092,,1673,665,2054,233,,,,,
229,,,2550,4858,3708,4004,4707,4586,3761,,2550,9128,3067,233,,,,,
230,,,2363,2812,3519,3519,3981,4970,4820,,2363,2812,2907,1481,,,,,
231,,,4234,3314,3633,4482,4207,4497,4963,,8504,7584,2368,674,,,,,
232,,,4566,1055,3642,4516,4452,4969,3501,,8836,1055,1297,232,,,,,
233,,,4499,661,3385,4443,3561,3501,4010,,8769,661,2840,233,,,,,
234,,,3380,867,3796,3796,4409,4715,3124,,7650,867,3120,670,,,,,
235,,,1078,2110,3789,3301,3635,4702,4829,,1078,2110,1599,1951,,,,,
236,,,2372,3311,3083,3288,3383,4176,3645,,2372,7581,3200,674,,,,,
237,,,2363,1933,3456,4210,3821,3165,4030,,2363,1933,1599,1481,,,,,
238,,,2786,539,3995,3143,3995,3644,3446,,2786,539,2386,3825,,,,,
239,,,18,204,4436,3519,4209,3517,3046,,18,204,2907,671,,,,,
240,,,2363,4214,3391,4757,4214,3458,3402,,2363,8484,524,1481,,,,,
241,,,1560,1348,4170,3345,4957,3343,4008,,1560,1348,3356,671,,,,,
242,,,1832,1816,4790,3453,3675,4952,4118,,1832,1816,1714,669,,,,,
243,,,1785,2401,4443,4045,4553,3377,3043,,1785,2401,2841,670,,,,,
244,,,4593,235,3921,4750,3450,4714,3913,,8863,235,1685,670,,,,,
245,,,3124,265,4338,3911,4880,3640,4052,,7394,265,2073,670,,,,,
246,,,2835,1643,3165,4113,3165,3808,4425,,2835,1643,2859,671,,,,,
247,,,1189,2921,4725,4505,4505,4536,4424,,1189,2921,3085,3827,,,,,
248,,,3767,1361,3004,3004,3397,4229,4316,,8037,1361,1795,1951,,,,,
249,,,3253,2012,3407,4386,3441,4360,4142,,7523,2012,3051,183,,,,,
250,,,1728,1132,3037,3602,4304,4695,4969,,1728,1132,16,233,,,,,
251,,,418,1255,4078,3202,4736,4353,3686,,418,1255,2636,671,,,,,
252,,,774,3775,3041,4300,3349,3428,4536,,774,8045,1599,3832,,,,,
253,,,3769,4121,4246,4750,4888,3428,3297,,8039,8391,1685,3831,,,,,
254,,,1310,2448,3933,3955,3766,4714,4735,,1310,2448,3155,669,,,,,
255,,,2097,945,4113,4216,4113,4536,3418,,2097,945,2858,3831,,,,,
256,,,4658,4246,4246,3347,4750,3483,3591,,8928,8516,1685,671,,,,,
257,,,2849,3263,3263,3263,3082,4581,3923,,2849,7533,2816,2199,,,,,
258,,,4536,3729,3503,4986,3729,4308,3856,,8806,7999,1015,3828,,,,,
259,,,2852,626,3814,3359,3342,3428,3446,,2852,626,2494,3828,,,,,
260,,,2688,948,4167,4142,3780,3681,3741,,2688,948,1693,670,,,,,
261,,,3020,162,4675,4789,4202,4528,4586,,7290,162,4216,233,,,,,
262,,,2855,428,4504,3240,4426,4455,4287,,2855,428,1326,3834,,,,,
263,,,3028,1481,3526,3524,3526,4441,4095,,7298,1481,3355,673,,,,,
264,,,2500,2054,3075,3075,3075,4287,3828,,2500,2054,2796,3827,,,,,
265,,,3825,3530,3530,3530,3139,4919,4155,,8095,7800,2945,2200,,,,,
266,,,1963,3363,3384,4545,4545,4528,4033,,1963,7633,2598,233,,,,,
267,,,386,3403,3196,4895,3054,4536,3437,,386,7673,1599,3823,,,,,
268,,,3262,6,3486,4647,4835,4666,3667,,7532,6,935,1951,,,,,
269,,,2519,1429,3391,4836,3343,3321,3475,,2519,1429,191,671,,,,,
270,,,4153,281,4748,4469,3060,4304,4311,,8423,281,2552,233,,,,,
271,,,2363,2448,3541,3955,3153,3484,4755,,2363,2448,3156,1482,,,,,
272,,,2363,3314,3314,3759,3895,4488,3333,,2363,7584,2369,1482,,,,,
273,,,4159,3210,4517,4436,3349,3428,4580,,8429,7480,2907,3832,,,,,
274,,,1349,1352,3180,3666,3083,3111,3111,,1349,1352,3200,1952,,,,,
275,,,2363,562,3729,4583,3729,3803,3850,,2363,562,1014,1482,,,,,
276,,,1842,3345,3345,3157,3071,4002,4696,,1842,7615,3354,674,,,,,
277,,,4285,295,4137,3239,3649,3825,4480,,8555,295,1163,2200,,,,,
278,,,318,1218,3422,4898,3042,3888,3836,,318,1218,2636,672,,,,,
279,,,4193,1396,4939,4579,3370,3644,4455,,8463,1396,1600,3828,,,,,
280,,,4536,3226,4524,3226,3317,4635,3446,,8806,7496,2948,3825,,,,,
281,,,3769,1977,3726,3872,4792,4832,3295,,8039,1977,803,3829,,,,,
282,,,2363,924,3132,4693,3367,4394,3070,,2363,924,1599,1481,,,,,
283,,,4542,945,4113,4113,4109,3853,3090,,8812,945,2858,672,,,,,
284,,,2363,2130,4422,3478,4783,3272,3631,,2363,2130,2745,1481,,,,,
285,,,2363,3463,3514,3095,3095,3188,4789,,2363,7733,999,1481,,,,,
286,,,2363,948,4781,3686,3005,3532,3717,,2363,948,1692,1482,,,,,
287,,,3537,3182,4204,3182,4250,3228,4458,,7807,7452,2044,670,,,,,
288,,,2819,2265,4843,4938,3295,4888,4966,,2819,2265,127,3825,,,,,
289,,,799,1043,3466,3549,3764,3575,4086,,799,1043,2744,233,,,,,
290,,,2064,2023,4139,4509,4833,4901,3841,,2064,2023,2042,673,,,,,
291,,,3601,948,3112,3922,3243,4258,3425,,7871,948,1693,670,,,,,
292,,,2852,2512,4151,4150,4097,3428,3437,,2852,2512,1296,3831,,,,,
293,,,4281,1256,3395,4264,4364,4902,3211,,8551,1256,1164,233,,,,,
294,,,147,2226,4783,3271,4784,4181,4969,,147,2226,3086,233,,,,,
295,,,859,1841,4221,4509,4635,4426,3828,,859,1841,2042,3826,,,,,
296,,,2855,1951,4218,3728,4160,3437,4776,,2855,1951,2257,3825,,,,,
297,,,4653,2244,3143,4767,4376,3575,4153,,8923,2244,2494,233,,,,,
298,,,2363,717,3451,4198,3380,3879,3396,,2363,717,2835,1481,,,,,
299,,,2149,1652,3386,4376,4376,3428,3349,,2149,1652,2494,3830,,,,,
300,,,1963,2054,3075,3075,3509,3575,4281,,1963,2054,2796,233,,,,,
301,,,1571,2074,3526,3524,4425,3888,3490,,1571,2074,3356,670,,,,,
302,,,1189,2523,3709,3627,3573,4455,4776,,1189,2523,35,3828,,,,,
303,,,3169,1055,4871,3841,4254,4348,3636,,7439,1055,1296,233,,,,,
304,,,2344,2746,3513,4079,3260,4308,4455,,2344,2746,2143,3826,,,,,
305,,,1660,2053,4325,3086,3043,4676,4441,,1660,2053,1164,672,,,,,
306,,,318,3104,4022,4793,4831,4901,3924,,318,7374,4250,670,,,,,
307,,,3799,2604,3293,4004,4707,4234,3591,,8069,2604,3067,672,,,,,
308,,,1291,2265,3351,3287,3283,3001,4287,,1291,2265,128,3832,,,,,
309,,,4097,2591,4504,4690,3306,4962,3054,,8367,2591,1326,3825,,,,,
310,,,3437,2529,4025,3530,4287,4962,3349,,7707,2529,279,3824,,,,,
311,,,1138,1602,3983,3347,3449,3987,4586,,1138,1602,1685,232,,,,,
312,,,4159,13,4532,3072,4536,4717,3295,,8429,13,63,3820,,,,,
313,,,2535,1951,4218,4316,3145,3517,4525,,2535,1951,2257,673,,,,,
314,,,1313,117,3126,3004,3141,4666,4535,,1313,117,1796,1951,,,,,
315,,,1837,3337,3057,3600,4388,4702,4921,,1837,7607,2598,1952,,,,,
316,,,2641,1132,4674,4750,3062,4919,3923,,2641,1132,16,2200,,,,,
317,,,2402,4524,3284,3226,3201,3408,4480,,2402,8794,2948,2199,,,,,
318,,,4309,2494,4585,4374,4434,4541,4231,,8579,2494,2678,233,,,,,
319,,,2363,736,3075,3075,4084,4257,3452,,2363,736,2796,1481,,,,,
320,,,4082,3345,4170,3345,4537,3482,4187,,8352,7615,3356,671,,,,,
321,,,1209,553,3056,4637,3428,4455,4580,,1209,553,1599,3822,,,,,
322,,,2363,986,4701,3902,3865,3965,3924,,2363,986,1390,1481,,,,,
323,,,737,2186,3961,3879,3781,3888,4525,,737,2186,1600,671,,,,,
324,,,1308,3463,3514,3346,4364,3501,4304,,1308,7733,999,233,,,,,
325,,,2363,3840,4529,3576,4884,3984,4615,,2363,8110,819,1482,,,,,
326,,,1283,3272,3488,3274,3743,4159,4287,,1283,7542,2368,3826,,,,,
327,,,2367,2448,4536,3955,4120,4691,3580,,2367,2448,3155,670,,,,,
328,,,3254,2812,4517,3519,4436,3484,3792,,7524,2812,2907,673,,,,,
