Owner Code,Serial Number,Check Digit,ISO Size Code,ISO Type Code
HLXU,345243,6,22,G1
HLBU,800706,6,42,U1
HLBU,148492,7,45,G0
HLXU,373782,7,22,R9
HLXU,565294,0,42,U1
HLXU,446045,3,42,G0
HLXU,449378,2,42,G1
HLXU,365367,4,22,U6
HLBU,107039,3,45,G0
HLXU,441236,8,42,G0
HLXU,442327,5,42,G0
HLXU,343645,6,22,G0
HLXU,502381,3,42,G0
HLXU,562537,1,42,U1
HLXU,565673,0,42,U1
HLXU,344630,7,22,G1
CPSU,176418,3,22,G0
HLXU,878643,9,45,R9
HLXU,345778,5,22,G0
CPSU,176849,7,22,G0
HLXU,564461,4,42,U1
HLBU,112117,5,42,G1
HLXU,446855,7,42,G1
HLXU,503063,7,42,G1
HLXU,126384,0,22,G1
HLXU,340781,8,22,G0
HLXU,563652,0,42,U1
HLBU,149455,8,45,G0
HLXU,115432,6,22,G1
HLXU,116642,0,22,G1
HLXU,879198,3,45,R9
HLXU,503294,3,42,G1
HLXU,561134,8,42,U1
HLBU,147337,0,45,G0
CPSU,173780,4,22,G1
HLXU,116482,1,22,G0
HLBU,130409,0,45,G0
HLBU,141581,1,45,G0
HLBU,136905,3,22,G1
HLXU,507678,1,42,G1
HLXU,371824,9,22,R9
CPSU,182909,3,22,G0
HLBU,107891,6,45,G0
HLBU,142892,5,45,G0
CPSU,178435,1,22,G1
HLXU,901120,4,L5,G1
HLXU,125151,0,22,G0
HLBU,173116,3,22,G1
HLXU,116976,7,22,G0
HLBU,108459,0,45,G0
HLBU,130624,0,45,G0
HLXU,368156,5,22,P3
HLBU,144292,9,45,G0
HLXU,538228,2,42,G1
HLBU,803237,5,45,U6
HLXU,777144,2,45,R9
HLXU,504198,4,42,G0
HLBU,172866,9,22,G0
HLXU,869193,4,45,P3
HLXU,373190,9,22,R1
CPSU,172422,4,22,G0
HLXU,365928,3,22,U6
HLBU,141582,7,45,G0
HLBU,151610,0,42,G1
HLBU,153329,8,42,G0
CPSU,173314,0,22,G1
HLBU,138843,2,22,G1
HLXU,539677,7,42,G0
CPSU,181747,0,22,G1
HLXU,342401,6,22,G1
HLXU,117874,5,22,G1
HLXU,124952,2,22,G0
HLXU,507385,9,42,G0
HLXU,449357,8,42,G0
HLBU,127094,7,42,G1
HLXU,539162,7,42,G1
HLXU,537923,8,42,G1
HLXU,561925,8,42,U1
HLXU,441329,3,42,G0
HLBU,129887,3,45,G0
HLXU,361439,4,22,U1
HLXU,540257,0,42,G1
HLXU,538942,4,42,G1
HLXU,560985,2,42,U1
HLXU,345993,4,22,G1
HLXU,127856,9,22,G0
CPSU,177281,2,22,G1
HLXU,871010,8,45,R9
HLXU,445465,4,42,G1
HLXU,655912,7,45,G0
HLBU,112586,6,42,G0
CPSU,181499,3,22,G0
HLXU,361093,4,22,U1
HLBU,109054,0,45,G0
HLXU,445002,6,42,G1
HLXU,119285,9,22,G0
HLXU,442244,4,42,G1
HLXU,126521,4,22,G0
HLXU,127014,0,22,G0
HLBU,801778,1,42,U1
HLBU,151848,4,42,G1
HLBU,149530,5,45,G0
HLBU,144378,6,45,G0
HLBU,801956,9,42,U1
HLBU,172177,3,22,G0
HLXU,868353,0,45,P3
CPSU,178124,0,22,G0
HLXU,368304,9,22,P3
CPSU,175159,3,22,G1
HLXU,131783,8,22,G1
HLXU,121654,4,22,G0
HLXU,441362,3,42,G0
HLXU,870359,3,45,R1
HLXU,566671,1,42,U1
HLXU,445678,2,42,G0
HLXU,365719,7,22,U6
HLXU,444787,2,42,G1
HLXU,445345,1,42,G0
HLXU,507494,1,42,G0
HLBU,152514,0,42,G0
HLXU,345263,5,22,G1
HLXU,449954,3,42,G1
HLBU,126812,6,42,G1
HLXU,125411,3,22,G1
CPSU,170612,1,22,G1
HLXU,562688,3,42,U1
HLXU,120214,9,22,G0
HLXU,122883,2,22,G0
HLXU,127597,1,22,G0
HLXU,560798,6,42,U1
HLBU,148118,2,45,G0
HLXU,129211,7,22,G1
CPSU,175468,3,22,G0
HLBU,153895,6,42,G1
HLXU,504626,0,42,G0
HLXU,115606,1,22,G1
HLXU,365593,3,22,U6
CPSU,182675,2,22,G0
CPSU,180113,0,22,G0
HLXU,562553,9,42,U1
HLXU,562357,3,42,U1
HLXU,115901,5,22,G0
HLXU,665218,6,45,U6
LNXU,965161,0,45,R9
CPSU,175845,2,22,G0
HLXU,365778,9,22,U6
HLBU,151670,7,42,G1
HLBU,107218,6,45,G0
HLXU,506694,6,42,G1
CPSU,181407,1,22,G1
HLXU,117670,6,22,G0
HLXU,676419,3,45,R9
CPSU,172823,4,22,G1
HLXU,117509,0,22,G0
HLBU,108935,7,45,G0
HLXU,116914,9,22,G0
HLBU,138985,5,22,G0
CPSU,178680,4,22,G1
HLXU,503160,4,42,G0
CPSU,179073,7,22,G0
HLXU,129923,8,22,G1
HLXU,442560,2,42,G1
HLXU,345309,4,22,G1
HLXU,171327,5,22,R1
HLBU,138632,5,22,G1
HLBU,144124,4,45,G0
HLXU,540369,0,42,G1
HLXU,502881,1,42,G0
HLXU,665969,0,45,U6
HLBU,148013,1,45,G0
HLBU,137985,2,22,G0
HLXU,122355,1,22,G0
HLXU,461707,1,42,U1
HLXU,536965,4,42,G0
HLXU,505221,0,42,G1
HLXU,502344,1,42,G1
HLXU,362148,5,22,U1
HLXU,536740,0,42,G1
HLXU,823885,2,45,G0
HLXU,368067,1,22,P3
HLBU,800712,9,42,U1
CPSU,179884,6,22,G0
HLBU,132831,0,45,G0
HLXU,868198,9,45,P3
HLXU,117609,3,22,G0
HLXU,343756,0,22,G1
HLXU,118215,4,22,G1
HLXU,560793,9,42,U1
HLXU,346571,2,22,G0
HLXU,339967,1,22,G0
HLXU,117051,0,22,G0
HLXU,539276,7,42,G1
CPSU,170346,6,22,G1
HLXU,362114,0,22,U1
HLXU,341496,1,22,G0
HLXU,123171,4,22,G0
HLXU,444566,0,42,G0
CPSU,174897,3,22,G0
HLXU,345245,7,22,G0
HLBU,107200,8,45,G0
HLXU,561989,7,42,U1
HLXU,878950,8,45,R9
HLXU,117147,2,22,G1
HLXU,345069,0,22,G1
HLXU,119622,0,22,G1
HLXU,443898,3,42,G1
HLXU,506646,4,42,G1
HLXU,132649,1,22,G0
HLXU,560944,9,42,U1
HLXU,342146,0,22,G0
HLXU,371841,1,22,R9
HLXU,504198,4,42,G0
HLXU,445666,7,42,G0
HLBU,143273,2,45,G0
HLBU,114437,0,42,G0
HLXU,440074,5,42,G0
HLXU,901559,1,L5,G0
HLXU,339715,0,22,G0
HLBU,803311,7,22,U1
HLXU,564404,3,42,U1
HLXU,504570,6,42,G0
HLXU,560782,9,42,U1
HLXU,561161,5,42,U1
HLBU,106601,5,45,G0
LNXU,965870,4,45,R1
HLBU,142871,0,45,G0
HLBU,152726,3,42,G0
CPSU,174431,9,22,G0
HLXU,560495,9,42,U1
HLXU,115349,5,22,G1
HLXU,119764,2,22,G1
HLXU,126218,7,22,G0
HLBU,144034,5,45,G0
HLXU,128629,7,22,G1
CPSU,180926,0,22,G0
HLXU,344731,6,22,G1
CPSU,172491,0,22,G0
HLXU,132407,5,22,G1
HLXU,125040,7,22,G1
HLXU,538110,0,42,G1
HLBU,126730,0,42,G1
HLBU,144122,3,45,G0
CPSU,173815,3,22,G0
HLBU,173369,0,22,G0
HLXU,878282,7,45,R1
HLXU,538639,7,42,G1
HLXU,128892,8,22,G0
HLXU,445941,1,42,G0
HLBU,112362,8,42,G1
HLXU,122523,4,22,G0
HLBU,132485,0,45,G0
HLXU,341520,0,22,G0
CPSU,170169,4,22,G1
HLXU,566199,6,42,U1
HLXU,361484,0,22,U1
HLXU,340045,6,22,G1
HLBU,174598,8,22,G1
HLXU,562078,7,42,U1
HLXU,676194,1,45,R9
HLXU,122248,0,22,G0
HLBU,141828,3,45,G0
HLXU,440399,2,42,G1
HLXU,443041,3,42,G1
HLXU,374243,9,22,R9
HLBU,114403,5,42,G0
HLBU,112204,8,42,G1
HLXU,448185,0,42,G0
HLXU,268688,7,22,P3
HLXU,449326,9,42,G1
CPSU,170050,7,22,G0
HLXU,869139,0,45,P3
HLBU,151881,4,42,G1
HLBU,142649,3,45,G0
HLXU,365007,6,22,U6
HLXU,127040,2,22,G1
HLXU,365362,7,22,U6
HLBU,148236,4,45,G0
HLXU,124935,0,22,G1
HLBU,108353,3,45,G0
HLXU,561741,8,42,U1
HLXU,119584,4,22,G1
CPSU,182030,5,22,G1
HLBU,114656,1,42,G0
HLBU,801313,2,22,U1
HLXU,503643,0,42,G0
HLXU,507331,4,42,G1
HLXU,870337,3,45,R9
HLXU,538690,5,42,G0
CPSU,177131,6,22,G1
HLBU,141559,1,45,G0
HLXU,442859,8,42,G1
HLXU,465179,3,42,U6
HLXU,342991,5,22,G1
HLXU,123634,0,22,G0
CPSU,176841,3,22,G1
HLXU,566219,3,42,U1
HLXU,465624,1,42,U6
HLXU,878235,0,45,R1
HLXU,560328,0,42,U1
HLBU,142877,3,45,G0
HLXU,360680,2,22,U1
HLBU,172182,0,22,G0
HLXU,566559,2,42,U1
HLXU,442626,0,42,G0
CPSU,182383,5,22,G0
HLXU,565528,0,42,U1
HLXU,443228,0,42,G1
HLXU,870987,8,45,R9
HLBU,138143,7,22,G1
HLBU,800275,4,42,U1
HLXU,365661,2,22,U6
HLBU,800386,8,42,U1
HLXU,131294,0,22,G1
CPSU,172308,4,22,G0
HLXU,360151,6,22,U1
HLBU,138350,2,22,G0
HLXU,448719,2,42,G1
HLXU,373334,0,22,R1
HLBU,173490,8,22,G0
HLXU,339979,7,22,G0
HLBU,114769,6,42,G1
HLXU,540774,1,42,G1
HLXU,879293,0,45,R1
HLBU,131179,4,45,G0
HLXU,505781,6,42,G0
HLBU,152080,2,42,G0
HLXU,504296,7,42,G1
HLXU,870928,6,45,R1
CPSU,173340,1,22,G0
HLXU,868291,4,45,P3
HLBU,147776,8,45,G0
HLXU,870865,4,45,R1
HLBU,108973,4,45,G0
HLXU,449752,5,42,G0
HLXU,344339,5,22,G0
HLXU,360872,6,22,U1
HLXU,446304,0,42,G1
HLXU,446341,2,42,G0
HLXU,124119,3,22,G1
HLBU,130796,6,45,G0
CPSU,170083,7,22,G1
HLXU,128583,8,22,G1
HLBU,801494,8,22,U1
HLXU,362554,2,22,U1
HLXU,566675,3,42,U1
HLXU,132979,6,22,G1
HLXU,441663,0,42,G1
HLXU,443371,8,42,G1
HLBU,129566,8,45,G0
HLBU,113639,6,42,G0
HLXU,502036,7,42,G0
HLBU,152986,8,42,G0
HLXU,443606,4,42,G1
CPSU,182158,1,22,G1
HLXU,824089,8,45,G0
HLXU,562373,0,42,U1
HLBU,153427,0,42,G0
HLXU,824669,0,45,G0
HLXU,566327,0,42,U1
HLXU,121241,9,22,G1
HLBU,114666,6,42,G1
HLBU,137952,2,22,G0
HLXU,343577,7,22,G0
HLXU,538504,2,42,G0
CPSU,182011,1,22,G0
HLXU,116845,4,22,G1
HLXU,565800,9,42,U1
HLXU,564159,2,42,U1
HLBU,149746,0,45,G0
HLXU,503080,0,42,G0
HLXU,540387,8,42,G1
HLXU,869441,1,45,P3
HLXU,346059,9,22,G0
HLXU,901371,0,L5,G1
HLXU,122208,1,22,G1
HLXU,373558,9,22,R1
HLBU,139161,8,22,G0
HLXU,504025,2,42,G0
HLXU,361658,5,22,U1
HLXU,440635,4,42,G0
HLXU,665956,9,45,U6
HLXU,440633,3,42,G0
CPSU,174204,4,22,G1
CPSU,181515,9,22,G1
HLXU,115754,7,22,G0
HLXU,128388,8,22,G1
HLXU,537018,8,42,G1
HLXU,537910,7,42,G1
HLBU,800124,2,42,U1
HLBU,114930,0,45,G0
HLBU,904615,3,45,R9
HLXU,442481,3,42,G0
HLBU,138782,1,22,G1
HLXU,877537,0,45,R1
HLBU,128497,0,45,G0
CPSU,178820,4,22,G0
CPSU,175057,9,22,G1
HLBU,175083,0,45,G0
HLXU,344667,9,22,G0
HLXU,121234,0,22,G0
CPSU,180700,1,22,G0
HLXU,561494,6,42,U1
HLBU,149144,7,45,G0
HLXU,441029,2,42,G0
HLBU,126436,2,42,G1
HLXU,123223,6,22,G1
HLXU,536577,5,42,G0
HLXU,870153,3,45,R9
HLXU,871162,5,45,R1
HLXU,666019,7,45,U6
HLBU,149621,0,45,G0
HLBU,138751,2,22,G0
HLXU,118167,4,22,G0
HLXU,342745,7,22,G1
HLXU,507694,9,42,G0
CPSU,172356,6,22,G0
HLXU,504294,6,42,G0
HLBU,109170,1,45,G0
HLXU,116779,6,22,G0
CPSU,176038,8,22,G1
HLXU,878644,4,45,R9
HLXU,878268,0,45,R1
HLXU,537534,3,42,G0
HLXU,824598,5,45,G0
HLXU,129091,6,22,G0
HLBU,125675,0,42,G0
CPSU,179652,4,22,G0
HLXU,343982,9,22,G0
HLXU,343159,4,22,G1
HLBU,125996,5,42,G0
HLXU,563250,4,42,U1
HLXU,125879,9,22,G1
HLXU,171628,1,22,R1
HLXU,171154,5,22,R9
HLXU,505289,1,42,G1
CPSU,171264,3,22,G0
HLXU,869377,4,45,P3
HLBU,904147,0,45,R9
HLBU,114980,3,45,G0
HLBU,132045,8,45,G0
HLXU,505065,3,42,G1
HLXU,127005,1,22,G0
HLBU,112110,7,42,G0
HLXU,506850,3,42,G0
HLBU,107382,9,45,G0
HLXU,345788,0,22,G1
HLXU,440498,0,42,G0
HLBU,800153,0,42,U1
HLBU,800511,6,42,U1
HLXU,375527,5,22,R1
HLXU,346238,1,22,G1
HLXU,563512,8,42,U1
HLXU,362190,4,22,U1
HLXU,368806,8,22,P3
HLXU,440737,9,42,G0
HLXU,540512,6,42,G1
HLBU,127650,9,42,G0
HLXU,665660,0,45,U6
HLBU,173065,7,22,G1
HLBU,125551,5,42,G1
HLXU,441461,1,42,G1
HLBU,127697,5,42,G1
HLXU,502413,6,42,G0
HLXU,536721,7,42,G1
HLXU,537841,2,42,G1
HLXU,503058,0,42,G0
HLXU,877937,4,45,R1
HLXU,122287,2,22,G1
HLXU,118886,3,22,G1
HLXU,539641,0,42,G0
HLXU,445607,5,42,G1
HLBU,106788,3,45,G0
HLXU,445862,2,42,G1
HLXU,900163,6,L5,G0
HLXU,445634,2,42,G0
HLXU,665955,3,45,U6
HLBU,133106,1,45,G0
HLXU,777062,7,45,R9
HLBU,800453,1,42,U1
HLBU,128571,2,45,G0
HLXU,868479,6,45,P3
HLXU,561467,9,42,U1
HLXU,538725,4,42,G1
HLBU,152314,3,42,G1
HLXU,561092,0,42,U1
HLXU,372812,6,22,R1
HLBU,131485,8,45,G0
HLXU,115143,5,22,G0
HLBU,108165,1,45,G0
HLXU,444462,5,42,G0
CPSU,175758,0,22,G1
HLXU,443649,9,42,G1
HLXU,127009,3,22,G0
HLBU,147936,7,45,G0
HLXU,871528,4,45,R1
HLXU,665782,3,45,U6
HLXU,869002,4,45,P3
CPSU,180055,6,22,G0
HLBU,802507,0,45,U1
HLXU,371791,0,22,R9
HLBU,108763,2,45,G0
HLXU,564552,9,42,U1
CPSU,180543,9,22,G1
HLXU,442799,2,42,G1
HLBU,904578,3,45,R9
HLXU,360947,3,22,U1
CPSU,171118,9,22,G0
HLXU,128687,3,22,G1
HLXU,345429,7,22,G1
CPSU,177196,0,22,G0
CPSU,178459,2,22,G1
HLXU,119729,1,22,G0
HLBU,148367,7,45,G0
HLXU,440349,0,42,G0
HLXU,123791,5,22,G1
HLBU,126387,7,42,G1
HLXU,871061,6,45,R1
HLXU,461815,9,42,U1
HLXU,365615,1,22,U6
HLXU,127966,7,22,G0
HLBU,904447,0,45,R1
HLXU,121434,8,22,G0
CPSU,176097,0,22,G0
HLBU,114326,7,42,G0
HLXU,441498,3,42,G0
HLXU,441493,6,42,G0
HLXU,870456,0,45,R1
HLBU,801567,4,22,U1
HLXU,346431,0,22,G1
HLBU,116054,4,45,G0
HLBU,144321,5,45,G0
HLXU,372939,7,22,R9
HLXU,877697,0,45,R9
HLXU,129661,4,22,G0
HLBU,130948,1,45,G0
HLBU,800080,4,42,U1
HLXU,878306,6,45,R1
HLXU,540754,2,42,G1
HLXU,360880,0,22,U1
HLBU,142611,6,45,G0
HLXU,666200,0,45,U6
HLXU,900000,9,L5,G0
HLXU,119620,9,22,G1
HLXU,504833,5,42,G1
HLBU,801833,0,42,U1
HLXU,666200,0,45,U6
CPSU,170584,0,22,G0
HLXU,541078,0,42,G0
HLXU,502244,8,42,G0
HLXU,563714,6,42,U1
HLXU,344301,8,22,G0
CPSU,178350,0,22,G1
HLXU,539958,4,42,G1
HLXU,563000,4,42,U1
HLXU,339999,6,22,G1
HLXU,538036,9,42,G1
HLXU,346095,5,22,G0
HLXU,444718,6,42,G1
HLXU,361479,2,22,U1
HLBU,112476,8,42,G0
HLBU,800112,7,42,U1
HLXU,120900,8,22,G1
HLXU,120156,4,22,G0
HLXU,443251,5,42,G0
HLXU,537856,4,42,G1
HLBU,133456,5,45,G0
HLBU,153260,3,42,G0
HLXU,345112,3,22,G0
HLXU,868195,2,45,P3
HLXU,442742,1,42,G0
HLXU,872007,4,45,R1
CPSU,173319,7,22,G1
HLBU,125338,7,42,G1
CPSU,181977,1,22,G0
HLXU,565254,1,42,U1
HLXU,130119,4,22,G0
CPSU,181543,1,22,G0
HLBU,127365,0,42,G1
HLXU,440492,8,42,G0
HLXU,561107,0,42,U1
HLXU,119805,4,22,G1
HLXU,871922,6,45,R9
HLXU,504923,4,42,G0
HLXU,345990,8,22,G0
HLXU,540216,7,42,G0
HLXU,371597,6,22,R9
CPSU,176876,4,22,G1
HLXU,117700,8,22,G0
HLXU,505884,6,42,G0
HLXU,344586,9,22,G0
CPSU,180447,7,22,G0
HLBU,112625,7,42,G0
CPSU,170409,8,22,G1
HLXU,361411,1,22,U1
HLBU,114236,8,42,G0
LNXU,965733,9,45,R1
HLBU,125260,3,42,G1
HLXU,562870,2,42,U1
HLBU,144026,1,45,G0
HLXU,538876,6,42,G1
HLXU,360368,6,22,U1
HLXU,564508,9,42,U1
HLXU,373659,8,22,R9
HLXU,115452,5,22,G1
HLXU,446018,6,42,G0
HLXU,343280,2,22,G0
HLBU,152936,5,42,G0
HLXU,342631,7,22,G1
HLBU,174918,6,22,G1
HLBU,149366,4,45,G0
LNXU,965993,3,45,R1
HLBU,144168,4,45,G0
HLXU,342473,9,22,G1
HLXU,561203,2,42,U1
HLXU,125879,9,22,G1
HLBU,147330,2,45,G0
HLBU,174269,9,22,G1
CPSU,174114,5,22,G0
CPSU,174739,3,22,G0
HLXU,123592,3,22,G1
HLXU,131525,4,22,G1
HLXU,824525,7,45,G0
HLXU,562615,5,42,U1
CPSU,170062,2,22,G1
HLXU,655935,2,45,G0
HLXU,538835,2,42,G0
HLXU,360748,1,22,U1
HLBU,142197,7,45,G0
HLBU,137385,0,22,G0
HLXU,540164,5,42,G1
HLXU,870345,7,45,R1
HLBU,141950,7,45,G0
HLXU,823939,5,45,G0
HLXU,539335,7,42,G1
HLBU,803345,2,22,U1
HLXU,120424,0,22,G0
HLXU,665939,6,45,U6
CPSU,179437,5,22,G0
HLXU,655946,2,45,G0
HLXU,116783,8,22,G1
HLXU,341574,5,22,G0
HLBU,800158,8,42,U1
HLBU,137887,0,22,G0
HLBU,800406,5,42,U1
HLBU,113086,0,42,G0
CPSU,173110,0,22,G1
HLXU,440483,9,42,G0
HLBU,109284,1,45,G0
HLXU,446878,2,42,G0
HLXU,127487,3,22,G1
HLXU,128048,9,22,G1
HLXU,564833,6,42,U1
HLBU,141400,6,45,G0
HLXU,562076,6,42,U1
HLXU,502232,2,42,G1
HLXU,541401,5,42,G0
HLXU,119459,4,22,G0
HLXU,540741,1,42,G1
HLXU,507599,2,42,G1
HLXU,117704,0,22,G1
HLBU,800080,4,42,U1
HLBU,151608,9,42,G0
HLXU,360975,6,22,U1
HLXU,564834,1,42,U1
HLXU,878531,0,45,R9
HLXU,124143,4,22,G1
HLXU,540755,8,42,G1
HLXU,443866,9,42,G0
HLBU,153694,3,42,G0
HLXU,339975,5,22,G0
HLXU,503921,0,42,G1
HLXU,564121,5,42,U1
HLXU,872046,7,45,R9
CPSU,178975,8,22,G0
HLXU,507173,6,42,G1
HLBU,138733,4,22,G1
HLXU,560955,9,42,U1
HLBU,126491,2,42,G0
HLXU,537729,3,42,G1
HLXU,362105,0,22,U1
HLXU,121181,3,22,G0
CPSU,177248,2,22,G0
HLXU,665158,0,45,U6
HLXU,372951,2,22,R9
HLXU,665926,5,45,U6
CPSU,170221,6,22,G1
HLBU,904519,1,45,R1
HLBU,126793,4,42,G1
HLXU,823920,1,45,G0
HLXU,345363,9,22,G0
HLXU,362758,1,22,U1
HLXU,537265,1,42,G0
HLXU,346164,0,22,G0
HLBU,138836,4,22,G1
HLXU,124213,4,22,G0
HLBU,115895,4,45,G0
HLXU,447059,2,42,G1
HLXU,365520,5,22,U6
HLXU,502689,8,42,G0
HLBU,147590,7,45,G0
HLXU,502347,8,42,G0
HLXU,360227,9,22,U1
HLXU,536674,2,42,G1
HLXU,539098,0,42,G1
HLBU,153450,6,42,G1
HLBU,172814,5,22,G1
HLXU,115699,9,22,G0
HLXU,870843,4,45,R1
HLXU,539297,1,42,G0
HLXU,362384,9,22,U1
HLBU,125948,3,42,G0
HLXU,116631,0,22,G0
HLBU,175023,3,45,G0
HLBU,153684,9,42,G1
HLXU,368119,3,22,P3
HLXU,504677,8,42,G0
HLBU,148965,8,45,G0
HLXU,440836,7,42,G0
HLXU,465114,9,42,U6
HLBU,147803,3,45,G0
CPSU,177646,6,22,G1
HLXU,505551,5,42,G1
HLXU,669884,9,45,P3
HLXU,563826,5,42,U1
HLXU,122826,1,22,G1
HLBU,138401,9,22,G1
HLXU,340330,5,22,G1
